organ	canonical_symbol	n_original_features	original_features
Adrenal	LINC01830	2	ENSG00000228999,LINC01830
Adrenal	C4orf36	2	C4orf36,ENSG00000285458
Adrenal	PDE8B	2	ENSG00000284762,PDE8B
Thyroid	LINC01830	2	ENSG00000228999,LINC01830
Thyroid	C4orf36	2	C4orf36,ENSG00000285458
Thyroid	PDE8B	2	ENSG00000284762,PDE8B
Spleen	LINC01830	2	ENSG00000228999,LINC01830
Spleen	C4orf36	2	C4orf36,ENSG00000285458
Spleen	PDE8B	2	ENSG00000284762,PDE8B
Spleen	KYAT1	2	ENSG00000286112,KYAT1
Spleen	MYO1D-DT	2	MYO1D-DT,ENSG00000236377
Thymus	LINC01830	2	ENSG00000228999,LINC01830
Thymus	C4orf36	2	C4orf36,ENSG00000285458
Thymus	PDE8B	2	ENSG00000284762,PDE8B
Thymus	KYAT1	2	ENSG00000286112,KYAT1
Liver	LINC01830	2	ENSG00000228999,LINC01830
Liver	C4orf36	2	C4orf36,ENSG00000285458
Liver	PDE8B	2	ENSG00000284762,PDE8B
Liver	KYAT1	2	ENSG00000286112,KYAT1
Skin	LINC01830	2	ENSG00000228999,LINC01830
Skin	C4orf36	2	C4orf36,ENSG00000285458
Skin	PDE8B	2	ENSG00000284762,PDE8B
Skin	KYAT1	2	ENSG00000286112,KYAT1
Skin	MYO1D-DT	2	MYO1D-DT,ENSG00000236377
StomachEsophagus	LINC01830	2	ENSG00000228999,LINC01830
StomachEsophagus	C4orf36	2	C4orf36,ENSG00000285458
StomachEsophagus	PDE8B	2	ENSG00000284762,PDE8B
StomachEsophagus	KYAT1	2	ENSG00000286112,KYAT1
StomachEsophagus	MYO1D-DT	2	MYO1D-DT,ENSG00000236377
