original_feature	is_ensg	canonical_symbol	mapping_status	biotype
ENSG00000241860	True	ENSG00000241860	unmapped_kept_as_ensembl_id	lncRNA
ENSG00000236601	True	ENSG00000236601	unmapped_kept_as_ensembl_id	lncRNA
LINC01409	False	LINC01409	native_symbol	
LINC00115	False	LINC00115	native_symbol	
LINC01128	False	LINC01128	native_symbol	
ENSG00000272438	True	ENSG00000272438	unmapped_kept_as_ensembl_id	lncRNA
LINC02593	False	LINC02593	native_symbol	
SAMD11	False	SAMD11	native_symbol	
NOC2L	False	NOC2L	native_symbol	
KLHL17	False	KLHL17	native_symbol	
PLEKHN1	False	PLEKHN1	native_symbol	
PERM1	False	PERM1	native_symbol	
ENSG00000272512	True	ENSG00000272512	unmapped_kept_as_ensembl_id	lncRNA
HES4	False	HES4	native_symbol	
ISG15	False	ISG15	native_symbol	
AGRN	False	AGRN	native_symbol	
C1orf159	False	C1orf159	native_symbol	
ENSG00000285812	True	ENSG00000285812	unmapped_kept_as_ensembl_id	lncRNA
ENSG00000272141	True	ENSG00000272141	unmapped_kept_as_ensembl_id	lncRNA
TTLL10	False	TTLL10	native_symbol	
SDF4	False	SDF4	native_symbol	
B3GALT6	False	B3GALT6	native_symbol	
C1QTNF12	False	C1QTNF12	native_symbol	
UBE2J2	False	UBE2J2	native_symbol	
LINC01786	False	LINC01786	native_symbol	
SCNN1D	False	SCNN1D	native_symbol	
ACAP3	False	ACAP3	native_symbol	
PUSL1	False	PUSL1	native_symbol	
INTS11	False	INTS11	native_symbol	
CPTP	False	CPTP	native_symbol	
DVL1	False	DVL1	native_symbol	
MXRA8	False	MXRA8	native_symbol	
AURKAIP1	False	AURKAIP1	native_symbol	
CCNL2	False	CCNL2	native_symbol	
MRPL20-AS1	False	MRPL20-AS1	native_symbol	
MRPL20	False	MRPL20	native_symbol	
MRPL20-DT	False	MRPL20-DT	native_symbol	
ANKRD65	False	ANKRD65	native_symbol	
TMEM88B	False	TMEM88B	native_symbol	
VWA1	False	VWA1	native_symbol	
ATAD3C	False	ATAD3C	native_symbol	
ATAD3B	False	ATAD3B	native_symbol	
ATAD3A	False	ATAD3A	native_symbol	
TMEM240	False	TMEM240	native_symbol	
SSU72	False	SSU72	native_symbol	
ENSG00000215014	True	SSU72-AS1	mapped_via_hgnc	lncRNA
FNDC10	False	FNDC10	native_symbol	
ENSG00000286989	True	ENSG00000286989	unmapped_kept_as_ensembl_id	lncRNA
ENSG00000272106	True	ENSG00000272106	unmapped_kept_as_ensembl_id	lncRNA
MIB2	False	MIB2	native_symbol	
MMP23B	False	MMP23B	native_symbol	
CDK11B	False	CDK11B	native_symbol	
ENSG00000272004	True	ENSG00000272004	unmapped_kept_as_ensembl_id	lncRNA
SLC35E2B	False	SLC35E2B	native_symbol	
ENSG00000268575	True	ENSG00000268575	unmapped_kept_as_ensembl_id	lncRNA
NADK	False	NADK	native_symbol	
GNB1	False	GNB1	native_symbol	
GNB1-DT	False	GNB1-DT	native_symbol	
CALML6	False	CALML6	native_symbol	
TMEM52	False	TMEM52	native_symbol	
CFAP74	False	CFAP74	native_symbol	
ENSG00000233542	True	ENSG00000233542	unmapped_kept_as_ensembl_id	lncRNA
PRKCZ	False	PRKCZ	native_symbol	
ENSG00000271806	True	ENSG00000271806	unmapped_kept_as_ensembl_id	lncRNA
FAAP20	False	FAAP20	native_symbol	
ENSG00000234396	True	ENSG00000234396	unmapped_kept_as_ensembl_id	lncRNA
SKI	False	SKI	native_symbol	
ENSG00000287356	True	ENSG00000287356	unmapped_kept_as_ensembl_id	lncRNA
MORN1	False	MORN1	native_symbol	
RER1	False	RER1	native_symbol	
PEX10	False	PEX10	native_symbol	
PLCH2	False	PLCH2	native_symbol	
PANK4	False	PANK4	native_symbol	
ENSG00000272449	True	ENSG00000272449	unmapped_kept_as_ensembl_id	lncRNA
TNFRSF14-AS1	False	TNFRSF14-AS1	native_symbol	
TNFRSF14	False	TNFRSF14	native_symbol	
ENSG00000228037	True	ENSG00000228037	unmapped_kept_as_ensembl_id	lncRNA
PRXL2B	False	PRXL2B	native_symbol	
MMEL1	False	MMEL1	native_symbol	
TTC34	False	TTC34	native_symbol	
ENSG00000285945	True	ENSG00000285945	unmapped_kept_as_ensembl_id	lncRNA
PRDM16-DT	False	PRDM16-DT	native_symbol	
PRDM16	False	PRDM16	native_symbol	
ENSG00000287828	True	ENSG00000287828	unmapped_kept_as_ensembl_id	lncRNA
ARHGEF16	False	ARHGEF16	native_symbol	
MEGF6	False	MEGF6	native_symbol	
ENSG00000238260	True	ENSG00000238260	unmapped_kept_as_ensembl_id	lncRNA
TPRG1L	False	TPRG1L	native_symbol	
WRAP73	False	WRAP73	native_symbol	
TP73	False	TP73	native_symbol	
CCDC27	False	CCDC27	native_symbol	
SMIM1	False	SMIM1	native_symbol	
LRRC47	False	LRRC47	native_symbol	
CEP104	False	CEP104	native_symbol	
DFFB	False	DFFB	native_symbol	
C1orf174	False	C1orf174	native_symbol	
LINC01134	False	LINC01134	native_symbol	
LINC02780	False	LINC02780	native_symbol	
AJAP1	False	AJAP1	native_symbol	
LINC02781	False	LINC02781	native_symbol	
ENSG00000236948	True	ENSG00000236948	unmapped_kept_as_ensembl_id	NOT_FOUND_IN_ENSEMBL
ENSG00000289893	True	ENSG00000289893	unmapped_kept_as_ensembl_id	lncRNA
NPHP4	False	NPHP4	native_symbol	
KCNAB2	False	KCNAB2	native_symbol	
CHD5	False	CHD5	native_symbol	
ENSG00000285629	True	ENSG00000285629	unmapped_kept_as_ensembl_id	protein_coding
RPL22	False	RPL22	native_symbol	
RNF207	False	RNF207	native_symbol	
ICMT	False	ICMT	native_symbol	
GPR153	False	GPR153	native_symbol	
ACOT7	False	ACOT7	native_symbol	
ENSG00000271746	True	ENSG00000271746	unmapped_kept_as_ensembl_id	lncRNA
ESPN	False	ESPN	native_symbol	
TNFRSF25	False	TNFRSF25	native_symbol	
PLEKHG5	False	PLEKHG5	native_symbol	
NOL9	False	NOL9	native_symbol	
TAS1R1	False	TAS1R1	native_symbol	
ZBTB48	False	ZBTB48	native_symbol	
KLHL21	False	KLHL21	native_symbol	
PHF13	False	PHF13	native_symbol	
THAP3	False	THAP3	native_symbol	
DNAJC11	False	DNAJC11	native_symbol	
CAMTA1	False	CAMTA1	native_symbol	
VAMP3	False	VAMP3	native_symbol	
PER3	False	PER3	native_symbol	
ENSG00000236266	True	ENSG00000236266	unmapped_kept_as_ensembl_id	lncRNA
UTS2	False	UTS2	native_symbol	
TNFRSF9	False	TNFRSF9	native_symbol	
PARK7	False	PARK7	native_symbol	
ENSG00000284747	True	ENSG00000284747	unmapped_kept_as_ensembl_id	lncRNA
ERRFI1	False	ERRFI1	native_symbol	
ERRFI1-DT	False	ERRFI1-DT	native_symbol	
ENSG00000288816	True	ENSG00000288816	unmapped_kept_as_ensembl_id	NOT_FOUND_IN_ENSEMBL
LINC01714	False	LINC01714	native_symbol	
SLC45A1	False	SLC45A1	native_symbol	
RERE	False	RERE	native_symbol	
RERE-AS1	False	RERE-AS1	native_symbol	
ENO1	False	ENO1	native_symbol	
CA6	False	CA6	native_symbol	
SLC2A7	False	SLC2A7	native_symbol	
SLC2A5	False	SLC2A5	native_symbol	
GPR157	False	GPR157	native_symbol	
MIR34AHG	False	MIR34AHG	native_symbol	
LNCTAM34A	False	LNCTAM34A	native_symbol	
H6PD	False	H6PD	native_symbol	
SPSB1	False	SPSB1	native_symbol	
LINC02606	False	LINC02606	native_symbol	
SLC25A33	False	SLC25A33	native_symbol	
TMEM201	False	TMEM201	native_symbol	
PIK3CD	False	PIK3CD	native_symbol	
PIK3CD-AS2	False	PIK3CD-AS2	native_symbol	
CLSTN1	False	CLSTN1	native_symbol	
CTNNBIP1	False	CTNNBIP1	native_symbol	
LZIC	False	LZIC	native_symbol	
ENSG00000228150	True	ENSG00000228150	unmapped_kept_as_ensembl_id	lncRNA
NMNAT1	False	NMNAT1	native_symbol	
RBP7	False	RBP7	native_symbol	
UBE4B	False	UBE4B	native_symbol	
KIF1B	False	KIF1B	native_symbol	
ENSG00000284735	True	ENSG00000284735	unmapped_kept_as_ensembl_id	lncRNA
ENSG00000284642	True	ENSG00000284642	unmapped_kept_as_ensembl_id	lncRNA
PGD	False	PGD	native_symbol	
CENPS-CORT	False	CENPS-CORT	native_symbol	
DFFA	False	DFFA	native_symbol	
PEX14	False	PEX14	native_symbol	
ENSG00000287727	True	ENSG00000287727	unmapped_kept_as_ensembl_id	lncRNA
CASZ1	False	CASZ1	native_symbol	
ENSG00000272078	True	CASZ1-AS1	mapped_via_hgnc	lncRNA
C1orf127	False	C1orf127	native_symbol	
TARDBP	False	TARDBP	native_symbol	
MASP2	False	MASP2	native_symbol	
SRM	False	SRM	native_symbol	
EXOSC10	False	EXOSC10	native_symbol	
ENSG00000226849	True	ENSG00000226849	unmapped_kept_as_ensembl_id	NOT_FOUND_IN_ENSEMBL
EXOSC10-AS1	False	EXOSC10-AS1	native_symbol	
MTOR	False	MTOR	native_symbol	
UBIAD1	False	UBIAD1	native_symbol	
ENSG00000284646	True	ENSG00000284646	unmapped_kept_as_ensembl_id	lncRNA
DISP3	False	DISP3	native_symbol	
ENSG00000284708	True	ENSG00000284708	unmapped_kept_as_ensembl_id	lncRNA
FBXO2	False	FBXO2	native_symbol	
FBXO44	False	FBXO44	native_symbol	
MAD2L2	False	MAD2L2	native_symbol	
FBXO6	False	FBXO6	native_symbol	
DRAXIN	False	DRAXIN	native_symbol	
AGTRAP	False	AGTRAP	native_symbol	
C1orf167	False	C1orf167	native_symbol	
MTHFR	False	MTHFR	native_symbol	
CLCN6	False	CLCN6	native_symbol	
NPPA	False	NPPA	native_symbol	
ENSG00000285646	True	ENSG00000285646	unmapped_kept_as_ensembl_id	lncRNA
KIAA2013	False	KIAA2013	native_symbol	
PLOD1	False	PLOD1	native_symbol	
MFN2	False	MFN2	native_symbol	
MIIP	False	MIIP	native_symbol	
TNFRSF8	False	TNFRSF8	native_symbol	
TNFRSF1B	False	TNFRSF1B	native_symbol	
VPS13D	False	VPS13D	native_symbol	
LINC02766	False	LINC02766	native_symbol	
DHRS3	False	DHRS3	native_symbol	
AADACL4	False	AADACL4	native_symbol	
AADACL3	False	AADACL3	native_symbol	
CFAP107	False	CFAP107	native_symbol	
LRRC38	False	LRRC38	native_symbol	
ENSG00000259961	True	ENSG00000259961	unmapped_kept_as_ensembl_id	lncRNA
PDPN	False	PDPN	native_symbol	
PRDM2	False	PRDM2	native_symbol	
KAZN	False	KAZN	native_symbol	
ENSG00000231606	True	ENSG00000231606	unmapped_kept_as_ensembl_id	lncRNA
KAZN-AS1	False	KAZN-AS1	native_symbol	
TMEM51-AS1	False	TMEM51-AS1	native_symbol	
TMEM51	False	TMEM51	native_symbol	
TMEM51-AS2	False	TMEM51-AS2	native_symbol	
FHAD1	False	FHAD1	native_symbol	
FHAD1-AS1	False	FHAD1-AS1	native_symbol	
EFHD2-AS1	False	EFHD2-AS1	native_symbol	
EFHD2	False	EFHD2	native_symbol	
CTRC	False	CTRC	native_symbol	
CELA2A	False	CELA2A	native_symbol	
CELA2B	False	CELA2B	native_symbol	
CASP9	False	CASP9	native_symbol	
DNAJC16	False	DNAJC16	native_symbol	
AGMAT	False	AGMAT	native_symbol	
ENSG00000237301	True	ENSG00000237301	unmapped_kept_as_ensembl_id	lncRNA
DDI2	False	DDI2	native_symbol	
PLEKHM2	False	PLEKHM2	native_symbol	
ENSG00000237938	True	PLEKHM2-AS1	mapped_via_hgnc	lncRNA
SLC25A34	False	SLC25A34	native_symbol	
SLC25A34-AS1	False	SLC25A34-AS1	native_symbol	
FBLIM1	False	FBLIM1	native_symbol	
UQCRHL	False	UQCRHL	native_symbol	
SPEN-AS1	False	SPEN-AS1	native_symbol	
SPEN	False	SPEN	native_symbol	
ZBTB17	False	ZBTB17	native_symbol	
HSPB7	False	HSPB7	native_symbol	
CLCNKA	False	CLCNKA	native_symbol	
CLCNKB	False	CLCNKB	native_symbol	
FAM131C	False	FAM131C	native_symbol	
EPHA2	False	EPHA2	native_symbol	
ARHGEF19	False	ARHGEF19	native_symbol	
CPLANE2	False	CPLANE2	native_symbol	
FBXO42	False	FBXO42	native_symbol	
SZRD1	False	SZRD1	native_symbol	
SPATA21	False	SPATA21	native_symbol	
NECAP2	False	NECAP2	native_symbol	
LINC01772	False	LINC01772	native_symbol	
NBPF1	False	NBPF1	native_symbol	
CROCC	False	CROCC	native_symbol	
ENSG00000238142	True	ENSG00000238142	unmapped_kept_as_ensembl_id	lncRNA
ENSG00000272426	True	ENSG00000272426	unmapped_kept_as_ensembl_id	lncRNA
MFAP2	False	MFAP2	native_symbol	
ENSG00000226526	True	ENSG00000226526	unmapped_kept_as_ensembl_id	lncRNA
ATP13A2	False	ATP13A2	native_symbol	
SDHB	False	SDHB	native_symbol	
PADI2	False	PADI2	native_symbol	
LINC02783	False	LINC02783	native_symbol	
PADI1	False	PADI1	native_symbol	
PADI3	False	PADI3	native_symbol	
PADI4	False	PADI4	native_symbol	
PADI6	False	PADI6	native_symbol	
RCC2	False	RCC2	native_symbol	
ARHGEF10L	False	ARHGEF10L	native_symbol	
LINC02810	False	LINC02810	native_symbol	
ACTL8	False	ACTL8	native_symbol	
ENSG00000284653	True	ENSG00000284653	unmapped_kept_as_ensembl_id	lncRNA
IGSF21	False	IGSF21	native_symbol	
ENSG00000225387	True	ENSG00000225387	unmapped_kept_as_ensembl_id	lncRNA
PAX7	False	PAX7	native_symbol	
ALDH4A1	False	ALDH4A1	native_symbol	
IFFO2	False	IFFO2	native_symbol	
ENSG00000272084	True	ENSG00000272084	unmapped_kept_as_ensembl_id	lncRNA
UBR4	False	UBR4	native_symbol	
EMC1-AS1	False	EMC1-AS1	native_symbol	
EMC1	False	EMC1	native_symbol	
MRTO4	False	MRTO4	native_symbol	
AKR7L	False	AKR7L	native_symbol	
AKR7A3	False	AKR7A3	native_symbol	
AKR7A2	False	AKR7A2	native_symbol	
SLC66A1	False	SLC66A1	native_symbol	
CAPZB	False	CAPZB	native_symbol	
MICOS10	False	MICOS10	native_symbol	
MICOS10-DT	False	MICOS10-DT	native_symbol	
TMCO4	False	TMCO4	native_symbol	
OTUD3	False	OTUD3	native_symbol	
PLA2G5	False	PLA2G5	native_symbol	
PLA2G2C	False	PLA2G2C	native_symbol	
UBXN10	False	UBXN10	native_symbol	
VWA5B1	False	VWA5B1	native_symbol	
ENSG00000226664	True	VWA5B1-AS1	mapped_via_hgnc	lncRNA
CAMK2N1	False	CAMK2N1	native_symbol	
MUL1	False	MUL1	native_symbol	
CDA	False	CDA	native_symbol	
PINK1	False	PINK1	native_symbol	
PINK1-AS	False	PINK1-AS	native_symbol	
DDOST	False	DDOST	native_symbol	
KIF17	False	KIF17	native_symbol	
SH2D5	False	SH2D5	native_symbol	
HP1BP3	False	HP1BP3	native_symbol	
EIF4G3	False	EIF4G3	native_symbol	
ENSG00000287192	True	ENSG00000287192	unmapped_kept_as_ensembl_id	lncRNA
ECE1	False	ECE1	native_symbol	
ECE1-AS1	False	ECE1-AS1	native_symbol	
NBPF3	False	NBPF3	native_symbol	
ALPL	False	ALPL	native_symbol	
RAP1GAP	False	RAP1GAP	native_symbol	
USP48	False	USP48	native_symbol	
LDLRAD2	False	LDLRAD2	native_symbol	
HSPG2	False	HSPG2	native_symbol	
ENSG00000285959	True	ENSG00000285959	unmapped_kept_as_ensembl_id	lncRNA
ENSG00000289694	True	ENSG00000289694	unmapped_kept_as_ensembl_id	protein_coding
CDC42-AS1	False	CDC42-AS1	native_symbol	
CDC42	False	CDC42	native_symbol	
WNT4	False	WNT4	native_symbol	
ENSG00000285873	True	ENSG00000285873	unmapped_kept_as_ensembl_id	lncRNA
ZBTB40	False	ZBTB40	native_symbol	
ENSG00000289692	True	ENSG00000289692	unmapped_kept_as_ensembl_id	protein_coding
C1QC	False	C1QC	native_symbol	
C1QB	False	C1QB	native_symbol	
EPHB2	False	EPHB2	native_symbol	
ENSG00000225952	True	ENSG00000225952	unmapped_kept_as_ensembl_id	lncRNA
TEX46	False	TEX46	native_symbol	
KDM1A	False	KDM1A	native_symbol	
ENSG00000240553	True	ENSG00000240553	unmapped_kept_as_ensembl_id	lncRNA
LUZP1	False	LUZP1	native_symbol	
HTR1D	False	HTR1D	native_symbol	
LINC01355	False	LINC01355	native_symbol	
ENSG00000284726	True	ENSG00000284726	unmapped_kept_as_ensembl_id	lncRNA
HNRNPR	False	HNRNPR	native_symbol	
ZNF436	False	ZNF436	native_symbol	
ZNF436-AS1	False	ZNF436-AS1	native_symbol	
ENSG00000271420	True	ENSG00000271420	unmapped_kept_as_ensembl_id	lncRNA
TCEA3	False	TCEA3	native_symbol	
ASAP3	False	ASAP3	native_symbol	
E2F2	False	E2F2	native_symbol	
ID3	False	ID3	native_symbol	
ENSG00000285802	True	ENSG00000285802	unmapped_kept_as_ensembl_id	lncRNA
MDS2	False	MDS2	native_symbol	
RPL11	False	RPL11	native_symbol	
ELOA-AS1	False	ELOA-AS1	native_symbol	
ELOA	False	ELOA	native_symbol	
PITHD1	False	PITHD1	native_symbol	
LYPLA2	False	LYPLA2	native_symbol	
GALE	False	GALE	native_symbol	
HMGCL	False	HMGCL	native_symbol	
FUCA1	False	FUCA1	native_symbol	
CNR2	False	CNR2	native_symbol	
PNRC2	False	PNRC2	native_symbol	
SRSF10	False	SRSF10	native_symbol	
ENSG00000225315	True	ENSG00000225315	unmapped_kept_as_ensembl_id	lncRNA
MYOM3	False	MYOM3	native_symbol	
IL22RA1	False	IL22RA1	native_symbol	
IFNLR1	False	IFNLR1	native_symbol	
GRHL3	False	GRHL3	native_symbol	
GRHL3-AS1	False	GRHL3-AS1	native_symbol	
STPG1	False	STPG1	native_symbol	
NIPAL3	False	NIPAL3	native_symbol	
RCAN3AS	False	RCAN3AS	native_symbol	
RCAN3	False	RCAN3	native_symbol	
NCMAP-DT	False	NCMAP-DT	native_symbol	
NCMAP	False	NCMAP	native_symbol	
SRRM1	False	SRRM1	native_symbol	
ENSG00000284699	True	ENSG00000284699	unmapped_kept_as_ensembl_id	lncRNA
CLIC4	False	CLIC4	native_symbol	
RUNX3	False	RUNX3	native_symbol	
ENSG00000233755	True	ENSG00000233755	unmapped_kept_as_ensembl_id	lncRNA
