ensembl_id	biotype	description
ENSG00000083622	lncRNA	CFTR antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:40145]
ENSG00000100101	protein_coding	novel transcript
ENSG00000111780	protein_coding	novel protein
ENSG00000124593	protein_coding	novel protein
ENSG00000125695	protein_coding	novel transcript
ENSG00000131152	protein_coding	novel protein
ENSG00000132832	NOT_FOUND_IN_ENSEMBL	
ENSG00000141979	protein_coding	novel protein
ENSG00000142539	protein_coding	novel protein
ENSG00000144785	protein_coding	novel protein
ENSG00000145063	lncRNA	novel transcript
ENSG00000145075	lncRNA	novel transcript
ENSG00000159239	protein_coding	novel protein
ENSG00000167046	lncRNA	novel transcript, antisense to SLCO4A1
ENSG00000167774	protein_coding	novel transcript
ENSG00000167807	protein_coding	novel transcript
ENSG00000170846	protein_coding	Morf4 family associated protein 1 like 2 [Source:HGNC Symbol;Acc:HGNC:25109]
ENSG00000173366	protein_coding	novel twinfilin, actin-binding protein, homolog 2 (Drosophila) (TWF2) and toll-like receptor 9 (TLR9) protein
ENSG00000173867	protein_coding	novel transcript
ENSG00000174171	lncRNA	novel transcript, antisense to SPTBN5
ENSG00000175604	lncRNA	novel transcript, antisense to SNX29
ENSG00000176320	lncRNA	novel transcript
ENSG00000176349	lncRNA	novel transcript, antisense to MAD1L1
ENSG00000176515	lncRNA	novel transcript
ENSG00000176593	lncRNA	ZNF606 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44322]
ENSG00000176868	lncRNA	novel transcript, antisense to PRRC2B
ENSG00000176984	lncRNA	novel transcript, antisense to TRIM29
ENSG00000177596	lncRNA	novel transcript
ENSG00000177699	lncRNA	novel transcript, antisense to RASGRF1
ENSG00000178107	lncRNA	novel transcript
ENSG00000179066	lncRNA	novel transcript
ENSG00000179253	lncRNA	CDH4 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:58218]
ENSG00000180458	lncRNA	novel transcript, antisense to ZNF793
ENSG00000181123	lncRNA	novel transcript, antisense to SEC14L4
ENSG00000182376	lncRNA	PIEZO1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58065]
ENSG00000183154	lncRNA	novel transcript, antisense to ERLIN2
ENSG00000183308	lncRNA	novel transcript
ENSG00000183562	lncRNA	novel transcript, antisense to NAP1L4
ENSG00000183889	protein_coding	nuclear pore complex interacting protein family, member A6 [Source:HGNC Symbol;Acc:HGNC:27893]
ENSG00000184441	lncRNA	novel transcript, antisense to C21orf2
ENSG00000184566	lncRNA	novel transcript, antisense to LMO2
ENSG00000187185	lncRNA	novel transcript
ENSG00000187186	protein_coding	novel protein
ENSG00000187229	lncRNA	PSD3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58211]
ENSG00000188223	protein_coding	novel protein
ENSG00000188365	lncRNA	TNRC18 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58212]
ENSG00000188897	protein_coding	novel lipoprotein amino terminal region containing protein
ENSG00000189229	lncRNA	novel transcript
ENSG00000189316	lncRNA	novel transcript, antisense to ZNF273
ENSG00000196566	lncRNA	novel transcript
ENSG00000196826	protein_coding	novel zinc finger protein
ENSG00000196893	lncRNA	novel transcript, antisense to SLC5A10
ENSG00000197210	lncRNA	novel transcript
ENSG00000197332	lncRNA	zinc finger protein 833, pseudogene [Source:HGNC Symbol;Acc:HGNC:33819]
ENSG00000197462	lncRNA	novel transcript
ENSG00000197585	lncRNA	novel transcript, antisense to VWC2L
ENSG00000197644	lncRNA	novel transcript
ENSG00000197670	lncRNA	ZNF217 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56842]
