ensembl_id	ensembl_display_name
ENSG00000100101	
ENSG00000111780	
ENSG00000124593	
ENSG00000125695	
ENSG00000131152	
ENSG00000141979	
ENSG00000142539	
ENSG00000144785	
ENSG00000159239	
ENSG00000167774	
ENSG00000173366	
ENSG00000173867	
ENSG00000187186	
ENSG00000188223	
ENSG00000196826	
ENSG00000197991	
ENSG00000198211	
ENSG00000203546	
ENSG00000204003	
ENSG00000206549	
ENSG00000213204	
ENSG00000228144	
ENSG00000235007	
ENSG00000236543	
ENSG00000239395	
ENSG00000239920	
ENSG00000241489	
ENSG00000241690	
ENSG00000241962	
ENSG00000243501	
ENSG00000243696	
ENSG00000248235	
ENSG00000248751	
ENSG00000248993	
ENSG00000249141	
ENSG00000249209	
ENSG00000249240	
ENSG00000249319	
ENSG00000249590	
ENSG00000249624	IFNAR2-IL10RB
ENSG00000249773	
ENSG00000249967	
ENSG00000250264	
ENSG00000250349	
ENSG00000250424	
ENSG00000250644	
ENSG00000251012	
ENSG00000251184	
ENSG00000251246	EFNA4-EFNA3
ENSG00000251357	
ENSG00000251537	
ENSG00000251569	
ENSG00000254536	
ENSG00000254553	
ENSG00000254673	
ENSG00000254692	
ENSG00000254706	
ENSG00000254979	
ENSG00000255054	
ENSG00000255292	
ENSG00000255330	
ENSG00000255339	
ENSG00000255432	
ENSG00000255439	
ENSG00000255508	
ENSG00000255639	
ENSG00000255641	
ENSG00000255663	
ENSG00000255730	
ENSG00000255835	
ENSG00000255872	
ENSG00000256029	
ENSG00000256206	
ENSG00000256349	
ENSG00000256407	
ENSG00000256514	
ENSG00000256566	
ENSG00000256591	
ENSG00000256646	
ENSG00000256825	
ENSG00000256861	
ENSG00000256950	
ENSG00000256966	
ENSG00000257062	
ENSG00000257065	
ENSG00000257207	
ENSG00000257341	
ENSG00000257355	
ENSG00000257390	
ENSG00000257411	
ENSG00000257524	
ENSG00000257767	
ENSG00000257921	
ENSG00000258052	
ENSG00000258064	
ENSG00000258311	
ENSG00000258417	
ENSG00000258461	
ENSG00000258465	
ENSG00000258466	
ENSG00000258529	
ENSG00000258539	
ENSG00000258653	
ENSG00000258677	
ENSG00000258691	
ENSG00000258728	
ENSG00000258790	
ENSG00000258830	
ENSG00000258864	
ENSG00000258881	
ENSG00000258989	
ENSG00000259066	
ENSG00000259132	
ENSG00000259316	
ENSG00000259371	
ENSG00000259522	
ENSG00000259529	
