gene	logFC	logCPM	F	PValue	FDR
ERVW-1	6.03971022500917	6.37582429634437	780.432390060382	1.65437547373073e-17	2.79903786400503e-13
AXL	-4.47020827303439	5.84227442125742	388.129690600176	4.50220404665716e-16	2.31646064659378e-12
KCNK6	-4.49187137564918	5.80115094989403	385.922352105228	4.74772952791451e-16	2.31646064659378e-12
PHLDB1	-4.3717046444478	4.53761190797569	374.10850560094	5.47658997953492e-16	2.31646064659378e-12
NFIC	-3.07874954623524	5.56200394806043	388.573287978908	7.64086656624647e-16	2.58551642868648e-12
BICD1	-3.92267942478175	4.74548662445523	431.487513703244	3.44378028530609e-15	9.30610113978771e-12
PKIB	4.80668636482882	7.60969863732368	397.890075311918	4.14441925263324e-15	9.30610113978771e-12
SMCR5	-4.66675708571526	1.840094638834	331.585064968247	4.40030788570847e-15	9.30610113978771e-12
RASA1	3.02883988293243	8.36919670595453	382.336446471992	6.06309941772666e-15	1.1397953227613e-11
CD83	-4.83349205969925	6.03403976741017	286.099553395834	1.0024603689095e-14	1.69606269815799e-11
RFLNB	-4.15131999955024	3.20758139390005	275.255561194811	1.25642670473306e-14	1.93249849248896e-11
ANKRD36C	-4.21205808843205	3.36960446796125	283.736690350052	1.64112875693793e-14	2.12879921882037e-11
MARC1	4.54654956508107	4.47366093743141	291.290371864102	1.94714531638468e-14	2.12879921882037e-11
BZW2	3.40259517576089	8.10339301797094	339.853893397212	1.94952109393507e-14	2.12879921882037e-11
SLC17A9	-4.37717302980723	2.14911571012274	297.278474055904	1.96668638628175e-14	2.12879921882037e-11
AFF3	-3.69903871220191	4.71326023670452	347.803219444591	2.01316788823961e-14	2.12879921882037e-11
IRAK3	-4.89028465257808	3.5077704044269	339.073584482371	2.38655364752011e-14	2.37518242131723e-11
EDARADD	4.00219049828206	3.3194932190798	269.841299334458	2.85973502285369e-14	2.68799204731454e-11
DOCK4	-4.39214891118966	5.48890403485884	382.184105490537	3.23487742776412e-14	2.77467136034057e-11
TIE1	-4.42867029115824	2.69488265688429	269.540758524026	3.38473675695835e-14	2.77467136034057e-11
LINC00885	4.54507195975465	1.67181216339523	336.67783071466	3.44394459289273e-14	2.77467136034057e-11
LDLRAD4	-5.0931488751367	5.14078538509222	273.420451008232	3.77068860961646e-14	2.89983093573186e-11
PAMR1	-5.12787174140926	5.30895521111912	250.753256207873	3.99898210142027e-14	2.94168600756215e-11
FYN	-3.36187141270966	5.94581443860886	266.378482962039	5.55865016538572e-14	3.91861675617337e-11
GRHL1	4.87721403678437	5.72130741604053	262.335462327037	6.07952598427759e-14	4.01939145197527e-11
LRP12	-4.22243593517816	2.89749732645162	322.118140011309	6.46697312719178e-14	4.01939145197527e-11
LRRC1	3.27485071122916	5.47276647547749	262.979867135182	6.48588649793571e-14	4.01939145197527e-11
VEGFA	-3.29601079115324	5.73596875720508	251.108030019215	6.77062064775908e-14	4.01939145197527e-11
MEG3	-5.56136442161091	7.74502135874494	237.829315704974	6.88943507933582e-14	4.01939145197527e-11
PLEKHO1	-4.46982817851713	5.30919422881007	257.073094316973	7.89925773672224e-14	4.41145027738191e-11
CAMK1D	-3.79010637645009	4.12131203747585	302.987047883019	8.30188315335353e-14	4.41145027738191e-11
TSHZ3	-5.50239259663693	3.96939182641574	334.451316773405	8.36226571715721e-14	4.41145027738191e-11
CDC42BPG	3.9588232692436	2.22080493603553	237.404998458886	8.60440091929802e-14	4.41145027738191e-11
AL136962.1	4.63067871857756	4.80787250912691	241.147607281049	8.88741510920708e-14	4.42253459507866e-11
ZCCHC24	-4.6350532926458	4.41874034200885	263.416961683579	9.88316851061866e-14	4.6513678979808e-11
AEBP1	-4.5561980468135	5.5989480083666	235.194997403809	9.8971123782321e-14	4.6513678979808e-11
ABCC4	-3.70448435389251	2.95400479268912	302.155560421762	1.03209283017306e-13	4.71945367397242e-11
GRIP1	4.03045159908392	7.49456584553433	225.42919953489	1.1118901767491e-13	4.95054471063631e-11
ZFAT	3.53848308174529	6.70672845009951	264.352727851233	1.22016392818306e-13	5.29332141049465e-11
SLC5A6	2.78896313150974	5.35438668947778	255.408053165114	1.38297364255918e-13	5.8496327646147e-11
MCC	-4.3662064672525	5.73022129030029	249.14066293736	1.45809124393581e-13	6.01693798930486e-11
SLC46A3	-3.82656730450075	2.49426204931175	255.489950434845	1.53226442184657e-13	6.03473349765559e-11
ACKR2	4.64559965443107	4.80228261484109	260.034426823972	1.53374041254915e-13	6.03473349765559e-11
TCF4	-5.18047267005954	6.15624732310429	236.028524309019	1.66640796494687e-13	6.40771735430366e-11
C5AR2	-4.31100303090722	0.957692960508994	213.231953912312	1.92714008663628e-13	7.24561847239984e-11
PRKACB	-3.23869449166728	4.646390142562	242.514111176675	2.08141558827949e-13	7.65129292913068e-11
NPDC1	-4.51804608528409	4.60056693549206	215.220362489956	2.24376480109489e-13	7.65129292913068e-11
JPH1	-4.75939789325103	1.49859759673184	225.029811926618	2.28659166352758e-13	7.65129292913068e-11
KATNAL1	-3.40949058599239	3.35746375289028	258.950608427067	2.3186635052938e-13	7.65129292913068e-11
FAM184A	4.55729983239148	5.45419620055767	241.770447612856	2.37471888509235e-13	7.65129292913068e-11
EPB41L2	-3.0910782178315	5.13993379901094	225.985515637992	2.4084189993897e-13	7.65129292913068e-11
GLDC	5.53161848329198	4.94046610938411	243.412877674197	2.41913936567702e-13	7.65129292913068e-11
PIAS2	-2.94282319377554	3.90637332947876	227.19462321693	2.42708530348537e-13	7.65129292913068e-11
TSPAN5	-4.40323337195268	5.18176341917581	225.923119983226	2.47417229691443e-13	7.65129292913068e-11
GDAP1	-3.68910070144157	1.9079198080391	254.099137472912	2.48726940777934e-13	7.65129292913068e-11
PPP1R13L	3.32045898428958	4.8305980895698	230.30880424306	2.61238850617865e-13	7.89267877429224e-11
PMP22	-4.19733322447924	6.89211431168054	236.596372108093	2.69129557010872e-13	7.98842627204727e-11
PLSCR4	-4.04573993120874	3.60375162539458	249.386628574495	3.03924473640293e-13	8.71915462255442e-11
MEG8	-4.77186304605851	4.77147344191947	303.761775773705	3.04054685696974e-13	8.71915462255442e-11
PTPRN2	-4.91956699122363	3.19163465349115	216.228368994065	3.19751389450155e-13	9.01645626351195e-11
COBLL1	3.83005316977421	7.55388040408019	226.726613974479	3.42287961489309e-13	9.49372134497969e-11
PLXNA4	-5.29844480795986	3.37447010539001	212.262492831927	3.55219955484457e-13	9.63280799484998e-11
ADAMTS9	-5.32139878667472	6.100227976157	247.663187137158	3.58689581934836e-13	9.63280799484998e-11
FHDC1	3.67213757883364	4.846211394577	216.724082343883	3.80967546028302e-13	1.00712342363326e-10
PRKCZ	3.77008312887983	6.40974326993057	242.7667697345	3.96313917355789e-13	1.03157464119117e-10
ADAMTS5	-5.040958076007	6.52146164865463	223.589890095367	4.16544941778296e-13	1.05608384104506e-10
TNFRSF10D	-3.85711122781491	2.31903998766064	243.92499079276	4.18213944973218e-13	1.05608384104506e-10
LINC00342	-5.17532034607778	0.774134250191991	220.480924787421	4.53612965991928e-13	1.11436405068323e-10
FAM213B	-3.61352850017736	1.97359640208632	215.696935289921	4.54466100225444e-13	1.11436405068323e-10
SCPEP1	-2.69458916970399	5.35248687023838	223.822223142531	4.63017688211804e-13	1.11743817987915e-10
AC100793.2	-4.62158599552337	1.01366025096904	249.171730185424	4.68929078381816e-13	1.11743817987915e-10
CDK2	2.4164025283285	4.94114310140791	229.11811903632	4.8544139191523e-13	1.14071984858525e-10
MYO5A	-3.80845572466777	4.51517692893235	280.776528511597	5.07184974057799e-13	1.17548802412108e-10
PWAR6	-5.20824902922847	1.02174206711552	223.901234035958	5.22501962215668e-13	1.19462306739552e-10
STAMBPL1	-5.134067309484	3.10010973982333	214.958963061276	5.46842172761083e-13	1.2336030294593e-10
C19orf66	-2.88871388678046	4.69088777552678	203.929599020189	5.9278276646556e-13	1.31210080984237e-10
ATP8B2	-4.33451621861296	2.84167178876313	264.701741874174	6.00092810589775e-13	1.31210080984237e-10
SLC9A9	-5.17197656691349	5.63270029145709	219.441028914308	6.0490491853954e-13	1.31210080984237e-10
F3	-3.5099821943855	6.22424844097558	220.417385046374	6.24877163532165e-13	1.33826540883553e-10
CELF2	-5.25921633571237	6.01533663904536	212.427262310557	6.63835158919295e-13	1.39316783472567e-10
MYL9	-3.46720669193757	8.55291234434435	209.308451055437	6.6698146824741e-13	1.39316783472567e-10
LINC01094	-4.2283556515354	3.21495624968226	218.023140821221	7.00524440277238e-13	1.44538695183544e-10
PDE7B	-3.70032528670256	4.09379844283807	202.934021421407	7.38304048250574e-13	1.50498387859656e-10
ROR2	-4.84520345490459	5.14832978573875	270.90085510368	7.48196111467705e-13	1.50699166784787e-10
SLC6A4	5.70097754208086	4.63862672336883	217.966104988056	7.65800676471618e-13	1.52430372296745e-10
RUBCNL	-5.18421232825772	3.47105623237921	211.519444206589	8.18282638398204e-13	1.5937900614511e-10
THRB	3.95163070387495	5.27345319373415	183.112897312026	8.25431979877489e-13	1.5937900614511e-10
HDGFL3	-4.49062467657056	3.85968291983329	220.409001867696	8.29407754882326e-13	1.5937900614511e-10
MBNL3	4.1726789957977	6.59739146006566	222.593669502533	8.38390658248997e-13	1.5937900614511e-10
HOXA9	-4.86980918858584	2.35959492733026	263.633396684667	8.75461799846419e-13	1.63113441980158e-10
ISL1	5.05043075906075	2.97423824475047	229.192331473151	8.77316816608215e-13	1.63113441980158e-10
PRICKLE1	-4.58145927843072	3.61444977858175	226.687126301639	9.2650092123304e-13	1.68136474568999e-10
SLC8A1	-4.36695086289035	5.61085435033629	257.783008542751	9.41216462195637e-13	1.68136474568999e-10
ADGRD1	-4.39210673497453	4.05268754342197	233.555800586656	9.43592253791333e-13	1.68136474568999e-10
