gene	logFC	logCPM	F	PValue	FDR
AL162414.1	-3.39613050663984	2.74461885148802	164.67704803013	5.60250254491293e-14	1.23019750881198e-09
AUNIP	1.50624425263476	2.24840091711207	188.455714672043	1.29835183010585e-13	1.42546047427321e-09
AC025040.1	-2.9541902673279	1.24152726003816	119.730047419673	3.96375019938266e-13	2.90120089593481e-09
TFAP2A-AS2	1.69105895162413	2.46897307767286	123.310997342632	1.29674258282894e-12	5.12680127629986e-09
AC092652.1	-3.21514126142061	0.709960801175914	138.216462115908	1.4667834471765e-12	5.12680127629986e-09
AC124014.1	-4.05814331969337	0.453296257912117	152.148768718894	1.60155928223134e-12	5.12680127629986e-09
C18orf54	1.41781702486105	4.87454162704401	163.03583162994	1.63437512223786e-12	5.12680127629986e-09
AC243960.1	-3.05840099098364	1.419542789076	110.158128883331	1.91492265699699e-12	5.25598396279249e-09
AIM2	-2.83386300011281	2.09620402251258	109.490109750809	2.78499013403393e-12	6.79475704034634e-09
AC087672.2	-3.75783100177535	1.84011140746948	119.868104945647	3.5534197716212e-12	7.21382417485305e-09
AC011900.1	1.80727141285622	0.826482299564855	116.767934606524	3.93427875382918e-12	7.21382417485305e-09
LINC00113	-3.19607897677559	1.36286421863882	110.408036191743	3.9423394707276e-12	7.21382417485305e-09
MACORIS	-2.87592685287582	0.112058955679843	107.494290210433	5.02581254345465e-12	8.35659672621639e-09
CADM3-AS1	-3.26169000850418	1.25752173941347	116.977460181356	5.32800592800025e-12	8.35659672621639e-09
AC009313.1	-3.16522941311252	1.84157611606786	113.809885858369	6.07199585673921e-12	8.88859233481864e-09
AL445213.2	-4.64980978458668	1.52144164773022	168.505119809713	7.41072120103964e-12	1.00199507042264e-08
LST1	-2.18230667571519	1.8824551294551	102.805572688562	7.75749895126374e-12	1.00199507042264e-08
AC005487.1	1.75384026400129	1.26312547771413	103.516292562716	8.30240203619073e-12	1.01280079950376e-08
IGFL2-AS1	1.62370756344809	3.51786083078866	112.435383624888	1.20064266551318e-11	1.32397779739173e-08
AL353770.4	2.33746063452587	1.99057113098675	102.23041032294	1.20591838727728e-11	1.32397779739173e-08
CD209	-2.22520356361002	1.33654560221395	98.9650289483766	1.73738666633829e-11	1.73925154885268e-08
AC092652.2	-3.20236895475342	1.35158927085739	95.7017812647908	1.74257828922302e-11	1.73925154885268e-08
LINC01356	1.52580357639173	3.35523511340811	118.370689577277	2.10880526247893e-11	2.01326721537011e-08
MCM4	0.917013004573982	4.41026038503791	127.084516454471	2.44121360094946e-11	2.23350701040201e-08
AC009269.2	-2.52599697681672	0.982319905426512	91.0800208933914	2.98782370333078e-11	2.56210491500663e-08
INHBA-AS1	1.51961560649499	2.8962745667009	99.4067309973836	3.1032757516181e-11	2.56210491500663e-08
PLVAP	-2.38294653987139	2.10119808440655	93.1985075860851	3.45703420253039e-11	2.56210491500663e-08
ILVBL	0.863549953089144	4.20023159818815	123.075733981324	3.51267860148564e-11	2.56210491500663e-08
AC002465.1	-3.05377442033509	0.636942345885713	124.559709393216	3.54784977155555e-11	2.56210491500663e-08
RASGRP4	-2.29792648540735	0.395312117502995	97.9130384707385	3.70125117130158e-11	2.56210491500663e-08
AC234031.1	1.73986147930244	2.90435240157404	97.0203454409197	3.80170148753210e-11	2.56210491500663e-08
LOXL3	-2.00529760279477	2.83534054472067	111.1433169988	3.91023411282045e-11	2.56210491500663e-08
ADRB2	-2.30464990684759	0.916459759677574	90.9187038308246	3.95676617560569e-11	2.56210491500663e-08
LINC01753	1.5862335140836	2.65932179141853	90.298346315765	4.05038300707898e-11	2.56210491500663e-08
AL451069.2	1.06742207073794	1.09855338953282	102.364485539007	4.08642457776324e-11	2.56210491500663e-08
AL392172.2	-2.74705586196331	1.02052377656562	86.6715759420325	4.21928594133907e-11	2.56210491500663e-08
SIGLEC11	-3.94851280276204	0.934402272687304	124.247192609981	4.31723662698084e-11	2.56210491500663e-08
KL	-2.44032530589961	3.06592131653048	95.9608285251904	4.48310614199709e-11	2.59052749120979e-08
LINC02732	1.85402260800562	2.51466296499392	94.186220093676	5.01097450226619e-11	2.82130713130156e-08
AL138930.1	-3.40577748896916	-0.0962450894488306	114.632373122202	5.21581524688697e-11	2.83626716831908e-08
BTK	-2.45829667103027	2.23146991894881	96.5788813715986	5.29588095004474e-11	2.83626716831908e-08
AC087627.1	-2.79477685175529	1.80329088432045	89.7129466369423	5.6100046536717e-11	2.87424277851615e-08
AC099329.2	1.61905346563159	3.11016520658063	100.983319219422	5.69385225480782e-11	2.87424277851615e-08
ZNF366	-3.23128140608336	3.29229048988253	94.0561670245104	5.75948092971630e-11	2.87424277851615e-08
COX7B2	1.62193758259679	2.3276882255701	91.6211268040204	6.16708605053040e-11	3.00926389994548e-08
AC008938.1	1.9478950210552	2.93622513421018	90.3528534099053	6.59452081815272e-11	3.11565533905994e-08
AC022150.4	1.23214747022705	3.69411300495492	114.898195200232	6.90304366072819e-11	3.11565533905994e-08
LPAR5	-2.31416414916559	1.71685062680217	95.91409928402	6.95730843673136e-11	3.11565533905994e-08
LINC01673	-3.12539574500939	0.877128563675453	98.4998030665745	6.97976441005883e-11	3.11565533905994e-08
AC010615.2	1.0939173911617	3.75865666735139	114.843476236145	7.09457905788309e-11	3.11565533905994e-08
CD33	-3.01319781201262	1.47853739770036	84.6163698610119	7.53330036292466e-11	3.20093041028755e-08
AC044781.1	-3.00449468822555	0.767725267872696	87.4249576276068	7.58030701042685e-11	3.20093041028755e-08
FCGR1B	-2.55067326301146	1.34310076865455	87.5971062359747	8.08908715665705e-11	3.30385868129192e-08
RASGRF1	1.12782508302527	3.0223826753507	113.569141994542	8.12498263911849e-11	3.30385868129192e-08
AC100849.2	-3.27305252571514	0.964994063806084	103.33377422484	8.53516301592244e-11	3.40754744552045e-08
DEPDC1B	1.99802790411896	8.79896673581327	111.650128608822	9.21963067809656e-11	3.51620013295603e-08
AC006355.2	-1.77104077524078	0.407718639315268	87.8901201229178	9.306979596847e-11	3.51620013295603e-08
LIN9	0.930098366471148	4.49689023963032	111.348830435826	9.58045429680629e-11	3.51620013295603e-08
AC078788.1	-3.99252694886479	0.316999490506452	116.793897251044	9.60467031391763e-11	3.51620013295603e-08
AL353586.1	-2.35187697041687	1.59215417858885	88.4110892206994	9.60797923205035e-11	3.51620013295603e-08
AC079015.1	-3.52665592521783	1.96245088105467	79.4870721348921	1.05029138200329e-10	3.78070461738169e-08
DSN1	0.831563089184346	4.22166076657433	110.108525015924	1.08352442595309e-10	3.82215276998221e-08
IL21R	-2.81412398134054	2.11079932663671	89.6711569621058	1.096619111526e-10	3.82215276998221e-08
LILRB2	-3.42476880970868	1.31856385671237	86.1840847083198	1.13597642803241e-10	3.89746412605246e-08
HCK	-3.20180238980024	4.1279250234441	96.7072169544255	1.16607373052251e-10	3.90730293010815e-08
ASB5	1.89193727557868	1.85085618142798	81.0637913008385	1.18865713022858e-10	3.90730293010815e-08
ARL14EPL	1.87944292952096	1.74344595338749	88.0000065648566	1.19222741742074e-10	3.90730293010815e-08
AC110995.1	-3.33267034483599	3.04602410784819	90.0513684779546	1.2318322674493e-10	3.94214644141412e-08
SIGLEC1	-3.71284055514489	4.42141944605766	92.643512317423	1.25130020612351e-10	3.94214644141412e-08
LINC02691	-2.25577418237768	1.31103887549897	85.3479179176384	1.25671851215497e-10	3.94214644141412e-08
CDC42BPG	1.40662876041916	3.36520783669442	105.602449395162	1.30008435756063e-10	4.02073976384738e-08
OR8A1	1.60500692164755	1.85308794853672	83.9819884218539	1.36146544798478e-10	4.07767073326293e-08
EPHA3	-3.37590890108103	5.01346332414548	91.9741195100373	1.36668921331176e-10	4.07767073326293e-08
TEX30	0.798444986065209	3.56174935088669	107.723587112277	1.37799263067224e-10	4.07767073326293e-08
CEP85	1.02532397242288	4.22476446065829	107.510194968756	1.3927739547988e-10	4.07767073326293e-08
TFAP2A-AS1	1.92552329492631	3.63632093894367	87.9666438917641	1.44779191644793e-10	4.18297564491627e-08
TP63	1.3749105909101	6.19171874141908	106.965410468595	1.49029700609478e-10	4.24986255322457e-08
AP001605.1	-3.40648172666555	4.25007444011732	96.5665776677347	1.51302721671176e-10	4.25936559289189e-08
AC138207.5	-2.86367866514585	0.577260305706382	92.3814416898087	1.54753895808044e-10	4.30137473943423e-08
AC093821.1	1.18875920206488	2.63962190782334	91.583103005662	1.59413414849743e-10	4.37549970408832e-08
AC013451.1	-2.37397501746724	0.633988003139555	93.4345903491483	1.62449875591513e-10	4.40379551634374e-08
HK3	-3.40979598834338	1.06440389792969	90.1357603973819	1.67312482075028e-10	4.47867966045517e-08
RAB3B	1.89365674099545	6.47697674612608	99.8367576148487	1.70353724822029e-10	4.47867966045517e-08
DOK3	-2.22088638444908	2.22644930980427	85.6217823306281	1.75311698827152e-10	4.47867966045517e-08
NEURL2	-2.3264787376092	2.08089431082345	84.7698366715238	1.75665253395699e-10	4.47867966045517e-08
EGR2	-2.2843187998133	1.10257885324592	89.606968827595	1.76333784165221e-10	4.47867966045517e-08
TNFSF8	-2.81465263815861	2.02036048920268	80.7204226277789	1.79199387675767e-10	4.47867966045517e-08
DOCK4-AS1	-3.52970979433531	1.28405831061077	83.4737334550957	1.82999541279161e-10	4.47867966045517e-08
AL137789.1	-4.41309937169938	1.62894791116838	122.169490082768	1.83303290523268e-10	4.47867966045517e-08
AC009951.5	-3.97259908737646	0.686551183189543	108.267607367198	1.83569163603682e-10	4.47867966045517e-08
