organ	n_samples	elevated_pct	quorum	n_elevated_hdma_only	adult_excl_pct	adult_ref_provenance	n_F_developmental_candidates
Adrenal	4	75	0.5	4732	10	GTEx+HPA	259
Adrenal	4	75	0.5	4732	25	GTEx+HPA	466
Adrenal	4	75	1.0	4732	10	GTEx+HPA	259
Adrenal	4	75	1.0	4732	25	GTEx+HPA	466
Adrenal	4	90	0.5	1843	10	GTEx+HPA	75
Adrenal	4	90	0.5	1843	25	GTEx+HPA	153
Adrenal	4	90	1.0	1843	10	GTEx+HPA	75
Adrenal	4	90	1.0	1843	25	GTEx+HPA	153
Thyroid	3	75	0.5	5255	10	GTEx+HPA	290
Thyroid	3	75	0.5	5255	25	GTEx+HPA	464
Thyroid	3	75	1.0	5251	10	GTEx+HPA	287
Thyroid	3	75	1.0	5251	25	GTEx+HPA	461
Thyroid	3	90	0.5	2136	10	GTEx+HPA	106
Thyroid	3	90	0.5	2136	25	GTEx+HPA	180
Thyroid	3	90	1.0	2134	10	GTEx+HPA	104
Thyroid	3	90	1.0	2134	25	GTEx+HPA	178
Spleen	3	75	0.5	5852	10	GTEx+HPA	462
Spleen	3	75	0.5	5852	25	GTEx+HPA	754
Spleen	3	75	1.0	5852	10	GTEx+HPA	462
Spleen	3	75	1.0	5852	25	GTEx+HPA	754
Spleen	3	90	0.5	2335	10	GTEx+HPA	142
Spleen	3	90	0.5	2335	25	GTEx+HPA	263
Spleen	3	90	1.0	2335	10	GTEx+HPA	142
Spleen	3	90	1.0	2335	25	GTEx+HPA	263
Thymus	3	75	0.5	5615	10	HPA-only	671
Thymus	3	75	0.5	5615	25	HPA-only	1191
Thymus	3	75	1.0	5615	10	HPA-only	671
Thymus	3	75	1.0	5615	25	HPA-only	1191
Thymus	3	90	0.5	2218	10	HPA-only	203
Thymus	3	90	0.5	2218	25	HPA-only	379
Thymus	3	90	1.0	2218	10	HPA-only	203
Thymus	3	90	1.0	2218	25	HPA-only	379
Liver	7	75	0.5	5660	10	GTEx+HPA	315
Liver	7	75	0.5	5660	25	GTEx+HPA	516
Liver	7	75	1.0	5660	10	GTEx+HPA	315
Liver	7	75	1.0	5660	25	GTEx+HPA	516
Liver	7	90	0.5	2250	10	GTEx+HPA	89
Liver	7	90	0.5	2250	25	GTEx+HPA	156
Liver	7	90	1.0	2250	10	GTEx+HPA	89
Liver	7	90	1.0	2250	25	GTEx+HPA	156
Skin	3	75	0.5	5823	10	GTEx+HPA	476
Skin	3	75	0.5	5823	25	GTEx+HPA	786
Skin	3	75	1.0	5823	10	GTEx+HPA	476
Skin	3	75	1.0	5823	25	GTEx+HPA	786
Skin	3	90	0.5	2319	10	GTEx+HPA	176
Skin	3	90	0.5	2319	25	GTEx+HPA	310
Skin	3	90	1.0	2319	10	GTEx+HPA	176
Skin	3	90	1.0	2319	25	GTEx+HPA	310
Stomach	6	75	0.5	5196	10	GTEx+HPA	320
Stomach	6	75	0.5	5196	25	GTEx+HPA	545
Stomach	6	75	1.0	5196	10	GTEx+HPA	320
Stomach	6	75	1.0	5196	25	GTEx+HPA	545
Stomach	6	90	0.5	2093	10	GTEx+HPA	127
Stomach	6	90	0.5	2093	25	GTEx+HPA	209
Stomach	6	90	1.0	2093	10	GTEx+HPA	127
Stomach	6	90	1.0	2093	25	GTEx+HPA	209
