organ	gene_adult_evidence_provenance	elev_pct	adult_pct	gene	in_hdma_universe	hdma_median_pct	elevated	adult_excluded	passes_F_developmental	n_candidates_this_combo
Adrenal	GTEx+HPA	75	10	DLK1	True	88.06374348957198	True	False	False	451
Adrenal	GTEx+HPA	75	10	IGF2	True	89.11773091205299	True	False	False	451
Adrenal	GTEx-only	75	10	H19	True	78.12262880207207	True	False	False	451
Adrenal	GTEx+HPA	75	10	LIN28B	True	73.08297924123707	False	True	False	451
Adrenal	GTEx+HPA	75	10	PEG10	True	91.38094440853551	True	False	False	451
Adrenal	GTEx+HPA	75	25	DLK1	True	88.06374348957198	True	False	False	681
Adrenal	GTEx+HPA	75	25	IGF2	True	89.11773091205299	True	False	False	681
Adrenal	GTEx-only	75	25	H19	True	78.12262880207207	True	False	False	681
Adrenal	GTEx+HPA	75	25	LIN28B	True	73.08297924123707	False	True	False	681
Adrenal	GTEx+HPA	75	25	PEG10	True	91.38094440853551	True	False	False	681
Adrenal	GTEx+HPA	90	10	DLK1	True	88.06374348957198	False	False	False	127
Adrenal	GTEx+HPA	90	10	IGF2	True	89.11773091205299	False	False	False	127
Adrenal	GTEx-only	90	10	H19	True	78.12262880207207	False	False	False	127
Adrenal	GTEx+HPA	90	10	LIN28B	True	73.08297924123707	False	True	False	127
Adrenal	GTEx+HPA	90	10	PEG10	True	91.38094440853551	True	False	False	127
Adrenal	GTEx+HPA	90	25	DLK1	True	88.06374348957198	False	False	False	211
Adrenal	GTEx+HPA	90	25	IGF2	True	89.11773091205299	False	False	False	211
Adrenal	GTEx-only	90	25	H19	True	78.12262880207207	False	False	False	211
Adrenal	GTEx+HPA	90	25	LIN28B	True	73.08297924123707	False	True	False	211
Adrenal	GTEx+HPA	90	25	PEG10	True	91.38094440853551	True	False	False	211
Thyroid	GTEx+HPA	75	10	DLK1	True	79.7698473111539	True	True	True	471
Thyroid	GTEx+HPA	75	10	IGF2	True	89.54922951370553	True	False	False	471
Thyroid	GTEx-only	75	10	H19	True	80.72104075656473	True	False	False	471
Thyroid	GTEx+HPA	75	10	LIN28B	True	48.425553319919516	False	True	False	471
Thyroid	GTEx+HPA	75	10	PEG10	True	93.14963275886899	True	False	False	471
Thyroid	GTEx+HPA	75	25	DLK1	True	79.7698473111539	True	True	True	684
Thyroid	GTEx+HPA	75	25	IGF2	True	89.54922951370553	True	False	False	684
Thyroid	GTEx-only	75	25	H19	True	80.72104075656473	True	False	False	684
Thyroid	GTEx+HPA	75	25	LIN28B	True	48.425553319919516	False	True	False	684
Thyroid	GTEx+HPA	75	25	PEG10	True	93.14963275886899	True	False	False	684
Thyroid	GTEx+HPA	90	10	DLK1	True	79.7698473111539	False	True	False	157
Thyroid	GTEx+HPA	90	10	IGF2	True	89.54922951370553	False	False	False	157
Thyroid	GTEx-only	90	10	H19	True	80.72104075656473	False	False	False	157
Thyroid	GTEx+HPA	90	10	LIN28B	True	48.425553319919516	False	True	False	157
Thyroid	GTEx+HPA	90	10	PEG10	True	93.14963275886899	True	False	False	157
