gene	T273_b16_Adr_PCW18	T318_b16_Adr_PCW21	T390_b16_Adr_PCW13	T40_b16_Adr_PCW17
A1BG	0	0	0	0
A1BG-AS1	2	3	0	0
A1CF	18	24	0	9
A2M	174	162	48	497
A2M-AS1	7	9	0	15
A2ML1	45	92	5	55
A2ML1-AS1	50	67	5	34
A3GALT2	11	15	1	11
A4GNT	2	0	0	0
AAAS	130	157	6	108
AACS	169	159	16	123
AADAC	115	27	2	9
AADACL2	1	4	0	0
AADACL2-AS1	47	93	8	60
AADACL3	6	4	0	4
AADACL4	2	3	0	0
AADAT	25	39	20	49
AAGAB	240	181	20	193
AAK1	2418	2822	149	2132
AAMDC	1988	2657	66	1537
AAMP	88	115	7	60
AANAT	4	9	1	5
AAR2	222	181	13	120
AARD	10	15	0	4
AARS1	287	427	15	228
AARS2	53	67	7	67
AASDH	261	309	28	297
AASDH-DT	0	0	1	4
AASDHPPT	216	359	31	277
AASDHPPT-AS1	8	9	1	3
AASS	338	456	33	299
AATBC	2	2	0	0
AATF	1023	1755	56	521
AATK	28	72	15	54
ABALON	1	1	0	2
ABAT	191	377	67	572
ABCA1	2289	6729	244	2706
ABCA10	577	562	43	452
ABCA12	54	85	6	40
ABCA13	62	85	7	46
ABCA2	27	72	7	30
ABCA3	118	148	45	146
ABCA4	30	41	3	26
ABCA5	3053	4905	135	1517
ABCA6	131	196	23	200
ABCA7	23	74	5	42
ABCA8	81	107	31	154
ABCA9	115	257	43	139
ABCA9-AS1	16	24	3	11
ABCB1	572	1131	28	232
ABCB10	113	149	27	145
ABCB11	36	42	4	33
ABCB4	97	283	11	280
ABCB5	91	126	5	73
ABCB7	484	525	47	453
ABCB8	101	207	12	105
ABCB9	84	221	20	193
ABCC1	2373	4267	149	1544
ABCC10	225	867	25	294
ABCC11	45	53	2	39
ABCC12	8	7	0	7
ABCC2	22	48	2	29
ABCC3	56	84	6	57
ABCC4	140	255	33	254
ABCC5	1688	5464	135	874
ABCC5-AS1	7	15	1	5
ABCC6	65	141	4	108
ABCC8	14	35	13	33
ABCC9	94	139	32	100
ABCD1	158	430	9	136
ABCD2	17	32	3	44
ABCD3	953	848	41	644
ABCD4	495	416	29	255
ABCE1	486	887	39	313
ABCF1	286	510	27	228
ABCF3	168	588	13	118
ABCG1	149	1039	50	373
ABCG2	82	114	29	161
ABCG4	1	3	2	6
ABCG5	11	18	2	7
ABCG8	11	21	4	10
ABHD1	14	17	2	19
ABHD10	111	95	11	114
ABHD11	8	13	1	16
ABHD12	264	393	36	281
ABHD12B	10	12	2	2
ABHD13	119	132	12	124
ABHD14A	8	7	1	15
ABHD14A-ACY1	20	15	1	19
ABHD14B	4	11	2	6
ABHD15	2	10	0	4
ABHD15-AS1	71	112	11	103
ABHD16B	1	0	0	0
ABHD16B-AS1	10	3	0	7
ABHD17A	24	45	2	34
ABHD17B	305	286	24	240
ABHD17C	107	261	8	155
ABHD18	1060	2931	103	894
ABHD2	358	543	70	562
ABHD3	637	1093	57	290
ABHD4	229	214	10	65
ABHD5	98	107	17	108
ABHD6	290	389	32	412
ABHD8	59	66	3	121
ABI1	744	890	84	656
