gene	T303_b10_Esophagus_PCW21
A1BG	8
A1BG-AS1	138
A1CF	149
A2M	5892
A2M-AS1	61
A2ML1	9619
A2ML1-AS1	409
A3GALT2	107
A4GALT	4
A4GNT	70
AAAS	1115
AACS	2175
AADAC	77
AADACL2	71
AADACL2-AS1	1916
AADACL3	10
AADACL4	32
AADAT	1568
AAGAB	2831
AAK1	13610
AAMDC	6105
AAMP	558
AANAT	61
AAR2	636
AARD	79
AARS1	1824
AARS2	1192
AASDH	2348
AASDH-DT	26
AASDHPPT	2789
AASDHPPT-AS1	33
AASS	5677
AATBC	66
AATF	3745
AATK	880
ABALON	15
ABAT	2668
ABCA1	7833
ABCA10	4140
ABCA12	960
ABCA13	9895
ABCA2	484
ABCA3	1018
ABCA4	298
ABCA5	13787
ABCA6	1904
ABCA7	455
ABCA8	3587
ABCA9	1817
ABCA9-AS1	146
ABCB1	1140
ABCB10	3308
ABCB11	249
ABCB4	305
ABCB5	545
ABCB7	5316
ABCB8	1159
ABCB9	677
ABCC1	11153
ABCC10	1432
ABCC11	200
ABCC12	84
ABCC2	289
ABCC3	2548
ABCC4	4120
ABCC5	5585
ABCC5-AS1	31
ABCC6	852
ABCC8	547
ABCC9	7811
ABCD1	236
ABCD2	794
ABCD3	11532
ABCD4	1797
ABCE1	4495
ABCF1	2666
ABCF2	2
ABCF2-H2BK1	4
ABCF3	705
ABCG1	2099
ABCG2	1425
ABCG4	57
ABCG5	50
ABCG8	82
ABHD1	71
ABHD10	1127
ABHD11	569
ABHD12	5210
ABHD12B	206
ABHD13	1220
ABHD14A	57
ABHD14A-ACY1	94
ABHD14B	113
ABHD15	93
ABHD15-AS1	523
ABHD16B	7
ABHD16B-AS1	77
ABHD17A	349
ABHD17B	4638
ABHD17C	4749
ABHD18	6807
ABHD2	6461
ABHD3	3662
ABHD4	668
ABHD5	1537
ABHD6	1310
ABHD8	655
ABI1	21655
ABI2	9861
ABI3	111
ABI3BP	43932
ABITRAM	1135
ABL1	11495
ABL2	7305
ABLIM1	30450
ABLIM2	2330
ABLIM2-DT	17
ABLIM3	4978
ABO	8384
ABR	7924
ABR-AS1	11
ABRA	24
ABRACL	305
ABRAXAS1	1179
ABRAXAS2	2816
ABT1	121
ABTB1	323
ABTB2	2008
ACAA1	1013
ACAA2	531
ACACA	18599
ACACB	13689
ACAD10	3057
ACAD8	590
ACAD9	4383
ACAD9-DT	82
ACADL	363
ACADM	5107
ACADS	313
ACADSB	2212
ACADVL	8429
ACAN	777
ACAP1	92
ACAP2	20959
ACAP3	3153
ACAT1	1685
ACAT2	685
ACBD3	5601
ACBD3-AS1	124
ACBD4	582
ACBD5	4139
ACBD6	11657
ACBD7	185
ACCS	958
ACCSL	29
ACD	277
ACE	67
ACE2	163
ACER1	135
ACER2	993
ACER3	5090
ACER3-AS1	130
ACHE	135
ACIN1	12586
