gene	T166_b15_Liver_PCW19	T235_b15_Liver_PCW21	T275_b15_Liver_PCW18	T350_b15_Liver_PCW21	T375_b15_Liver_PCW15	T398_b15_Liver_PCW17	T71_b15_Liver_PCW18
A1BG	3	23	5	4	10	13	4
A1BG-AS1	86	204	84	81	180	229	116
A1CF	3944	10224	3480	3715	15557	12577	4436
A2M	3647	13509	7416	3399	12082	8705	5947
A2M-AS1	7	26	18	7	32	24	9
A2ML1	150	290	128	110	453	299	167
A2ML1-AS1	135	361	136	89	373	298	147
A3GALT2	24	56	24	30	83	64	39
A4GALT	3	3	1	0	2	4	2
A4GNT	3	14	8	8	17	11	11
AAAS	389	719	344	293	1031	775	387
AACS	454	897	391	506	1378	876	526
AADAC	226	730	263	214	960	956	313
AADACL2	9	20	10	11	20	23	5
AADACL2-AS1	245	550	266	224	700	600	265
AADACL3	7	10	10	7	23	25	12
AADACL4	9	22	19	11	19	24	13
AADAT	202	385	169	163	671	476	191
AAGAB	581	1165	460	359	2117	1570	604
AAK1	1358	3152	1274	1284	4691	3287	1852
AAMDC	502	1122	442	453	1427	1154	612
AAMP	176	330	147	146	415	336	162
AANAT	57	102	51	48	103	108	62
AAR2	111	291	134	131	448	314	162
AARD	22	59	15	14	55	37	25
AARS1	929	1735	807	938	2570	1876	1024
AARS2	313	540	230	216	784	635	269
AASDH	530	1107	400	380	1878	1344	582
AASDH-DT	8	21	10	4	38	16	11
AASDHPPT	355	809	368	360	1478	956	431
AASDHPPT-AS1	26	32	24	16	46	31	17
AASS	1045	1970	977	650	3364	2218	1433
AATBC	16	34	12	13	48	36	29
AATF	1135	2390	1062	902	3768	2752	1388
AATK	222	290	217	193	336	302	222
ABALON	38	44	33	30	70	41	32
ABAT	1458	4063	1518	1292	4969	3721	1965
ABCA1	4124	10940	3695	5388	14645	11896	6695
ABCA10	359	1257	350	320	1218	836	512
ABCA12	213	426	186	158	517	423	219
ABCA13	314	632	294	270	769	559	347
ABCA2	57	156	66	59	143	121	74
ABCA3	209	449	177	172	657	503	254
ABCA4	237	497	242	235	602	491	290
ABCA5	1596	3985	1501	2115	4945	4278	2055
ABCA6	2391	5791	1508	1944	6318	4990	2243
ABCA7	2411	4605	2004	1413	7067	4953	2514
ABCA8	2206	3341	1351	1720	3428	3238	1456
ABCA9	1716	4658	1050	1391	4544	3298	1668
ABCA9-AS1	98	196	101	81	227	190	94
ABCB1	444	1000	367	427	1318	1029	479
ABCB10	5512	10431	3962	3070	21062	13404	5229
ABCB11	2765	7458	2112	2078	9254	8409	3069
ABCB4	315	1072	415	291	1633	1042	455
ABCB5	670	1395	488	405	2143	1454	719
ABCB7	1594	3297	1257	1142	7510	4181	1771
ABCB8	292	625	284	200	985	815	378
ABCB9	244	435	228	162	617	488	244
ABCC1	916	2062	749	690	2364	1967	1094
ABCC10	314	692	314	265	909	706	433
ABCC11	154	355	191	188	503	373	165
ABCC12	45	60	32	27	87	69	45
ABCC2	2392	5943	2103	3224	6873	5902	2716
ABCC3	713	1152	418	544	1212	1246	790
ABCC4	5886	10981	3487	3307	21105	11269	5563
ABCC5	3887	8329	3074	2405	13618	9233	4628
ABCC5-AS1	14	27	12	13	44	33	14
ABCC6	5107	7547	3821	4655	11471	8887	4594
ABCC8	93	181	84	85	228	148	97
ABCC9	240	469	196	227	577	490	282
ABCD1	50	150	85	56	161	179	127
ABCD2	61	113	45	52	141	114	63
ABCD3	3435	8906	3064	3676	13921	10681	4623
ABCD4	672	1268	712	645	1926	1480	934
ABCE1	540	1160	430	499	2212	1470	729
