gene	T11_b19_Skin_PCW19	T408S_b19_Skin_PCW19	T45_b19_Skin_PCW17
A1BG	18	17	33
A1BG-AS1	464	360	688
A1CF	247	211	375
A2M	3028	2186	3762
A2M-AS1	34	23	44
A2ML1	833	449	1148
A2ML1-AS1	431	269	680
A3GALT2	125	83	177
A4GALT	0	0	1
A4GNT	30	20	34
AAAS	1314	921	1536
AACS	1784	1313	2012
AADAC	127	75	154
AADACL2	273	239	344
AADACL2-AS1	804	466	910
AADACL3	40	58	61
AADACL4	82	59	94
AADAT	1387	1056	1923
AAGAB	1694	1241	2037
AAK1	9757	6456	12320
AAMDC	2993	2036	3654
AAMP	605	396	622
AANAT	83	58	99
AAR2	598	423	777
AARD	69	56	83
AARS1	1636	1151	2035
AARS2	935	617	1176
AASDH	1764	1432	2563
AASDH-DT	25	31	41
AASDHPPT	1429	1098	1973
AASDHPPT-AS1	51	39	75
AASS	4304	2778	6362
AATBC	112	104	127
AATF	2983	2128	4062
AATK	520	390	762
ABALON	59	25	62
ABAT	1777	1214	2265
ABCA1	5162	4279	5911
ABCA10	13790	9011	12059
ABCA12	1251	1209	1706
ABCA13	1465	1066	1850
ABCA2	333	245	385
ABCA3	779	647	1060
ABCA4	883	662	1164
ABCA5	2233	1983	2642
ABCA6	4537	3676	4445
ABCA7	300	338	401
ABCA8	9954	5002	9259
ABCA9	4072	3222	3845
ABCA9-AS1	327	217	376
ABCB1	1825	1213	2120
ABCB10	2015	1370	2381
ABCB11	464	468	581
ABCB4	1896	1176	2704
ABCB5	1010	788	1804
ABCB7	2313	1712	3047
ABCB8	1136	838	1516
ABCB9	1142	701	1411
ABCC1	3436	2626	4660
ABCC10	983	695	1302
ABCC11	312	200	421
ABCC12	200	163	288
ABCC2	431	330	595
ABCC3	489	359	619
ABCC4	2202	1417	2504
ABCC5	4725	3062	6043
ABCC5-AS1	16	14	16
ABCC6	498	317	571
ABCC8	656	369	680
ABCC9	5219	3282	5760
ABCD1	247	195	306
ABCD2	363	260	408
ABCD3	4255	3058	5648
ABCD4	1923	1519	2538
ABCE1	2866	2161	3809
ABCF1	2734	1801	3258
ABCF2	3	2	2
ABCF2-H2BK1	4	5	4
ABCF3	956	673	1288
ABCG1	1279	827	1385
ABCG2	1556	954	1686
ABCG4	47	30	63
ABCG5	80	66	102
ABCG8	138	128	202
ABHD1	56	41	80
ABHD10	959	660	1204
ABHD11	136	88	145
ABHD12	2381	1720	3211
ABHD12B	123	86	181
ABHD13	635	507	865
ABHD14A	67	52	116
ABHD14A-ACY1	116	76	148
ABHD14B	116	95	124
ABHD15	116	87	165
ABHD15-AS1	643	490	835
ABHD16B	10	6	12
ABHD16B-AS1	54	39	82
ABHD17A	248	193	389
ABHD17B	1373	1089	1666
ABHD17C	826	583	1126
ABHD18	3639	2766	4862
ABHD2	2747	1842	3345
ABHD3	2288	1697	2903
ABHD4	231	170	270
ABHD5	1288	1220	1466
ABHD6	1041	701	1206
ABHD8	582	378	720
ABI1	7583	5580	9554
ABI2	6250	4517	8131
ABI3	138	100	162
ABI3BP	26596	17230	45023
ABITRAM	1109	936	1506
ABL1	10412	6903	12440
ABL2	5234	3516	6141
ABLIM1	11475	7653	13793
ABLIM2	1575	1689	1839
ABLIM2-DT	19	15	7
ABLIM3	1515	1237	1732
ABO	1393	806	1668
ABR	4874	3616	6358
ABR-AS1	16	13	16
ABRA	61	58	55
ABRACL	267	207	533
ABRAXAS1	1209	758	1531
ABRAXAS2	1357	906	1724
ABT1	233	155	269
ABTB1	256	221	395
ABTB2	2590	2362	3429
ACAA1	873	623	1193
ACAA2	434	332	543
ACACA	12162	8605	15321
ACACB	4743	3287	4670
ACAD10	2158	1606	2832
ACAD8	683	555	968
ACAD9	3798	3421	5207
ACAD9-DT	153	117	248
ACADL	317	347	349
ACADM	2769	2184	3725
ACADS	291	233	396
ACADSB	1468	1124	1999
ACADVL	5007	4069	6208
ACAN	1106	1043	1375
ACAP1	162	149	209
ACAP2	10431	7128	12927
ACAP3	2088	1457	2607
ACAT1	1143	821	1468
ACAT2	640	501	845
ACBD3	3130	2164	3712
ACBD3-AS1	28	21	23
ACBD4	493	391	601
ACBD5	1860	1438	2460
ACBD6	9766	6724	12611
ACBD7	126	69	196
ACCS	1001	674	1295
ACCSL	57	35	53
ACD	623	487	842
ACE	138	120	123
ACE2	224	128	238
ACER1	88	101	124
ACER2	781	497	1068
ACER3	5326	3752	6827
ACER3-AS1	66	40	92
ACHE	137	155	159
ACIN1	11785	7928	15101
ACKR1	59	24	73
ACKR2	37	11	31
ACKR3	936	531	1017
ACKR4	377	216	511
ACLY	2875	2012	3376
ACMSD	221	154	295
ACO1	2056	1361	2405
ACO2	2133	1627	2866
ACOD1	43	32	47
ACOT1	44	23	61
ACOT11	1848	1445	2168
ACOT12	257	172	307
ACOT13	738	572	1016
ACOT2	165	97	180
ACOT4	2	2	6
ACOT6	65	42	84
ACOT7	1275	1028	1627
ACOT8	398	303	508
ACOT9	2669	1734	3150
ACOX1	1813	1325	2157
ACOX2	901	562	886
ACOX3	2634	1867	3257
ACOXL	1652	1106	2511
ACP1	1629	1248	2166
ACP2	275	214	285
ACP3	746	662	1281
ACP4	22	13	34
ACP5	17	12	22
