gene	T165_b17_Spleen_PCW19	T270_b17_Spleen_PCW18	T88_b17_Spleen_PCW18
A1BG	8	4	1
A1BG-AS1	180	155	68
A1CF	167	111	25
A2M	3185	2709	605
A2M-AS1	64	54	18
A2ML1	253	176	39
A2ML1-AS1	204	168	34
A3GALT2	91	73	6
A4GALT	0	3	0
A4GNT	17	11	3
AAAS	543	440	95
AACS	1039	744	145
AADAC	23	26	2
AADACL2	36	18	5
AADACL2-AS1	552	337	81
AADACL3	20	10	4
AADACL4	92	71	10
AADAT	687	510	96
AAGAB	1293	816	149
AAK1	6772	4389	870
AAMDC	1552	1622	296
AAMP	324	197	55
AANAT	116	53	15
AAR2	315	253	43
AARD	48	36	4
AARS1	1315	771	203
AARS2	566	441	83
AASDH	958	773	137
AASDH-DT	8	10	2
AASDHPPT	741	644	113
AASDHPPT-AS1	31	24	4
AASS	1695	1603	224
AATBC	52	41	13
AATF	2870	2094	382
AATK	518	450	122
ABALON	38	28	9
ABAT	1521	1169	259
ABCA1	4973	4686	1162
ABCA10	1200	838	239
ABCA12	452	338	100
ABCA13	851	604	144
ABCA2	402	231	82
ABCA3	714	566	124
ABCA4	563	378	93
ABCA5	1175	864	165
ABCA6	884	584	174
ABCA7	1207	883	258
ABCA8	1040	856	203
ABCA9	1324	937	230
ABCA9-AS1	251	273	44
ABCB1	857	628	123
ABCB10	1344	937	202
ABCB11	414	223	73
ABCB4	530	481	103
ABCB5	608	523	126
ABCB7	1985	1448	280
ABCB8	748	499	121
ABCB9	895	639	153
ABCC1	6125	4793	963
ABCC10	942	639	148
ABCC11	232	195	46
ABCC12	105	59	17
ABCC2	329	235	67
ABCC3	943	607	269
ABCC4	5244	3274	904
ABCC5	3197	2161	566
ABCC5-AS1	28	14	3
ABCC6	295	251	64
ABCC8	255	186	38
ABCC9	2234	2149	387
ABCD1	266	176	51
ABCD2	177	175	32
ABCD3	3360	2345	492
ABCD4	1046	1047	202
ABCE1	1411	1130	203
ABCF1	2085	1468	347
ABCF2	0	0	0
ABCF2-H2BK1	5	1	0
ABCF3	355	315	71
ABCG1	1918	2118	369
ABCG2	1272	1411	226
ABCG4	53	31	17
ABCG5	70	43	9
ABCG8	97	85	14
ABHD1	58	51	10
ABHD10	396	373	56
ABHD11	63	62	13
ABHD12	2130	1480	321
ABHD12B	91	72	17
ABHD13	408	263	61
ABHD14A	96	58	9
ABHD14A-ACY1	122	90	20
ABHD14B	100	74	21
ABHD15	88	52	24
ABHD15-AS1	788	548	136
ABHD16B	6	1	4
ABHD16B-AS1	40	49	16
ABHD17A	371	252	64
ABHD17B	1524	1220	244
ABHD17C	723	495	97
ABHD18	3218	2410	468
ABHD2	2009	1341	295
ABHD3	2116	1608	347
ABHD4	198	278	40
ABHD5	466	348	88
ABHD6	1125	663	152
ABHD8	345	302	59
ABI1	5610	4595	786
ABI2	4418	3146	501
ABI3	343	243	72
ABI3BP	2068	1794	396
ABITRAM	318	224	39
ABL1	8378	6537	1222
ABL2	4316	3157	501
ABLIM1	6391	4512	813
ABLIM2	2817	2278	513
ABLIM2-DT	12	14	9
ABLIM3	853	580	174
ABO	303	234	55
ABR	5482	4153	1068
ABR-AS1	16	12	6
ABRA	143	106	32
ABRACL	290	206	40
ABRAXAS1	743	604	115
ABRAXAS2	877	806	159
ABT1	90	65	14
ABTB1	211	254	52
ABTB2	1864	1395	353
ACAA1	574	428	110
ACAA2	163	151	20
ACACA	6933	4381	784
ACACB	2089	2028	346
ACAD10	1930	1590	315
ACAD8	443	356	75
