gene	T238_b10_Stomach_PCW21	T269_b10_Stomach_PCW18	T322_b10_Stomach_PCW21	T35_b10_Stomach_PCW17	T399_b10_Stomach_PCW17	T53_b10_Stomach_PCW20
A1BG	0	5	2	10	13	0
A1BG-AS1	33	139	59	152	138	27
A1CF	49	305	84	244	229	16
A2M	630	3980	1845	3405	2755	274
A2M-AS1	4	52	22	56	28	4
A2ML1	205	618	1117	619	508	129
A2ML1-AS1	52	206	109	228	177	11
A3GALT2	23	73	43	129	101	14
A4GALT	0	1	2	4	1	0
A4GNT	46	568	40	438	478	27
AAAS	192	944	364	1051	846	90
AACS	344	2212	704	1975	1764	158
AADAC	12	125	23	82	55	8
AADACL2	7	25	13	27	10	6
AADACL2-AS1	115	388	359	456	349	66
AADACL3	1	15	6	11	12	3
AADACL4	12	35	19	37	25	3
AADAT	247	1701	564	1773	1388	88
AAGAB	260	1876	636	1986	1588	121
AAK1	1210	6699	3435	7944	6365	594
AAMDC	599	3879	1687	4084	2913	295
AAMP	109	611	185	584	499	54
AANAT	18	50	20	64	63	10
AAR2	74	508	162	618	469	30
AARD	7	64	20	67	47	9
AARS1	344	1614	515	1772	1536	137
AARS2	266	1308	399	1472	1181	124
AASDH	299	2063	646	2247	1787	125
AASDH-DT	2	23	10	24	17	1
AASDHPPT	193	1645	536	1580	1347	101
AASDHPPT-AS1	7	25	13	23	25	4
AASS	762	4288	1625	5220	3928	393
AATBC	8	27	15	17	15	2
AATF	540	3296	1036	3567	2623	198
AATK	246	1199	333	1170	1116	103
ABALON	9	19	10	13	17	3
ABAT	280	1762	618	1783	1540	146
ABCA1	699	3650	1985	3732	3359	328
ABCA10	555	2142	1265	2180	1883	253
ABCA12	106	410	249	488	366	61
ABCA13	319	985	1214	990	869	191
ABCA2	99	465	173	473	460	48
ABCA3	140	747	329	1025	771	91
ABCA4	85	288	126	240	211	36
ABCA5	760	4897	2480	4964	3834	392
ABCA6	297	1169	650	1280	1203	164
ABCA7	107	432	157	439	445	58
ABCA8	542	2441	1556	4311	2417	425
ABCA9	295	1276	767	1332	1065	215
ABCA9-AS1	32	147	67	110	92	30
ABCB1	223	800	401	928	672	95
ABCB10	295	1802	820	2356	1820	134
ABCB11	62	186	96	197	157	19
ABCB4	57	254	95	330	240	33
ABCB5	105	409	185	478	370	58
ABCB7	433	3170	1241	3230	2620	238
ABCB8	198	988	369	1126	932	82
ABCB9	143	632	256	731	641	78
ABCC1	1023	6764	2740	6396	4809	451
ABCC10	224	1126	388	1303	1054	99
ABCC11	44	160	67	159	138	15
ABCC12	30	75	31	100	73	14
ABCC2	70	317	116	290	316	39
ABCC3	1170	7555	1411	6996	5959	362
ABCC4	625	3106	1319	2765	2043	250
ABCC5	1117	6912	1873	6543	5148	509
ABCC5-AS1	6	15	6	13	9	3
ABCC6	209	1679	444	2210	905	101
ABCC8	144	862	210	1027	663	81
ABCC9	808	4702	2209	5544	4151	383
ABCD1	47	187	81	175	180	15
ABCD2	74	634	238	670	476	47
ABCD3	852	6212	2299	6453	5257	384
ABCD4	237	1388	476	1325	1307	97
ABCE1	368	3003	1111	2824	2494	165
ABCF1	636	2812	917	2886	2501	305
ABCF2	0	0	0	0	0	0
ABCF2-H2BK1	2	2	2	1	2	0
ABCF3	185	846	250	825	699	84
ABCG1	219	1208	711	962	929	135
ABCG2	259	2054	622	1956	1680	136
ABCG4	16	50	30	61	55	9
ABCG5	12	33	18	36	40	4
ABCG8	21	85	23	80	61	4
ABHD1	8	51	25	53	54	1
ABHD10	102	778	275	747	633	43
ABHD11	29	162	75	154	98	18
ABHD12	491	3455	1262	3605	2721	287
ABHD12B	11	61	41	63	52	8
ABHD13	86	619	245	706	565	40
ABHD14A	11	57	24	55	51	5
ABHD14A-ACY1	16	69	31	74	71	10
ABHD14B	14	89	29	88	72	11
ABHD15	18	143	24	140	117	8
ABHD15-AS1	105	380	178	400	380	59
ABHD16B	1	3	11	4	2	2
ABHD16B-AS1	14	93	24	91	71	8
ABHD17A	56	270	123	320	291	27
ABHD17B	231	1636	755	1816	1389	130
ABHD17C	378	3201	1227	2653	2249	145
ABHD18	729	5372	1733	5862	4748	342
ABHD2	583	3888	1730	3983	3178	258
ABHD3	316	1907	809	2055	1567	130
ABHD4	96	627	193	534	537	32
ABHD5	131	710	298	850	613	50
ABHD6	149	789	359	935	636	65
ABHD8	64	366	162	459	340	39
ABI1	1010	6847	3471	7188	5769	563
ABI2	919	6636	2350	7736	6415	441
ABI3	16	115	31	96	84	12
ABI3BP	6416	34421	14482	43984	29513	2486
ABITRAM	100	611	240	590	526	48
ABL1	1534	9796	3151	10932	9093	742
ABL2	929	6765	2287	6553	5444	440
ABLIM1	1947	12954	7121	13915	10052	998
ABLIM2	369	1619	591	2194	1621	381
ABLIM2-DT	2	16	5	7	10	1
ABLIM3	206	1074	835	942	821	197
ABO	1035	3376	1855	2915	3758	273
ABR	1318	6730	2788	7500	5843	650
ABR-AS1	3	8	4	13	11	0
ABRA	4	14	7	14	13	4
ABRACL	28	190	46	171	140	13
ABRAXAS1	159	981	303	1164	934	84
ABRAXAS2	219	1653	614	1750	1385	114
ABT1	20	106	35	113	113	10
ABTB1	61	346	87	252	220	29
ABTB2	353	1668	729	2308	1863	190
ACAA1	181	1040	283	952	893	68
ACAA2	65	441	124	520	471	41
ACACA	1714	11925	4166	12664	10203	821
ACACB	1457	7654	3275	9188	6671	653
ACAD10	409	2873	849	3007	2675	193
ACAD8	105	587	192	601	503	51
ACAD9	670	4323	1319	4594	3995	378
ACAD9-DT	19	65	25	151	71	7
ACADL	95	514	118	430	376	34
ACADM	547	3406	1218	4085	3202	231
ACADS	43	246	69	233	211	21
ACADSB	237	1478	507	1537	1173	99
ACADVL	1536	6774	2678	6854	5943	743
ACAN	354	779	534	572	563	227
ACAP1	26	88	38	112	72	20
ACAP2	1701	10850	4432	11889	9351	770
ACAP3	618	2545	1088	2872	2477	314
ACAT1	202	1179	490	1375	969	90
ACAT2	78	469	201	585	431	35
ACBD3	502	3568	1366	3678	2949	277
ACBD3-AS1	11	27	30	20	18	1
ACBD4	135	482	185	478	483	50
ACBD5	390	2627	930	2546	2186	192
ACBD6	1364	10454	3115	11107	8792	609
ACBD7	12	92	40	118	54	6
ACCS	144	984	317	1147	828	79
ACCSL	3	26	15	21	18	3
ACD	44	277	78	258	248	22
ACE	26	85	41	80	75	19
ACE2	27	98	45	111	67	14
ACER1	21	106	36	151	116	10
ACER2	218	1526	478	1785	1076	89
ACER3	433	3117	1266	3714	2906	222
ACER3-AS1	30	271	44	229	179	14
ACHE	16	114	58	106	133	19
ACIN1	2680	12250	4519	12098	9966	1204
