gene	T23_b17_Thymus_PCW17	T406_b17_Thymus_PCW19	T90_b17_Thymus_PCW18
A1BG	47	9	0
A1BG-AS1	868	381	35
A1CF	337	346	14
A2M	1559	4013	63
A2M-AS1	200	177	2
A2ML1	556	516	25
A2ML1-AS1	580	496	23
A3GALT2	179	236	6
A4GALT	4	3	0
A4GNT	31	27	4
AAAS	1272	1074	46
AACS	2220	3350	89
AADAC	45	54	2
AADACL2	38	32	6
AADACL2-AS1	1266	1050	52
AADACL3	44	39	3
AADACL4	81	55	3
AADAT	676	1190	23
AAGAB	5032	2359	100
AAK1	26874	12635	555
AAMDC	3288	4963	97
AAMP	720	572	34
AANAT	179	141	10
AAR2	1045	744	28
AARD	111	168	5
AARS1	3008	2263	107
AARS2	1561	941	47
AASDH	2711	2367	57
AASDH-DT	26	18	1
AASDHPPT	1846	2076	45
AASDHPPT-AS1	66	65	0
AASS	1439	3986	56
AATBC	167	75	14
AATF	10415	4790	215
AATK	521	1322	32
ABALON	97	54	8
ABAT	4821	3777	100
ABCA1	9168	8056	527
ABCA10	2911	10224	122
ABCA12	1103	965	42
ABCA13	1823	1300	63
ABCA2	569	465	34
ABCA3	3150	2291	179
ABCA4	1047	768	28
ABCA5	5034	7370	140
ABCA6	1990	8390	110
ABCA7	4471	2193	112
ABCA8	1934	11159	77
ABCA9	2878	13118	130
ABCA9-AS1	514	396	15
ABCB1	2608	1772	56
ABCB10	2293	2522	57
ABCB11	565	824	28
ABCB4	612	540	22
ABCB5	1277	1407	45
ABCB7	6591	4783	120
ABCB8	2135	1488	53
ABCB9	1475	1278	60
ABCC1	15692	7689	626
ABCC10	3146	1915	69
ABCC11	496	523	21
ABCC12	182	149	9
ABCC2	723	786	20
ABCC3	1226	1079	65
ABCC4	8500	4937	426
ABCC5	5023	7092	185
ABCC5-AS1	53	30	1
ABCC6	477	726	17
ABCC8	481	632	18
ABCC9	2031	9797	98
ABCD1	703	468	23
ABCD2	671	383	16
ABCD3	22604	7533	331
ABCD4	2385	2084	86
ABCE1	4037	3309	90
ABCF1	5754	3754	173
ABCF2	6	1	0
ABCF2-H2BK1	5	8	0
ABCF3	777	713	21
ABCG1	6529	3168	259
ABCG2	1289	2560	47
