gene	T136_b16_Thyroid_PCW21	T136_b22_Thyroid_PCW21	T176_b16_Thyroid_PCW19
A1BG	0	4	0
A1BG-AS1	5	56	1
A1CF	5	58	14
A2M	196	265	120
A2M-AS1	8	52	4
A2ML1	17	167	17
A2ML1-AS1	19	45	20
A3GALT2	5	36	9
A4GALT	0	1	0
A4GNT	0	2	0
AAAS	68	201	61
AACS	120	353	138
AADAC	12	5	7
AADACL2	0	1	0
AADACL2-AS1	30	82	49
AADACL3	2	9	0
AADACL4	6	1	4
AADAT	39	137	73
AAGAB	136	479	235
AAK1	1052	5661	2764
AAMDC	498	543	438
AAMP	31	136	40
AANAT	8	11	0
AAR2	66	104	43
AARD	5	7	3
AARS1	176	475	222
AARS2	44	117	56
AASDH	167	410	174
AASDH-DT	4	6	4
AASDHPPT	105	205	140
AASDHPPT-AS1	2	0	1
AASS	239	353	247
AATBC	0	2	1
AATF	321	419	378
AATK	59	371	120
ABALON	0	0	2
ABAT	199	457	314
ABCA1	820	566	692
ABCA10	701	792	397
ABCA12	34	81	38
ABCA13	42	360	68
ABCA2	39	378	114
ABCA3	104	283	141
ABCA4	21	188	19
ABCA5	821	527	706
ABCA6	477	391	159
ABCA7	67	219	67
ABCA8	429	499	218
ABCA9	703	427	184
ABCA9-AS1	16	14	12
ABCB1	142	133	129
ABCB10	114	211	118
ABCB11	18	86	18
ABCB4	53	129	29
ABCB5	41	83	27
ABCB7	220	383	250
ABCB8	78	175	80
ABCB9	59	148	91
ABCC1	734	1135	926
ABCC10	101	140	156
ABCC11	11	36	18
ABCC12	3	57	9
ABCC2	27	79	17
ABCC3	22	96	44
ABCC4	154	632	272
ABCC5	604	608	429
ABCC5-AS1	4	51	0
ABCC6	48	120	75
ABCC8	31	183	31
ABCC9	371	518	183
ABCD1	55	22	53
ABCD2	18	21	11
ABCD3	354	474	396
ABCD4	136	436	170
ABCE1	164	279	172
ABCF1	176	620	151
ABCF3	74	170	74
ABCG1	128	600	101
ABCG2	112	133	61
ABCG4	1	18	0
ABCG5	7	17	4
ABCG8	3	21	7
ABHD1	5	23	7
ABHD10	53	120	66
ABHD11	9	77	16
ABHD12	194	789	369
ABHD12B	8	9	2
ABHD13	51	104	49
ABHD14A	4	76	3
ABHD14A-ACY1	6	22	7
ABHD14B	8	34	3
ABHD15	3	10	9
ABHD15-AS1	45	276	50
ABHD16B	0	2	0
ABHD16B-AS1	5	2	6
ABHD17A	17	45	21
ABHD17B	129	218	145
ABHD17C	53	193	94
ABHD18	502	751	631
ABHD2	209	329	193
ABHD3	251	366	304
ABHD4	51	52	55
ABHD5	56	174	66
ABHD6	119	116	107
ABHD8	59	125	49
ABI1	400	1070	517
ABI2	522	1010	681
ABI3	8	7	5
ABI3BP	1568	2012	746
ABITRAM	39	139	39
ABL1	1299	1922	1528
ABL2	447	893	661
ABLIM1	608	1580	763
ABLIM2	648	1592	278
ABLIM2-DT	0	1	0
ABLIM3	178	363	68
ABO	339	1174	427
ABR	478	681	380
ABR-AS1	1	0	0
ABRA	42	107	0
ABRACL	7	37	22
ABRAXAS1	81	116	74
ABRAXAS2	124	215	125
ABT1	12	36	9
ABTB1	20	72	11
ABTB2	2806	374	1982
ACAA1	50	314	59
ACAA2	25	53	45
ACACA	1302	1294	1240
ACACB	1380	1229	1314
ACAD10	230	430	248
ACAD8	30	109	38
ACAD9	368	593	332
ACAD9-DT	12	35	20
ACADL	70	214	92
ACADM	313	535	274
ACADS	20	136	19
ACADSB	82	284	86
ACADVL	481	1233	421
ACAN	56	158	46
ACAP1	15	46	3
ACAP2	643	1593	918
ACAP3	155	253	106
ACAT1	124	401	136
ACAT2	97	86	55
ACBD3	277	430	276
ACBD3-AS1	4	1	0
ACBD4	41	122	52
ACBD5	149	426	239
ACBD6	758	1214	916
ACBD7	4	14	10
ACCS	81	255	100
ACCSL	2	1	0
ACD	14	128	18
ACE	3	138	10
ACE2	6	57	12
ACER1	8	10	11
ACER2	56	67	68
ACER3	181	568	358
ACER3-AS1	5	3	7
ACHE	14	86	6
ACIN1	649	1635	700
ACKR2	4	7	4
ACKR3	22	217	34
ACKR4	13	24	4
ACLY	159	294	149
ACMSD	13	19	14
ACO1	177	440	161
ACO2	308	503	327
ACOD1	5	3	0
ACOT1	3	6	4
ACOT11	348	1318	741
ACOT12	10	29	9
ACOT13	69	165	70
ACOT2	9	54	8
ACOT6	2	3	5
ACOT7	54	186	58
ACOT8	46	116	49
ACOT9	211	363	154
ACOX1	165	221	163
ACOX2	65	217	75
ACOX3	164	366	192
ACOXL	52	222	84
ACP1	135	332	133
ACP2	11	148	17
ACP3	40	121	55
ACP4	0	0	3
ACP5	2	6	0
ACP6	100	300	200
ACP7	16	22	9
ACR	2	12	4
ACRBP	7	34	11
ACRV1	1	13	2
ACSBG1	52	99	46
ACSBG2	32	74	33
ACSF2	372	1441	887
ACSF3	212	519	231
ACSL1	131	350	103
ACSL1-DT	2	20	3
