set	reference	universe_N	ref_in_universe_K	pass_n	pass_ref_k	background_rate	pass_rate	fold_enrichment	hypergeom_pval
Arutyunyan_cutoff0.5	official_65	16919	58	3684	45	0.0034	0.0122	3.56	1.895612796454738e-19
Arutyunyan_cutoff0.5	floored	16919	72	3684	54	0.0043	0.0147	3.44	7.558036982969925e-22
Arutyunyan_cutoff0.5	no_floor	16919	77	3684	55	0.0046	0.0149	3.28	1.5453340479931426e-20
Arutyunyan_cutoff0.75	official_65	16919	58	2819	44	0.0034	0.0156	4.55	3.751119600012176e-23
Arutyunyan_cutoff0.75	floored	16919	72	2819	53	0.0043	0.0188	4.42	1.5701691031816276e-26
Arutyunyan_cutoff0.75	no_floor	16919	77	2819	54	0.0046	0.0192	4.21	2.636296916559732e-25
Arutyunyan_cutoff1.0	official_65	16919	58	2216	43	0.0034	0.0194	5.66	3.033980815706273e-26
Arutyunyan_cutoff1.0	floored	16919	72	2216	52	0.0043	0.0235	5.51	1.5556776198792e-30
Arutyunyan_cutoff1.0	no_floor	16919	77	2216	53	0.0046	0.0239	5.26	2.0441240939408202e-29
Nature2026_cutoff0.5	official_65	21958	60	3775	46	0.0027	0.0122	4.46	7.205603419325348e-24
Nature2026_cutoff0.5	floored	21958	75	3775	55	0.0034	0.0146	4.27	1.32019372346562e-26
Nature2026_cutoff0.5	no_floor	21958	89	3775	60	0.0041	0.0159	3.92	1.0043478443911256e-25
Nature2026_cutoff0.75	official_65	21958	60	2227	46	0.0027	0.0207	7.56	5.189913671632019e-34
Nature2026_cutoff0.75	floored	21958	75	2227	55	0.0034	0.0247	7.23	1.2277403289952837e-38
Nature2026_cutoff0.75	no_floor	21958	89	2227	60	0.0041	0.0269	6.65	1.3041948900589937e-38
Nature2026_cutoff1.0	official_65	21958	60	1293	40	0.0027	0.0309	11.32	4.7299636086694485e-35
Nature2026_cutoff1.0	floored	21958	75	1293	48	0.0034	0.0371	10.87	1.5522634500659684e-40
Nature2026_cutoff1.0	no_floor	21958	89	1293	53	0.0041	0.041	10.11	3.093633774560151e-42
2of2_overlap_cutoff0.5	official_65	15942	58	1742	42	0.0036	0.0241	6.63	3.6374281571577717e-28
2of2_overlap_cutoff0.5	floored	15942	71	1742	50	0.0045	0.0287	6.44	2.4154952655131426e-32
2of2_overlap_cutoff0.5	no_floor	15942	76	1742	51	0.0048	0.0293	6.14	2.369731955700318e-31
2of2_overlap_cutoff0.75	official_65	15942	58	1007	42	0.0036	0.0417	11.46	5.565801807727882e-38
2of2_overlap_cutoff0.75	floored	15942	71	1007	50	0.0045	0.0497	11.15	5.053531551936893e-44
2of2_overlap_cutoff0.75	no_floor	15942	76	1007	51	0.0048	0.0506	10.62	3.4183396828447275e-43
2of2_overlap_cutoff1.0	official_65	15942	58	536	38	0.0036	0.0709	19.49	2.7842936403098618e-42
2of2_overlap_cutoff1.0	floored	15942	71	536	45	0.0045	0.084	18.85	6.298797994595427e-49
2of2_overlap_cutoff1.0	no_floor	15942	76	536	46	0.0048	0.0858	18.0	1.2624839060577259e-48
