sample	donor	status	n_cells
10__nontroph	10	nontroph	6080
10__troph	10	troph	10753
11__nontroph	11	nontroph	644
11__troph	11	troph	2677
12__nontroph	12	nontroph	8094
12__troph	12	troph	5521
6__nontroph	6	nontroph	11055
6__troph	6	troph	27
7__nontroph	7	nontroph	8756
7__troph	7	troph	47
8__nontroph	8	nontroph	15366
8__troph	8	troph	3296
9__nontroph	9	nontroph	12890
9__troph	9	troph	1198
H2__nontroph	H2	nontroph	5725
H2__troph	H2	troph	75
Hrv100__nontroph	Hrv100	nontroph	12681
Hrv100__troph	Hrv100	troph	193
Hrv43__nontroph	Hrv43	nontroph	56343
Hrv43__troph	Hrv43	troph	599
Hrv46__nontroph	Hrv46	nontroph	26728
Hrv46__troph	Hrv46	troph	583
Hrv98__nontroph	Hrv98	nontroph	9935
Hrv98__troph	Hrv98	troph	1078
Hrv99__nontroph	Hrv99	nontroph	6249
Hrv99__troph	Hrv99	troph	3303
P13__nontroph	P13	nontroph	21493
P13__troph	P13	troph	44545
P14__nontroph	P14	nontroph	31769
P14__troph	P14	troph	905
P34__nontroph	P34	nontroph	13260
P34__troph	P34	troph	239
R0__nontroph	R0	nontroph	1246
R0__troph	R0	troph	3
R1__nontroph	R1	nontroph	2309
