sample	donor	status	n_cells
ZY001__nontroph	ZY001	nontroph	6060
ZY001__troph	ZY001	troph	893
ZY002__nontroph	ZY002	nontroph	7024
ZY002__troph	ZY002	troph	213
ZY003__nontroph	ZY003	nontroph	9548
ZY003__troph	ZY003	troph	262
ZY004__nontroph	ZY004	nontroph	8015
ZY004__troph	ZY004	troph	99
ZY005__nontroph	ZY005	nontroph	17006
ZY005__troph	ZY005	troph	221
ZY007__nontroph	ZY007	nontroph	736
ZY007__troph	ZY007	troph	13070
ZY009__nontroph	ZY009	nontroph	14227
ZY009__troph	ZY009	troph	182
ZY011__nontroph	ZY011	nontroph	4568
ZY011__troph	ZY011	troph	14881
ZY012__nontroph	ZY012	nontroph	5109
ZY012__troph	ZY012	troph	7346
ZY013__nontroph	ZY013	nontroph	821
ZY013__troph	ZY013	troph	7766
ZY014__nontroph	ZY014	nontroph	2349
ZY014__troph	ZY014	troph	5968
ZY015__nontroph	ZY015	nontroph	2336
ZY015__troph	ZY015	troph	72
ZY016__nontroph	ZY016	nontroph	752
ZY016__troph	ZY016	troph	3378
ZY017__nontroph	ZY017	nontroph	1001
ZY017__troph	ZY017	troph	6003
ZY018__nontroph	ZY018	nontroph	2023
ZY018__troph	ZY018	troph	3727
ZY019__nontroph	ZY019	nontroph	1455
ZY019__troph	ZY019	troph	6769
ZY020__nontroph	ZY020	nontroph	2484
ZY020__troph	ZY020	troph	4418
ZY021__nontroph	ZY021	nontroph	418
ZY021__troph	ZY021	troph	7010
ZY023__nontroph	ZY023	nontroph	1840
ZY023__troph	ZY023	troph	42
ZY024__nontroph	ZY024	nontroph	2280
ZY024__troph	ZY024	troph	79
ZY025__nontroph	ZY025	nontroph	2023
ZY025__troph	ZY025	troph	3727
ZY026__nontroph	ZY026	nontroph	2740
ZY026__troph	ZY026	troph	2594
ZY028__nontroph	ZY028	nontroph	1048
ZY028__troph	ZY028	troph	7152
