gene	logFC	logCPM	F	PValue	FDR
SMLR1	11.1355837603319	5.01237127621129	485.943916169602	1.7929749335805e-12	2.79955106129259e-08
AGT	10.3300276523646	5.43190388486068	702.815516652957	6.47110845364195e-12	4.69818495537757e-08
LGALS14	9.68215242828329	2.6688287494197	384.419415840017	9.02687003082664e-12	4.69818495537757e-08
FBXO17	9.91572226005349	3.57897165280154	338.773175314602	2.19963498631489e-11	6.45380434725219e-08
AFP	9.8568566654841	5.10241006507302	456.688571213761	2.45733266808581e-11	6.45380434725219e-08
APOC3	11.908773341624	8.19430244809671	559.289977320305	2.48000679412791e-11	6.45380434725219e-08
CUBN	8.4414721784945	4.36204155266326	904.542398520707	4.77272559417634e-11	1.06459053467813e-07
SLC2A2	9.62371578936841	4.88905729487275	289.809588975837	1.58907984513815e-10	3.10148658774839e-07
AL831784.1	10.3345273690141	4.66279579423936	318.050865156791	2.25449158069263e-10	3.91129239343719e-07
PIGR	-13.343443946758	10.7329435999279	536.881922445977	3.43037593932389e-10	5.35618899166032e-07
CCDC198	7.92446938130808	2.26643113080734	211.774719682454	5.37674765008633e-10	7.63204889167709e-07
SERPINA4	10.7925394749765	3.56662652013879	253.157570848862	9.0714150016967e-10	1.18034228197077e-06
IGF2BP3	9.08872037206894	3.45554291844441	217.185086524504	1.03472919758037e-09	1.24278936084768e-06
CLDN19	7.54297352506856	0.39019267706051	189.744528847064	1.16725949231291e-09	1.26726679473636e-06
TFEC	8.09624545817409	4.1092276812586	317.961064176695	1.21743319591683e-09	1.26726679473636e-06
APOC2	9.30978340049734	3.11774475824895	196.200232117162	1.33507217096025e-09	1.30286355483584e-06
EMID1	8.40718153465585	2.76732191475771	181.667613087532	1.57451008573154e-09	1.44609908243809e-06
HPN	10.257180092781	6.26282427276326	408.728443826022	1.72667744387982e-09	1.44609908243809e-06
AADAC	7.48294855009328	5.00058735911526	282.588556840878	1.75969530974277e-09	1.44609908243809e-06
ETNK2	6.02839368715738	0.864409546896131	211.996723822109	1.85693960985759e-09	1.44971275341582e-06
APOB	10.998056514415	6.76181312587132	335.96169198293	1.95479147585468e-09	1.45343400495215e-06
MTTP	8.83002216244692	6.04096390540873	317.829261992766	3.57151119336228e-09	2.40886320716989e-06
EDNRB	9.61051782763889	3.48930691998017	168.139088685229	3.74204698282875e-09	2.40886320716989e-06
HIF3A	5.36300251480585	4.81029790352764	478.007742720326	3.84448944290948e-09	2.40886320716989e-06
POSTN	7.48818995708992	0.228173864476161	158.576383449186	3.85689638652794e-09	2.40886320716989e-06
MYL9	8.01837903152951	5.48192020597252	473.025291210685	4.02921699044173e-09	2.41969977264451e-06
FGG	9.40668270601742	3.54974333308326	195.969379866011	4.22743267211315e-09	2.44470865712499e-06
OXT	7.23255332049251	2.12135691060075	243.414064363251	4.40249948428501e-09	2.45502239098665e-06
