gene	logFC	logCPM	F	PValue	FDR
SMLR1	11.1568291634777	4.20797585980621	497.189884403868	1.27147001526544e-12	2.06219721775902e-08
AGT	10.3397210567594	4.70475619963513	705.402893560613	3.65355187794e-12	2.96284789541545e-08
LGALS14	9.70040779408781	2.71118181479916	394.124329652033	6.47939495865744e-12	3.50297689448217e-08
APOC3	11.9205877196	6.29225740100917	606.155728201247	9.12363064412218e-12	3.69940413542544e-08
AFP	9.86981954013178	3.82668949664683	456.045365024	1.63339456707838e-11	5.27612733570295e-08
FBXO17	9.93338862530216	2.96147958427969	336.844159777172	1.95183204970822e-11	5.27612733570295e-08
CUBN	8.44420942015536	3.80718545497969	852.467537342694	4.06849896982029e-11	9.42671211307362e-08
SLC2A2	9.63029654789914	3.13909169660892	286.417481087353	1.25857558707589e-10	2.55160468084797e-07
GNRH2	10.0877301583474	3.38431350681366	245.599199425894	2.31528096505053e-10	4.17239355246162e-07
PIGR	-13.3426108750277	10.8737639656965	511.641036995766	3.45081840530351e-10	5.59688237156177e-07
AL831784.1	10.3681999776708	2.5937908706455	294.634840190928	6.68401015836459e-10	9.39111502343242e-07
CCDC198	7.94983624585093	0.924427700833872	200.370849277556	6.94823233745539e-10	9.39111502343242e-07
HPN	10.2589151680732	5.49112705428373	432.617874712435	8.71468845720243e-10	1.0531395536533e-06
IGF2BP3	9.10048296436811	2.62163301489689	211.177159046461	9.43415340146403e-10	1.0531395536533e-06
APOB	11.0106969777472	5.88449353552381	350.488337586407	9.85781679588085e-10	1.0531395536533e-06
APOC2	9.31799423038713	2.58199121914129	196.638704524607	1.03891934511701e-09	1.0531395536533e-06
TFEC	8.10120949459337	2.66127971698825	294.947974478943	1.19545293878867e-09	1.14053242436549e-06
CLDN19	7.56806828017272	0.145262239208239	188.418125444629	1.418223375589e-09	1.27789805159322e-06
MTTP	8.839752422248	3.82722720049063	335.147523313151	1.76983731002355e-09	1.49397168444477e-06
SERPINA4	10.8324984094602	3.08823571196985	247.636110989998	1.84537043241474e-09	1.49397168444477e-06
ETNK2	6.03993318771868	-0.290663828255259	201.231940225359	1.93436126600531e-09	1.49397168444477e-06
EDNRB	9.63293004690344	2.96812684756014	168.920504007603	2.90247505079876e-09	2.03637366673401e-06
OXT	7.24627642735359	1.73392016062305	241.951540595749	3.04050840776982e-09	2.03637366673401e-06
EMID1	8.42659401239732	1.00458100824362	167.264561122211	3.14910718243109e-09	2.03637366673401e-06
MYL9	8.0153135141508	4.83262514173303	479.575576917587	3.35616151789443e-09	2.03637366673401e-06
AADAC	7.49638298082827	1.97396028371444	234.705842134762	3.35857926434548e-09	2.03637366673401e-06
ERICH4	8.81360769315157	3.65385230848045	276.955234488163	3.38998020850967e-09	2.03637366673401e-06
CPN1	6.98698570062228	-0.0986147586718449	152.522859082547	4.38619303006676e-09	2.49929904390598e-06
HIF3A	5.35836971405555	4.06351943554765	450.751027889989	4.59008189706527e-09	2.49929904390598e-06
POSTN	7.52262871141339	0.160467973171784	156.727994429999	4.7667319923012e-09	2.49929904390598e-06
AMOTL1	8.53355250234104	1.10988647889086	156.637383805497	4.77700661946392e-09	2.49929904390598e-06
MFAP2	8.13024429337291	4.85971466175148	432.500198085255	5.20104755481999e-09	2.63611844661329e-06
PHYHIPL	8.18964316820023	1.91102370486339	170.253323743533	5.60103135359825e-09	2.67463203495177e-06
IGSF1	8.6823905782081	2.37134035037501	167.760291826534	5.72899817223959e-09	2.67463203495177e-06
WSCD2	7.45351542643642	0.441248211437573	145.774664310935	5.90733397097085e-09	2.67463203495177e-06
COL18A1	6.37544460590544	1.27768898068218	263.275299229277	5.93666399027461e-09	2.67463203495177e-06
NNAT	7.98495679096356	2.87189510629944	240.240156112439	7.79877699069695e-09	3.41860443275983e-06
RHBG	6.02519394918837	-0.513035490349637	150.467795292198	8.34033182744733e-09	3.55978531340443e-06
MUM1L1	7.28233143551606	2.57283544066721	280.054921929553	9.43741653970138e-09	3.92475535531838e-06
IGF2BP1	8.3429635288035	2.85461776357803	196.866064784012	1.0023909072574e-08	4.01623747482409e-06
NPC1L1	6.85052142246439	0.557935030353732	154.094112040289	1.01576243209807e-08	4.01623747482409e-06
CYP2W1	8.5495210378965	6.8593397241189	376.453897276919	1.0400269680166e-08	4.01623747482409e-06
RGN	8.07189535787829	2.92211658813245	218.874647746149	1.23950131825703e-08	4.67522601879319e-06
FGG	9.43400335111869	1.58619611255687	176.7668136774	1.29049420037989e-08	4.70064661886852e-06
SLC28A1	7.51787327985577	0.448152266709447	129.20244687842	1.30420554811692e-08	4.70064661886852e-06
HOXC9	7.30536871223315	-0.208889531296105	132.664161677832	1.40594298519659e-08	4.95717158193554e-06
FOLH1	9.63488980144075	4.571199342346	216.803647398975	1.52637796016456e-08	5.26730300764023e-06
ENPP7	10.6391035037673	2.88425481217039	171.399634807957	1.59954129364921e-08	5.40414549604071e-06
PAH	7.06990718859809	0.0631849656053965	124.997742065086	1.63267235529931e-08	5.40414549604071e-06
UPK3A	7.5548176130872	3.67669389683526	310.299601928583	1.70282398472842e-08	5.43990770329247e-06
MYBPHL	7.72816057226911	1.44948143242628	141.093088942544	1.71055732701101e-08	5.43990770329247e-06
LIFR	8.16955082936046	1.66696729309839	134.932079234922	1.75557615623773e-08	5.47570955346533e-06
PDE6B	5.99999474819377	1.8329826084753	288.191131500189	1.83621396084518e-08	5.61916117565056e-06
REEP6	5.16918772486599	4.86442524541628	321.671730380657	2.01495271031508e-08	6.05194777937041e-06
FAM20A	5.50534303923841	0.220042296572193	189.867500216289	2.23003456169889e-08	6.57616919203533e-06
LAMA4	5.47440375613567	-0.250014759225695	157.373751581673	2.53165258351191e-08	7.33229879499637e-06
P2RY6	6.32986493218847	1.41974915959105	203.521491001333	3.0216062216876e-08	8.59779496658793e-06
FMO1	11.8103288447126	3.39116645688063	393.423214787554	3.19519401223078e-08	8.93497442833984e-06
SLC30A2	7.63956572237275	2.86717346252353	207.968214598326	3.62619746237537e-08	9.96835536309596e-06
PNCK	8.20767912661477	4.49062684634405	263.726451630199	3.96005181836733e-08	1.05613170143941e-05
ADORA2A-AS1	6.40167758041503	-0.085306937548845	118.094761537298	4.03324563413204e-08	1.05613170143941e-05
C2orf74	5.71470903399764	0.554249990058924	177.849559540379	4.03725047717142e-08	1.05613170143941e-05
HOXC6	8.09944233293201	1.2993191645808	111.528409604696	4.20790626824484e-08	1.06106756541777e-05
GPSM1	6.7232336632486	1.22524262578452	150.450796098444	4.28443917276634e-08	1.06106756541777e-05
FXYD2	9.1688351202016	4.27789491791805	190.175851935715	4.33192362985075e-08	1.06106756541777e-05
IGF2-1	12.5657645119366	6.67568700220742	131.669723797926	4.36869748590171e-08	1.06106756541777e-05
SIGLEC11	8.42408507109452	1.61324353970154	110.656575574979	4.38322503748632e-08	1.06106756541777e-05
COL14A1	5.82050541217198	0.751317974805528	178.378692369731	4.50072233115746e-08	1.07348846307416e-05
FBXL2	5.77707722895234	0.575291048830785	167.770108580277	4.86113792311356e-08	1.14264921702868e-05
S100A9	5.67958643041582	3.15520030640597	265.054706041489	5.02023306500309e-08	1.16318800116122e-05
GPC6	7.5194256377919	2.01295896217377	144.788044127001	5.43203107071214e-08	1.23675833384015e-05
SULT1E1	6.13941085006028	4.5901736226113	258.178967542574	5.49963278891674e-08	1.23675833384015e-05
LY6E	6.47687941512038	5.14443693614361	257.002841405017	5.56651818054944e-08	1.23675833384015e-05
PLPP2	-6.26056723743807	6.181263103153	250.854216659004	5.92524158372838e-08	1.29377142513724e-05
GJA1	5.49605078339382	-0.833229860483125	114.8289803768	6.06101598087948e-08	1.29377142513724e-05
MXRA8	8.91338539340974	3.90164889773891	169.459646251753	6.06243469452065e-08	1.29377142513724e-05
UCHL1	5.30876982010225	-0.897152171542474	111.232888935076	7.60513402396882e-08	1.60191777577598e-05
CPS1	7.70827694715616	3.72576673930019	218.618662836724	7.72123622130513e-08	1.60552218299164e-05
AC114291.1	7.62317559555612	2.09475922675479	135.5751607524	8.19700074714895e-08	1.68287538124062e-05
AKR1B10	-8.72621400616423	6.08702726965158	167.666489256334	8.40541362638472e-08	1.70409254507917e-05
