gene	logFC	logCPM	F	PValue	FDR
SMLR1	11.121350047483	4.86314455519066	493.88603901839	2.6838201914124e-14	2.80046726248243e-10
AGT	10.3238333062108	5.74059779510142	784.539144490054	3.69723052674424e-14	2.80046726248243e-10
AFP	9.85225610881724	5.01812577586291	502.646690897346	5.85675842733852e-14	2.95746778052504e-10
FBXO17	9.90224127875876	3.64159782438516	333.423166321205	1.53587823447294e-12	5.81675484350763e-09
APOC3	11.9036094331289	7.94171772473291	448.252742110916	2.0485504521426e-12	6.07438390138808e-09
PIGR	-13.3430040726534	11.2570252445636	534.184660546695	2.40585539694557e-12	6.07438390138808e-09
SLC2A2	9.61929530875905	4.50486242086167	307.7464964457	2.96839869087596e-12	6.42403882401143e-09
CUBN	8.44182508645557	4.35205666537957	583.17881424657	6.91997950882107e-12	1.28879603834304e-08
CCDC198	7.90838420015861	2.4420550510435	246.308128620771	7.65671948319186e-12	1.28879603834304e-08
LGALS14	9.66777468636788	4.55824554163352	224.200971138542	9.88510099437956e-12	1.49749394963856e-08
IGF2BP3	9.07994667998222	3.62084453366538	234.423396755176	3.38407407179586e-11	4.66048528305778e-08
HPN	10.2603584191991	6.27957073312071	343.969696027724	4.00600141222377e-11	5.05724294948149e-08
MTTP	8.83318446901291	5.86339245624989	309.78773558084	7.31323502533437e-11	8.52216903067618e-08
APOB	10.9992141873993	6.57235776975461	285.797726591227	1.06193714445501e-10	1.14909184295349e-07
OXT	7.23087412415968	2.36520649941389	254.37845172522	1.36562711688834e-10	1.37919234624943e-07
PNCK	8.21102802461924	5.08461615460561	335.526201377482	1.45772369582503e-10	1.38019101675334e-07
SERPINA4	10.7603801862865	3.71531121913929	269.950187105869	2.09351680448944e-10	1.76629268340621e-07
IGF2BP1	8.33241748567178	3.41308742048028	233.799533674515	2.09870409276598e-10	1.76629268340621e-07
NNAT	7.96715402135269	2.91564700030306	268.783422072144	2.54214964616534e-10	2.02689605209257e-07
MFAP2	8.12802838537942	5.23484424755819	391.515446742888	2.97722655270309e-10	2.25510025234495e-07
