gene	logFC	logCPM	F	PValue	FDR
C17orf99	9.93148389824106	4.90273999537496	490.054272049634	3.0526773975031e-10	5.12727695684622e-06
AFP	9.9335544002911	6.11533283546302	331.839950769535	2.68668708527975e-09	1.60571247396342e-05
HPN	10.2615264351181	6.59317477503922	339.485438509145	2.86802656697443e-09	1.60571247396342e-05
CCDC8	10.0017333027501	3.13259912948954	421.323869262945	4.62826973286513e-09	1.6778480148596e-05
AL831784.1	10.3616173961534	5.30412210363995	286.206035004621	4.99478451672899e-09	1.6778480148596e-05
SLITRK4	7.94991226544702	2.43574815474781	260.660608425622	1.19845963097481e-08	3.13916224565544e-05
CLDN6	7.74309303457681	3.14715608469798	237.45399983025	1.30829576801548e-08	3.13916224565544e-05
MXRA8	9.65359418959067	5.60967771851304	208.519777729569	2.88626278321733e-08	6.05970871336478e-05
FGF23	8.5411416733388	2.15738311191725	212.19743314976	5.34204583318318e-08	9.96944464601607e-05
IGF2BP1	10.6441607855266	3.8594563119006	235.225455021077	6.6445630562859e-08	0.000111602081093378
CAPN3	6.62900264942919	4.33894834684901	283.809153203407	8.29283573702557e-08	0.000113428732417476
RAB3IL1	7.3828868872825	2.02367911210591	163.658588997889	8.74272848191574e-08	0.000113428732417476
TTYH2	6.92980218985148	2.03987110157409	162.648832194918	8.77931365460344e-08	0.000113428732417476
PLA1A	8.72879187546466	2.19801985149412	182.575437495834	1.05556978625159e-07	0.000120599240372101
SMTNL2	6.88159293548785	1.70029785228641	156.267374850489	1.07703536888635e-07	0.000120599240372101
PIK3CD-AS2	6.64470056637883	3.01482558248908	160.159818701595	1.91116201701871e-07	0.000180301786209855
PPP1R14A	6.58790953566893	4.42703120305137	235.141855620785	1.9169194732661e-07	0.000180301786209855
FGB	13.7813699427878	5.89332262382068	331.646943254252	1.93226491532352e-07	0.000180301786209855
FUT3	-7.89013420861516	5.15130931786602	243.482081257243	2.31877130366544e-07	0.000204979383244024
PIGR	-8.77040914279046	10.7026609705723	234.220070824298	2.63119623133041e-07	0.000208731234840613
PRR34-AS1	-9.27113057955212	2.97687241021429	158.063956139485	2.66820119837873e-07	0.000208731234840613
ARHGEF17	5.18406169759306	1.72417043618103	140.951995058505	2.83192121844227e-07	0.000208731234840613
P2RX1	7.6512152443996	3.78323553962544	129.231250224419	2.9414816046931e-07	0.000208731234840613
HSD17B14	8.05689179813106	4.87339248654146	156.988129918213	3.08950072005571e-07	0.000208731234840613
EDNRB	8.09978387459445	3.53099056570574	125.620923664634	3.106859294484e-07	0.000208731234840613
