gene	logFC	logCPM	F	PValue	FDR
C17orf99	9.9700043093068	4.72990363669059	496.116025742712	2.32305379355013e-10	4.02678144573979e-06
AFP	9.96959748753234	5.65465573482127	335.804885213655	2.18806997049277e-09	1.28644714556435e-05
HPN	10.3047952602447	6.16232412212179	346.578543155933	2.22645750357277e-09	1.28644714556435e-05
AL831784.1	10.4023128344471	5.11868856000271	297.555717712812	3.41883136438549e-09	1.48155057175645e-05
CCDC8	10.0459336466949	2.81708591917107	380.773596341007	5.9714175541064e-09	2.07017103765761e-05
CLDN6	7.79129592938071	3.27892729893533	247.956738974267	9.18706063151774e-09	2.65414181644548e-05
SLITRK4	7.98992406579419	1.99434127465345	238.604477364342	1.43675961490708e-08	3.55782730925705e-05
MXRA8	9.69304405416048	5.40489084826757	207.850786595045	2.60560332625883e-08	5.64569100717133e-05
FGF23	8.57933069895072	1.88615399711995	202.257457959696	5.29296652954852e-08	9.93173041351333e-05
IGF2BP1	10.6907739444927	3.43529865546116	227.445578146408	6.52276175193183e-08	9.93173041351333e-05
RAB3IL1	7.42687419095552	2.08696753621819	163.777639375716	7.49661875525521e-08	9.93173041351333e-05
CAPN3	6.67932576504886	4.35637390787467	274.79246687153	7.98593555407092e-08	9.93173041351333e-05
TTYH2	6.9660964404057	1.80141271661495	160.971637747291	8.07720501742371e-08	9.93173041351333e-05
PLA1A	8.77887005291007	2.12231396563207	181.852337407114	8.55705809206086e-08	9.93173041351333e-05
SMTNL2	6.91412854538009	1.72335859237128	159.064400908578	8.59443614876543e-08	9.93173041351333e-05
FGB	13.8338684170956	5.8060933932005	337.627201762053	1.58662904918601e-07	0.000171891424616189
PPP1R14A	6.62489664156765	4.40761151990133	231.228426069031	1.75078823083019e-07	0.000174723328289669
PIK3CD-AS2	6.67910491030255	2.97967037196177	158.311875036773	1.81436477974735e-07	0.000174723328289669
FUT3	-7.83600996086345	5.29164304552371	241.603525888224	2.02376279455017e-07	0.00018065598656105
PRR34-AS1	-9.22752359625329	3.11947259806314	160.356295902513	2.16210580898052e-07	0.00018065598656105
PIGR	-8.71307044616565	10.8395672087471	235.328845861817	2.18863258208264e-07	0.00018065598656105
HSD17B14	8.10808639119048	4.65484185201376	162.468320858172	2.32812577123159e-07	0.000183435145993311
EDNRB	8.13991353041472	3.31245263588436	123.612588953661	3.03925623953823e-07	0.000218754750252535
ARHGEF17	5.227253773033	1.45786470129362	135.069819541564	3.13287089572609e-07	0.000218754750252535
P2RX1	7.69347121656923	3.33226796353036	124.985030047799	3.15624616274344e-07	0.000218754750252535
UPK3A	8.16233244099161	5.32974032092076	177.425407123269	3.35699162148313e-07	0.000218754750252535
PAH	9.08983617890916	2.36453315015714	137.232123899958	3.40739486374665e-07	0.000218754750252535
NKD2	5.83269853480595	1.21051521638051	119.050867179699	3.68480842020547e-07	0.000228115961270863
RDX	6.29437895021958	3.82362380397676	179.5709151013	4.21342679250826e-07	0.000238519055823682
PLPP2	-5.88957858055917	5.78700936012239	198.431646599934	4.34503321816638e-07	0.000238519055823682
TDRP	5.97663416739902	0.359477483351557	116.89294444756	4.47442840948945e-07	0.000238519055823682
NDNF	6.3222644582867	1.94823802545549	115.724842912667	4.49835604715677e-07	0.000238519055823682
FGG	12.0319432438271	4.01602779463252	253.68749770957	4.54086122198079e-07	0.000238519055823682
FXYD2	7.63292038861034	2.78475207375488	111.79459863213	5.00492033447117e-07	0.00025516261493448
MASP1	8.49575096370284	3.54912371599274	109.511810537001	5.54042250437634e-07	0.000274393381973884
PNMA6A	7.44892880685651	0.821919361954014	120.632356966637	6.19677433006985e-07	0.000296276343481999
GPSM1	7.37708689226319	1.7881983913428	107.777414930683	6.36335592114696e-07	0.000296276343481999
DOK7	7.62504798515508	1.95768542619863	107.834605396499	6.49503925944154e-07	0.000296276343481999
LINC01503	6.21749772782952	0.348314889021085	109.084076062362	6.96651658872401e-07	0.00030963486807421
STX19	-8.18996165059208	2.44199623364276	129.214821212567	7.96989669431844e-07	0.000340339619575102
AL158151.1	6.39251564485767	1.59565272076201	101.419783375775	8.09309369875686e-07	0.000340339619575102
MFAP2	7.21675790556802	5.54546920973289	166.595387298933	8.24637361379618e-07	0.000340339619575102
S100A9	6.52283630118329	3.6615715386814	132.352963234749	1.10323840768935e-06	0.000444733361834586
SMIM1	5.98027587690606	5.00422008675251	155.830724343652	1.16814093676741e-06	0.0004501849915693
RRAGD	7.34996495879531	3.33877557084563	99.7890979515457	1.17204197734286e-06	0.0004501849915693
EDA	5.76386693052178	3.76179043083918	147.553213293297	1.19779728242561e-06	0.0004501849915693
MELTF	4.36552647417583	5.36918453174482	153.134896410685	1.22875641991825e-06	0.0004501849915693
SLC22A18AS	-4.55880849511022	4.17323253710018	152.311892582443	1.24661818364638e-06	0.0004501849915693
SERPINB5	-10.3197306687858	4.21247053869615	108.320525653634	1.30499721301089e-06	0.000457154924791499
AMHR2	7.70183535235026	3.05493046873502	91.9935103689166	1.31866541130581e-06	0.000457154924791499
FMOD	4.55347300942101	3.59668873652246	149.305815526059	1.37873670128856e-06	0.000460124500557231
SIGLEC11	10.8470663828365	3.58928193042269	114.892945453723	1.38032041242506e-06	0.000460124500557231
EMID1	7.13848877538872	3.59282702285835	105.838464927673	1.44397047497452e-06	0.000460219753070125
NOL4	6.66073923501824	0.717395688754493	93.8518065016852	1.45202305238508e-06	0.000460219753070125
AL359504.2	5.57776938474735	0.902530561247718	89.5789513348024	1.48680008589314e-06	0.000460219753070125
BEND7	-4.67886619108162	4.26229411735877	145.681380097154	1.48680663274068e-06	0.000460219753070125
MATN2	-4.20549240102713	5.48378146211103	143.78509848018	1.56330551724235e-06	0.00047120658613055
PDE6B	7.02912604374854	2.23495414441611	88.4943449675752	1.57666908939494e-06	0.00047120658613055
PHGDH	5.65005956580142	5.15818693526733	143.548353322907	1.6260184933215e-06	0.000471211778532478
GPX7	5.04773271495982	2.4607702120438	124.763555348707	1.66689878635355e-06	0.000471211778532478
CX3CL1	4.9396706637601	1.95265361438621	114.075725033796	1.69246547923898e-06	0.000471211778532478
REN	5.87107475725735	2.19190602961674	97.741606367634	1.69781570261813e-06	0.000471211778532478
EVA1C	-5.92107656761331	2.71189563814615	141.324464735699	1.71260771013881e-06	0.000471211778532478
NAALADL1	-4.73436634015191	5.58758374833834	139.380380299386	1.7675381458428e-06	0.000478726659688111
IL6R	-5.44261712240516	4.726486148956	137.776732202047	1.85407332710111e-06	0.000482302135646992
NNAT	5.60115099088566	0.772429797211267	85.5433990565249	1.85620416395725e-06	0.000482302135646992
ADGRL2	6.42882464665302	2.94804706085106	101.025222084748	1.86421155465262e-06	0.000482302135646992
IGF2BP3	6.87928395144195	3.40844509406156	100.997908855497	1.91653397042153e-06	0.000482396585387097
SULT1C4	6.80774874368978	0.573255024956072	90.9813328502265	1.9202356289206e-06	0.000482396585387097
GJA1	5.26721308517195	2.64367116332946	119.273036858698	1.97808484017897e-06	0.000485047815104919
HSD11B2	-5.59386213237384	6.42556377282052	134.89573502874	2.01046677558016e-06	0.000485047815104919
MYH10	5.39409337262726	3.2899264907347	127.65660130391	2.04195187454194e-06	0.000485047815104919
OBSCN	4.21463349534206	3.4589838361576	135.348561090445	2.04271896288561e-06	0.000485047815104919
PPP1R3C	8.31550290975702	4.61789927712147	94.167253442757	2.10493694063073e-06	0.000486734111639212
CKMT1B	-4.29683328758956	3.65778821085454	132.861057012922	2.13979592582535e-06	0.000486734111639212
SCPEP1	3.10124044209225	6.19373258459547	132.53321377323	2.1557354692919e-06	0.000486734111639212
IGLV2-14	-7.41618063009533	2.183361559749	113.918182462304	2.16213952903077e-06	0.000486734111639212
SCIN	-6.46697980356255	5.54030457446413	131.488732184747	2.22991970220978e-06	0.000493800585281696
AKR1C3	-6.46711670053013	7.80074943616095	131.081717041003	2.25050457120422e-06	0.000493800585281696
PNCK	5.37628951487787	4.64104571950653	130.779096841206	2.34230926544054e-06	0.000506601414801502
AFM	6.50973388289173	-0.0281710124255657	90.3413050487176	2.36729633084814e-06	0.000506601414801502
TRIM36	-5.29752069486186	3.84110923135698	128.178498981213	2.474275125058e-06	0.000523037622167748
SCD5	4.9606026804019	4.00575852723095	125.744041015412	2.71226176662596e-06	0.000566437897140897
GGT6	-4.83741803316443	5.08916616899251	124.56141296569	2.75071383471998e-06	0.00056762944775043
KEL	8.66802577457059	3.28941752265236	78.6085863692876	2.83027932828797e-06	0.000571386156284118
CDH6	5.23078405865371	1.04692900329197	79.758796510852	2.85167275954886e-06	0.000571386156284118
AC011139.1	6.51291309046829	4.30429686146403	116.17965315086	2.89498168963464e-06	0.000571386156284118
SLC7A4	6.48007899145485	4.00804339334796	112.420221317923	2.90077199451958e-06	0.000571386156284118
TRIM63	5.49291132530402	2.13738141143988	92.7127441891007	2.97331266162976e-06	0.000579094400861688
MCOLN3	2.89803648957571	4.36960146906208	121.132221134192	3.08336526706972e-06	0.000590849219089724
AK8	6.47374449696809	0.765613975641054	78.3640533556001	3.12675743938565e-06	0.000590849219089724
GSTM1	-7.84683624708619	4.79293197454422	121.126586591223	3.13803392736383e-06	0.000590849219089724
ISYNA1	4.73457952811487	4.23110607570561	121.066855875591	3.17001138660115e-06	0.000590849219089724
PACSIN3	5.06811728601242	3.7741146678308	119.020796601412	3.27198307408126e-06	0.000603367602192815
C16orf74	5.84498980553652	0.945345954257086	74.8168231076976	3.5324072231869e-06	0.00063795772471575
DIO3OS	6.12862870020338	3.16170980356522	98.0859084659701	3.53316843040914e-06	0.00063795772471575
OLFM3	11.0529771832489	3.06738278946061	141.227565873889	3.71882631245344e-06	0.000654344435477923
KRT20	-4.77489115772965	8.59853080747957	115.269905288698	3.72262339015098e-06	0.000654344435477923
FUT6	-7.23939491796468	4.91520856067137	115.665976606252	3.73716967303071e-06	0.000654344435477923
SALL4	7.79391090579068	0.673262969458872	89.562488453712	4.00006027256549e-06	0.000693370447646502
COL6A1	4.96460194832836	4.96162776278067	110.73873352889	4.45198832407219e-06	0.000761187133719078
KCNJ12	6.12630433943224	0.222155955192838	73.9610229306275	4.47912124376058e-06	0.000761187133719078
ACSS2	-3.54530391424915	6.06564646188486	109.416428036994	4.56055973661998e-06	0.000767502354122046
PPP1R3B	3.89239333032574	4.36910893231311	108.224525804789	4.83238560277051e-06	0.000805428577292539
PDIA2	-6.67585433469384	2.52686951302634	104.164029189733	5.10603908421687e-06	0.00083636192104895
CDH2	7.85136764415954	0.712411731767143	84.7073627230039	5.17251283159885e-06	0.00083636192104895
IQCA1	7.40967933675977	1.11606240910182	73.4791054535744	5.18769440509054e-06	0.00083636192104895
MAMDC4	4.46301187609361	6.10847254612438	105.600753923019	5.24949650069633e-06	0.00083636192104895
PTK6	-7.43895250749484	4.42431228518533	106.068796818566	5.25922749476956e-06	0.00083636192104895
CPVL	6.4100708757595	5.74188057437033	105.167338642732	5.47528641064987e-06	0.000862684908574668
GFOD2	-4.34930351085249	2.87992963854221	104.358485398334	5.52428896110466e-06	0.000862684908574668
KCNAB2	5.49895799487254	1.80333020071417	74.4411577537471	5.62481744474254e-06	0.000870540942742564
PNMA3	8.15813988458243	1.51188693753504	74.049338523487	5.75955824752435e-06	0.000878184301836157
ST3GAL4	6.22568358012331	1.40290247943834	67.437107015513	5.77552846482762e-06	0.000878184301836157
APOA2	8.90550475015475	4.93349705786844	71.364721914906	5.87532936900046e-06	0.000885590950280469
LINC02177	-6.42915031057965	-0.16780425029108	75.8423448261552	5.93097438335163e-06	0.000886271637594976
AMDHD1	4.62534227078265	-0.0614703476737259	66.6307668959717	6.1119145563104e-06	0.000898477135852129
EGFL7	3.97157535155016	3.23190881168772	102.114586318497	6.11632064327629e-06	0.000898477135852129
MUM1L1	6.42406902759941	1.94442216616385	66.5246459372732	6.31792203067319e-06	0.000913331092426732
LYZ	-4.78300721312971	7.78864824862873	100.409471367313	6.36361203119331e-06	0.000913331092426732
AC093607.1	-9.1089479359978	4.05927591746894	89.5369149562611	6.50644050310584e-06	0.000913331092426732
CYS1	5.43664547209854	0.352507830744185	65.7672820466582	6.55049979531863e-06	0.000913331092426732
TTYH1	5.77795776452117	0.40997791807646	65.9882237398982	6.59598469236012e-06	0.000913331092426732
IGSF1	7.75680038223633	0.686598357333359	78.7321281109606	6.59905210111932e-06	0.000913331092426732
CHST13	4.86064509940563	4.48215377112598	99.8115959310767	6.69361755033602e-06	0.000913331092426732
SLC41A2	-8.2360933870839	4.14645517247217	97.1920597897458	6.74278345869695e-06	0.000913331092426732
SLC7A10	9.22839402903762	1.24883951823871	123.015649280139	6.82555847745139e-06	0.000913331092426732
SLC2A8	2.57079495907462	5.05972838396402	98.5080041767611	6.85965767641776e-06	0.000913331092426732
FABP3	5.86799827991947	3.18070956411506	87.6927286470855	6.88552214485339e-06	0.000913331092426732
UGT1A10	-10.2277385033128	2.89461254688303	84.6484086881532	6.89825048571821e-06	0.000913331092426732
CTXND1	9.36312144208531	1.37602546230878	122.356086678326	6.95631264745757e-06	0.000913331092426732
AC108488.1	5.04196659539002	1.67913282002651	74.850894885981	7.03568864067742e-06	0.000913331092426732
GDPD5	4.25249017922436	3.22560556049333	98.1586301084759	7.04672800051035e-06	0.000913331092426732
LINC00535	4.53014011752653	-0.531437713498672	64.7975803146164	7.06048034990089e-06	0.000913331092426732
ARSJ	4.73754143157836	1.49826676607115	76.403704354386	7.12688043805421e-06	0.000914254943524508
AQP8	9.78932509038357	1.78151204688082	121.222780239436	7.18822263818504e-06	0.000914254943524508
KLF9	-6.81694071919862	4.17467472906743	97.6671404626925	7.2258525016071e-06	0.000914254943524508
TRPM4	-4.44599905277663	5.03220424664197	96.9022914175996	7.30274532879082e-06	0.000917288315429421
MEP1B	-8.95033315793432	5.25862717199977	95.5316181961175	7.6393683290887e-06	0.000946292617807254
CKMT1A	-4.43674557209858	3.43556170563778	95.6977602390232	7.68969699527632e-06	0.000946292617807254
AC004754.1	-6.58322622342993	2.68501263647603	94.8193739599253	7.69743043214623e-06	0.000946292617807254
MAGEH1	4.18262291717379	3.92179516151332	94.701281498709	8.18709739356579e-06	0.000999402438169502
F12	-5.9949623847266	3.53591595518867	93.9110279753743	8.38722952997597e-06	0.0010166729837245
VIM-AS1	4.31427035879035	0.579732354596558	65.6059539208105	8.49922010347596e-06	0.00102309361995592
FGA	9.59593744561932	1.61140474399165	114.135612133827	8.64982524475234e-06	0.00102889530059124
AC092834.1	-8.62780533503764	1.2368178151949	80.9689985257394	8.67085376000672e-06	0.00102889530059124
HBG2	9.09626377535524	1.12466909814071	114.593541747403	8.76341011789715e-06	0.00102889530059124
RASSF8-AS1	4.82583451750142	0.506411429446291	61.9599811446991	8.78484507254546e-06	0.00102889530059124
CBX2	4.49942118446297	0.435522620222811	62.7789562584511	8.84887954565789e-06	0.00102943944996264
ENPEP	-4.19084621664862	6.26819027521032	91.8060123254176	8.98853658598979e-06	0.00103871528787698
ADIRF	-5.92616293043224	9.02231897867339	91.1208079757332	9.25060808708003e-06	0.00106192079855262
LY6E	4.92777545032992	6.04265680775229	90.4584354452828	9.56462429738458e-06	0.0010863610444531
PIFO	5.8813281215517	0.861326772034427	60.5412030449791	9.58885657097752e-06	0.0010863610444531
ALDH1L1-AS2	5.58132749853753	0.445308115567501	60.4976310499521	9.66194784979896e-06	0.00108753379239231
FAM3D	-3.21467863447889	5.73396950487804	89.6601872597911	9.84299956141212e-06	0.00110076486708076
PIEZO2	6.78296430669369	1.2170975887335	60.5989731400612	9.95068972038059e-06	0.0011032959202981
BX293535.1	4.08657850959302	-0.313344831827937	60.0085646006569	9.99293062690673e-06	0.0011032959202981
DAB2	4.83655905550725	5.72332385648487	89.0973244422588	1.01581688600767e-05	0.00111444113304158
SLC30A4	-4.95309907783259	3.64499125612872	88.7823416920668	1.02727335334834e-05	0.0011199217803107
ADAM15	-3.69506761927101	4.56575642840772	88.3018278847636	1.04383007429346e-05	0.00113085940673768
TTC36	-4.7508024018014	4.95330327724418	87.7324640232058	1.07030730081696e-05	0.00115234203430815
KRT19	-3.91854161699487	10.1494057221218	87.1847732674269	1.09569571897629e-05	0.00117239441930463
HABP2	5.45049033001966	1.79020980542088	63.835857773724	1.11025963587793e-05	0.00118068960296368
AXDND1	-6.71725444712435	3.30497409201545	85.8421655171356	1.17457523814442e-05	0.00123042377951675
LINC01091	3.83129284701412	2.08257414082903	83.302211268876	1.18057699111076e-05	0.00123042377951675
FOXP4-AS1	3.62875632920929	2.78366475638273	85.8711274410385	1.18285951157701e-05	0.00123042377951675
LINC00668	-4.29312531363905	2.39424361076249	85.6969813539627	1.18542039448078e-05	0.00123042377951675
REG1A	-9.81466223599488	12.2704966407369	84.0801045713741	1.25856260623189e-05	0.00129856691764427
APOE	6.5376911777846	5.68958815167866	84.0801050206973	1.28918067630523e-05	0.00131850250579431
PRSS12	-5.19600096360987	2.55719322107983	83.8847493509916	1.29646469156787e-05	0.00131850250579431
PLAGL2	2.6092330585898	4.9231661094316	83.3872764122063	1.30070340654683e-05	0.00131850250579431
MSR1	5.27752856266482	0.862462089208923	56.7705791297889	1.31031893435225e-05	0.00132051391940931
ASAH1	3.02957352680484	7.51436580959447	83.0714311364941	1.31792378018813e-05	0.00132051391940931
JAK3	3.78547713389017	-0.340245849979543	56.5568617532401	1.3455717001611e-05	0.00134046780750532
UGT3A2	5.77698298891726	-1.09118634910852	67.1877669634399	1.35934061559812e-05	0.0013456928754989
NBL1	-3.89182924841511	6.34170441026801	82.2882691048037	1.36634329114922e-05	0.0013456928754989
ACP5	3.69047498972681	4.7199279763973	82.2826524720718	1.37612326859026e-05	0.0013476678382906
SEPT4	4.55475744013983	-0.0697407898919486	55.8763082015741	1.38445435986073e-05	0.00134820965583292
GAMT	4.83831833332921	2.73972295165145	78.3420173430583	1.39555807561303e-05	0.00134984916372281
HR	-6.01203949734162	2.05221111611716	81.0068979679557	1.40171252723034e-05	0.00134984916372281
MGAM	-5.96473003484144	6.47869535288398	80.9620120645983	1.45385497334475e-05	0.00137690765508895
ARHGAP32	-2.61138880502745	5.0630603289724	80.849469697834	1.46132419121226e-05	0.00137690765508895
FAM92A	5.04846923048431	3.01380560909431	77.8989926143978	1.46411527235836e-05	0.00137690765508895
B3GALT5	-3.57564560694433	5.21252116530869	80.7713456810689	1.46675631513307e-05	0.00137690765508895
CTSA	3.1634586158278	7.87487172115111	80.6794001512351	1.47301782929551e-05	0.00137690765508895
AC129492.1	5.12043796435993	0.0303940906124447	55.1117565271641	1.48721029976452e-05	0.00137690765508895
KYNU	4.59932482618803	0.501514683824284	55.896943801209	1.49004878026834e-05	0.00137690765508895
POMC	4.95255493307747	2.01603791964657	68.4883872544519	1.49335778906613e-05	0.00137690765508895
CAMKV	5.38994237311787	0.853491855813802	54.9316079207077	1.50702937083239e-05	0.00138216122296342
AKR7A3	-5.60735020973901	7.83036677368003	79.964343088063	1.52370230866151e-05	0.00138497545522057
SPACA3	5.46443153315683	2.22150764827809	64.9527395553243	1.52785909618134e-05	0.00138497545522057
KNG1	5.80044191588326	-0.226750246701612	57.379600612352	1.53406765548834e-05	0.00138497545522057
SOX11	5.37935926745225	-0.99584065948925	59.0890679025864	1.58604998903429e-05	0.00142448655491815
PIK3CD	4.73813567908713	1.51659156033838	63.4379815642904	1.6219281448363e-05	0.00144920115786559
ICAM4	4.67574659334439	-1.20544813768398	56.7379581951216	1.6362991862851e-05	0.00145454410743928
FXYD5	4.81309086863938	4.65959724187642	78.6976402039375	1.65439113845546e-05	0.00146312326499934
FAM20A	6.81896605905283	1.06087200122228	54.5896437381045	1.67659405493812e-05	0.00147523255575113
ARID3A	4.32263215576273	5.18748995620629	77.2755779005745	1.74790564994217e-05	0.00152521454140136
FKBP5	-7.23790583130156	6.46787961224698	77.0231526197808	1.75975903956626e-05	0.00152521454140136
KNDC1	8.29080880568609	1.21441297703892	62.0173486211122	1.75979524795357e-05	0.00152521454140136
COL2A1	4.55954377596923	1.58536864019781	64.7786740837314	1.79768611427352e-05	0.00155030304004065
RAB3D	3.03614618782659	4.15040876579409	76.3868259804502	1.82489216480406e-05	0.00156325966575156
PTPRN	4.79744930799865	-0.866659473601566	54.1772173252593	1.83074715672993e-05	0.00156325966575156
CYP2W1	7.96990610816396	7.47190130510645	76.2091631383238	1.87306063577476e-05	0.00159155064022155
ARHGAP44	-4.04476429217154	2.29954126815071	75.519303288659	1.91343627739893e-05	0.00161602231148479
WWC2	4.8345645078732	1.78930892313609	63.1450638095584	1.92618102017409e-05	0.00161602231148479
AGT	5.48462972571989	5.01396323098403	75.611443512681	1.92982934393303e-05	0.00161602231148479
MMP28	-4.85178995890341	3.81684314549816	75.0604702068625	1.94271240573057e-05	0.00161898927119874
AC064807.2	4.37793474067364	1.56051400821005	64.6641232100341	1.98093327624553e-05	0.00164294245982966
MAGED2	2.30318144896023	5.65024641610685	74.2563530432551	2.01772210585018e-05	0.00166548547537177
ABCG2	-5.59628941709359	5.13807760658248	74.0919540345469	2.03656090837843e-05	0.0016730685680489
TCEA2	3.63459936816486	3.19569734842685	74.0621835398958	2.08716506551803e-05	0.00170655279460799
KANK4	4.60937581101434	-0.498491236725643	50.8032850254082	2.1648424167917e-05	0.0017527232712492
EGFLAM	4.38609238355672	-1.19677750317433	52.1797500261929	2.16577176583464e-05	0.0017527232712492
LINGO1	5.08290709946247	-0.631620700728987	52.1268874947898	2.17396736655462e-05	0.0017527232712492
NDN	3.2217404206983	4.3739319255287	72.8028645626275	2.18646837864554e-05	0.00175464087386304
NFIB	-4.27102691370768	5.48400746334741	72.5341888854948	2.20412519020311e-05	0.00176065926483782
CNN3	-3.37616465186375	5.73024696956524	72.3495610666472	2.22522118228273e-05	0.00176685438260743
AC005840.2	-5.23931172535749	-0.170520433298244	62.571934133893	2.23226670007516e-05	0.00176685438260743
TLCD2	-4.73945831229967	4.62739351154143	71.8372700282165	2.28724398815316e-05	0.0017958553132016
APOD	3.86419909064118	1.03627156829523	61.413072336472	2.30764523414735e-05	0.0017958553132016
CYP4F2	-5.51536015610899	4.80196571573378	71.5651704918478	2.32229432305842e-05	0.0017958553132016
RIIAD1	5.54009878099447	1.44313023232773	50.8914018024192	2.32801412052359e-05	0.0017958553132016
COL17A1	-3.80401751094122	4.02300161066126	71.4919225755398	2.32888134313285e-05	0.0017958553132016
FAM69B	3.9435959586122	-0.33630554433799	49.9476119865492	2.33106868276427e-05	0.0017958553132016
TCEAL4	2.47761133029115	5.54957946376336	71.2645818826571	2.3563286406737e-05	0.00180728321493088
STRA6	8.70047587878729	0.770357120141975	85.5705665876837	2.36952607394444e-05	0.00180939933769837
ARSE	2.27632047973363	5.81280700534805	70.1858272670132	2.49497156649256e-05	0.00189683496199922
CAMK1	2.44742728778479	3.76750454472223	70.1341587458475	2.51594506273854e-05	0.00190361892434169
AC024592.2	-10.5975769536014	1.49037132164587	87.7765125569234	2.5258587319637e-05	0.00190361892434169
WEE2	8.43073117178746	0.507695390528887	84.1519374082902	2.57049799642916e-05	0.00192583302364574
BEX1	5.32940327906973	4.81113154972608	69.9578768526873	2.58476535428871e-05	0.00192583302364574
PLEKHG1	-3.87704491061327	2.83219534318346	69.5738609303046	2.5886644427683e-05	0.00192583302364574
PRR18	5.93383418430016	0.191368063358398	49.7651503286915	2.62053610474151e-05	0.00194121251451237
CAPN13	-3.59301453068518	4.61735671883294	69.0423307218178	2.65347543407026e-05	0.00195724864570953
GLMP	2.62456108606446	5.58639808780953	68.855988947026	2.68121676023718e-05	0.00196487032658945
SARDH	5.04209551678551	-1.21452819757012	52.0794572967762	2.6979674268587e-05	0.00196487032658945
PRDM1	4.15803273427329	3.8055235275068	69.0264934399097	2.71641324577704e-05	0.00196487032658945
TAP2	-3.73898091513983	3.58860743102827	68.5458613654238	2.72899269424465e-05	0.00196487032658945
NR3C2	-3.02639349689871	3.66634215523469	68.4991512061986	2.73452206772172e-05	0.00196487032658945
ADGRD1	3.8884187709988	2.2230012647584	67.1256069153078	2.7356739157215e-05	0.00196487032658945
PTPRU	4.81591456221664	-0.0803621425077992	48.0652488948043	2.74515161378617e-05	0.00196487032658945
GSTA4	2.30410315946492	4.57505439900547	68.3809325904684	2.75449111204128e-05	0.00196487032658945
ERP27	6.40781450281836	3.4524364786221	59.4470556853308	2.79595620125125e-05	0.00198254670321907
P2RY6	5.0528586756674	2.47583442038147	62.0103037616392	2.80575497412187e-05	0.00198254670321907
PLP1	4.53489533543639	-1.31479236916632	50.1646977796845	2.81358306791215e-05	0.00198254670321907
TRIM61	4.00213100394044	0.956017224862388	55.8719082706261	2.86103045499558e-05	0.00200781789096735
MX2	-3.85804569737626	2.20291140362497	67.4655722591193	2.92274243331456e-05	0.00204285553786591
ASPA	-4.81466108850601	2.88550753014727	66.6966559124968	3.05007177304026e-05	0.00211528022047049
NT5DC4	6.17161488854676	-0.214426262495154	50.4123253694433	3.0541702147871e-05	0.00211528022047049
DAPK2	-3.42329370194313	4.64878603669453	66.4453321177333	3.06297066654029e-05	0.00211528022047049
KIAA0100	-2.41002484423169	4.13129693513447	66.3176428792349	3.08545971612129e-05	0.002122355504732
GNS	2.54861614363597	5.83604181749801	65.3184575093819	3.26518201070412e-05	0.00223434632055524
DNALI1	4.77078673954615	3.45932006936793	65.1888010760266	3.27405079855216e-05	0.00223434632055524
ZCCHC24	4.18803318055047	0.130198656574246	46.6219350784109	3.34258417180606e-05	0.00227217074643475
BCL2A1	4.73784711033746	0.535119486183665	46.1820299862806	3.39090900408112e-05	0.00229601627643524
ADH6	-5.00132252599483	3.77097337780652	64.5219282030649	3.42957773237447e-05	0.00231316344019374
STYK1	-5.1375530452417	1.73146065183863	64.654549866691	3.44404102464805e-05	0.00231391500469958
CHP1	-2.58175588004066	6.18496124990398	64.0429894329277	3.51317345351693e-05	0.00235124898236534
HLA-DMB	-4.95274312711771	3.25671983513424	64.0716608181316	3.5325747508185e-05	0.00235429752878308
RAB32	2.61941313860298	4.52529288280076	63.9266800376661	3.5448924369008e-05	0.00235429752878308
