gene	logFC	logCPM	F	PValue	FDR
C17orf99	9.88685561613298	4.93460429974302	457.811755971721	1.07872744211628e-10	1.61614945377861e-06
HPN	10.2247370108325	6.68545004164008	386.577428118997	4.06274723245337e-10	2.52056464596541e-06
AFP	9.89079534108952	6.52636301836088	359.202689833867	5.04718591502886e-10	2.52056464596541e-06
CCDC8	9.9269233573423	3.60267688698677	397.377663119877	1.35420578806325e-09	4.16411116113021e-06
SLITRK4	7.89794616748742	2.83075321623335	314.649900268928	1.38970469934929e-09	4.16411116113021e-06
AL831784.1	10.3209184436867	5.39094434858656	244.840199654193	3.68009670186055e-09	9.1892014645458e-06
MXRA8	9.60950046549918	5.60963878000718	229.767785030641	6.11621090870509e-09	1.309043883346e-05
PRR34-AS1	-9.26572435580051	3.234856182114	199.268072292934	8.52538917352033e-09	1.59659225747102e-05
IGF2BP1	10.5683115375913	3.9332459284978	268.057660626503	1.00130896558952e-08	1.62783679181614e-05
CLDN6	7.70537701049701	3.76080513828229	201.55533716325	1.08652836191172e-08	1.62783679181614e-05
FGF23	8.47748399457268	2.36247783911536	217.790594356707	1.60251872076442e-08	2.18263049768114e-05
CAPN3	6.59239427259353	4.10920283873243	300.428210063871	1.80606914697863e-08	2.20436836303701e-05
FUT3	-7.92597008618495	4.91435527918828	296.33815123435	1.91274787875325e-08	2.20436836303701e-05
TTYH2	6.88480272542724	2.25862313731603	176.431591267583	2.23074532469552e-08	2.34349687848575e-05
PLA1A	8.66893160777338	2.51637485957305	201.383961012557	2.34631245342987e-08	2.34349687848575e-05
ARHGEF17	5.145265980861	1.92791007987881	166.107452681768	5.14908975955058e-08	4.82147892359918e-05
PAH	8.98454086462432	3.15305448863068	169.47616884277	5.86863024894873e-08	4.89214804212441e-05
PIK3CD-AS2	6.60426429338039	3.32861611093154	166.757577333879	6.26100545828792e-08	4.89214804212441e-05
EDNRB	8.05415143005801	3.84115976805102	143.636216948493	6.64396386963154e-08	4.89214804212441e-05
