p_developmental_gene	matches_renamed_old_varname	matches_renamed_authoritative_symbol	matches_unresolved_varname
CCDC169	False	False	False
CCR3	False	False	False
CGB3	False	False	False
CGB5	False	False	False
CRYBA1	False	False	False
CSHL1	False	False	False
CTXND2	False	False	False
DLX4	False	False	False
DPPA2	False	False	False
ERVFRD-1	False	False	False
ERVH48-1	False	False	False
ERVMER34-1	False	False	False
ERVV-1	False	False	False
ERVW-1	False	False	False
FOXI3	False	False	False
GCM1	False	False	False
GH2	False	False	False
GJB7	False	False	False
GNGT1	False	False	False
GPR78	False	False	False
HTRA4	False	False	False
HYAL4	False	False	False
IGSF5	False	False	False
IL1RAPL2	False	False	False
INSL4	False	False	False
ISM2	False	False	False
KCNH5	False	False	False
KISS1	False	False	False
LAIR2	False	False	False
LGALS13	False	False	False
LGALS14	False	False	False
LGALS16	False	False	False
LGSN	False	False	False
LIN28B	False	False	False
MAGEA11	False	False	False
MAGEA8	False	False	False
METTL21C	False	False	False
MKRN3	False	False	False
MS4A15	False	False	False
MYL10	False	False	False
NAA11	False	False	False
NPFFR2	False	False	False
ODAPH	False	False	False
OOEP	False	False	False
OPRK1	False	False	False
OR2F1	False	False	False
PCDH11X	False	False	False
PCDH11Y	False	False	False
PSG1	False	False	False
PSG11	False	False	False
PSG2	False	False	False
PSG3	False	False	False
PSG4	False	False	False
PSG5	False	False	False
PSG6	False	False	False
PSG8	False	False	False
PSG9	False	False	False
RAB6C	False	False	False
RPA4	False	False	False
SLC17A8	False	False	False
SOX14	False	False	False
SPATA9	False	False	False
SUN3	False	False	False
TACR3	False	False	False
TMC1	False	False	False
TMEM191C	False	False	False
TMEM247	False	False	False
TMPRSS12	False	False	False
TRIM60	False	False	False
TRIM71	False	False	False
TRIML2	False	False	False
TSKS	False	False	False
TULP1	False	False	False
WDR64	False	False	False
XAGE2	False	False	False
XAGE3	False	False	False
ZBTB8B	False	False	False
ZNF114	False	False	False
ZNF257	False	False	False
ZNF492	False	False	False
ZNF695	False	False	False
ZNF730	False	False	False
ZNF732	False	False	False
ZNF850	False	False	False
