var_name	gene_id	base_symbol	is_suffixed	base_symbol_is_duplicated
MIR1302-2HG	ENSG00000243485	MIR1302-2HG	False	False
FAM138A	ENSG00000237613	FAM138A	False	False
OR4F5	ENSG00000186092	OR4F5	False	False
AL627309.1	ENSG00000238009	AL627309.1	False	False
AL627309.3	ENSG00000239945	AL627309.3	False	False
AL627309.2	ENSG00000239906	AL627309.2	False	False
AL627309.4	ENSG00000241599	AL627309.4	False	False
AL732372.1	ENSG00000236601	AL732372.1	False	False
OR4F29	ENSG00000284733	OR4F29	False	False
AC114498.1	ENSG00000235146	AC114498.1	False	False
OR4F16	ENSG00000284662	OR4F16	False	False
AL669831.2	ENSG00000229905	AL669831.2	False	False
AL669831.5	ENSG00000237491	AL669831.5	False	False
FAM87B	ENSG00000177757	FAM87B	False	False
LINC00115	ENSG00000225880	LINC00115	False	False
FAM41C	ENSG00000230368	FAM41C	False	False
AL645608.7	ENSG00000272438	AL645608.7	False	False
AL645608.3	ENSG00000230699	AL645608.3	False	False
AL645608.5	ENSG00000241180	AL645608.5	False	False
AL645608.1	ENSG00000223764	AL645608.1	False	False
SAMD11	ENSG00000187634	SAMD11	False	False
NOC2L	ENSG00000188976	NOC2L	False	False
KLHL17	ENSG00000187961	KLHL17	False	False
PLEKHN1	ENSG00000187583	PLEKHN1	False	False
PERM1	ENSG00000187642	PERM1	False	False
AL645608.8	ENSG00000272512	AL645608.8	False	False
HES4	ENSG00000188290	HES4	False	False
ISG15	ENSG00000187608	ISG15	False	False
AL645608.2	ENSG00000224969	AL645608.2	False	False
AGRN	ENSG00000188157	AGRN	False	False
AL645608.9	ENSG00000273443	AL645608.9	False	False
RNF223	ENSG00000237330	RNF223	False	False
C1orf159	ENSG00000131591	C1orf159	False	False
LINC01342	ENSG00000223823	LINC01342	False	False
AL390719.2	ENSG00000272141	AL390719.2	False	False
TTLL10-AS1	ENSG00000205231	TTLL10-AS1	False	False
TTLL10	ENSG00000162571	TTLL10	False	False
TNFRSF18	ENSG00000186891	TNFRSF18	False	False
TNFRSF4	ENSG00000186827	TNFRSF4	False	False
SDF4	ENSG00000078808	SDF4	False	False
B3GALT6	ENSG00000176022	B3GALT6	False	False
C1QTNF12	ENSG00000184163	C1QTNF12	False	False
AL162741.1	ENSG00000260179	AL162741.1	False	False
UBE2J2	ENSG00000160087	UBE2J2	False	False
LINC01786	ENSG00000230415	LINC01786	False	False
SCNN1D	ENSG00000162572	SCNN1D	False	False
ACAP3	ENSG00000131584	ACAP3	False	False
PUSL1	ENSG00000169972	PUSL1	False	False
INTS11	ENSG00000127054	INTS11	False	False
CPTP	ENSG00000224051	CPTP	False	False
TAS1R3	ENSG00000169962	TAS1R3	False	False
DVL1	ENSG00000107404	DVL1	False	False
MXRA8	ENSG00000162576	MXRA8	False	False
AURKAIP1	ENSG00000175756	AURKAIP1	False	False
CCNL2	ENSG00000221978	CCNL2	False	False
MRPL20	ENSG00000242485	MRPL20	False	False
AL391244.3	ENSG00000272455	AL391244.3	False	False
ANKRD65	ENSG00000235098	ANKRD65	False	False
AL391244.2	ENSG00000225905	AL391244.2	False	False
TMEM88B	ENSG00000205116	TMEM88B	False	False
LINC01770	ENSG00000225285	LINC01770	False	False
VWA1	ENSG00000179403	VWA1	False	False
ATAD3C	ENSG00000215915	ATAD3C	False	False
ATAD3B	ENSG00000160072	ATAD3B	False	False
ATAD3A	ENSG00000197785	ATAD3A	False	False
TMEM240	ENSG00000205090	TMEM240	False	False
SSU72	ENSG00000160075	SSU72	False	False
AL645728.1	ENSG00000215014	AL645728.1	False	False
FNDC10	ENSG00000228594	FNDC10	False	False
AL691432.2	ENSG00000272106	AL691432.2	False	False
MIB2	ENSG00000197530	MIB2	False	False
MMP23B	ENSG00000189409	MMP23B	False	False
CDK11B	ENSG00000248333	CDK11B	False	False
FO704657.1	ENSG00000272004	FO704657.1	False	False
SLC35E2B	ENSG00000189339	SLC35E2B	False	False
CDK11A	ENSG00000008128	CDK11A	False	False
SLC35E2A	ENSG00000215790	SLC35E2A	False	False
NADK	ENSG00000008130	NADK	False	False
GNB1	ENSG00000078369	GNB1	False	False
AL109917.1	ENSG00000231050	AL109917.1	False	False
CALML6	ENSG00000169885	CALML6	False	False
TMEM52	ENSG00000178821	TMEM52	False	False
CFAP74	ENSG00000142609	CFAP74	False	False
AL391845.2	ENSG00000233542	AL391845.2	False	False
GABRD	ENSG00000187730	GABRD	False	False
AL391845.1	ENSG00000226969	AL391845.1	False	False
PRKCZ	ENSG00000067606	PRKCZ	False	False
AL590822.2	ENSG00000271806	AL590822.2	False	False
PRKCZ-AS1	ENSG00000182873	PRKCZ-AS1	False	False
FAAP20	ENSG00000162585	FAAP20	False	False
AL590822.1	ENSG00000234396	AL590822.1	False	False
SKI	ENSG00000157933	SKI	False	False
MORN1	ENSG00000116151	MORN1	False	False
RER1	ENSG00000157916	RER1	False	False
PEX10	ENSG00000157911	PEX10	False	False
PLCH2	ENSG00000149527	PLCH2	False	False
AL139246.1	ENSG00000224387	AL139246.1	False	False
AL139246.4	ENSG00000229393	AL139246.4	False	False
PANK4	ENSG00000157881	PANK4	False	False
HES5	ENSG00000197921	HES5	False	False
AL139246.5	ENSG00000272449	AL139246.5	False	False
TNFRSF14-AS1	ENSG00000238164	TNFRSF14-AS1	False	False
TNFRSF14	ENSG00000157873	TNFRSF14	False	False
AL139246.3	ENSG00000228037	AL139246.3	False	False
FAM213B	ENSG00000157870	FAM213B	False	False
MMEL1	ENSG00000142606	MMEL1	False	False
AL831784.1	ENSG00000237058	AL831784.1	False	False
TTC34	ENSG00000215912	TTC34	False	False
AC242022.1	ENSG00000283259	AC242022.1	False	False
AL592464.2	ENSG00000233234	AL592464.2	False	False
AL592464.1	ENSG00000231630	AL592464.1	False	False
AL589702.1	ENSG00000284745	AL589702.1	False	False
ACTRT2	ENSG00000169717	ACTRT2	False	False
LINC00982	ENSG00000177133	LINC00982	False	False
PRDM16	ENSG00000142611	PRDM16	False	False
AL008733.1	ENSG00000226286	AL008733.1	False	False
AL590438.1	ENSG00000272235	AL590438.1	False	False
ARHGEF16	ENSG00000130762	ARHGEF16	False	False
AL512413.1	ENSG00000272088	AL512413.1	False	False
MEGF6	ENSG00000162591	MEGF6	False	False
AL513320.1	ENSG00000238260	AL513320.1	False	False
TPRG1L	ENSG00000158109	TPRG1L	False	False
WRAP73	ENSG00000116213	WRAP73	False	False
TP73	ENSG00000078900	TP73	False	False
AL136528.1	ENSG00000227589	AL136528.1	False	False
AL136528.2	ENSG00000235131	AL136528.2	False	False
CCDC27	ENSG00000162592	CCDC27	False	False
SMIM1	ENSG00000235169	SMIM1	False	False
LRRC47	ENSG00000130764	LRRC47	False	False
AL365330.1	ENSG00000272153	AL365330.1	False	False
CEP104	ENSG00000116198	CEP104	False	False
DFFB	ENSG00000169598	DFFB	False	False
C1orf174	ENSG00000198912	C1orf174	False	False
LINC01134	ENSG00000236423	LINC01134	False	False
LINC01346	ENSG00000233304	LINC01346	False	False
LINC01345	ENSG00000226374	LINC01345	False	False
AL805961.1	ENSG00000284668	AL805961.1	False	False
AL805961.2	ENSG00000284703	AL805961.2	False	False
LINC01777	ENSG00000235054	LINC01777	False	False
AL355602.1	ENSG00000284694	AL355602.1	False	False
Z98747.1	ENSG00000227169	Z98747.1	False	False
LINC01646	ENSG00000232596	LINC01646	False	False
AJAP1	ENSG00000196581	AJAP1	False	False
BX005132.2	ENSG00000284739	BX005132.2	False	False
BX005132.1	ENSG00000284674	BX005132.1	False	False
AL691497.1	ENSG00000231510	AL691497.1	False	False
AL139823.1	ENSG00000284616	AL139823.1	False	False
Z98259.3	ENSG00000284692	Z98259.3	False	False
Z98259.2	ENSG00000284666	Z98259.2	False	False
Z98259.1	ENSG00000260972	Z98259.1	False	False
AL365255.1	ENSG00000236948	AL365255.1	False	False
NPHP4	ENSG00000131697	NPHP4	False	False
KCNAB2	ENSG00000069424	KCNAB2	False	False
CHD5	ENSG00000116254	CHD5	False	False
RPL22	ENSG00000116251	RPL22	False	False
AL031847.1	ENSG00000226944	AL031847.1	False	False
RNF207	ENSG00000158286	RNF207	False	False
ICMT	ENSG00000116237	ICMT	False	False
LINC00337	ENSG00000225077	LINC00337	False	False
HES3	ENSG00000173673	HES3	False	False
GPR153	ENSG00000158292	GPR153	False	False
ACOT7	ENSG00000097021	ACOT7	False	False
AL031848.2	ENSG00000271746	AL031848.2	False	False
HES2	ENSG00000069812	HES2	False	False
ESPN	ENSG00000187017	ESPN	False	False
AL031848.1	ENSG00000231868	AL031848.1	False	False
TNFRSF25	ENSG00000215788	TNFRSF25	False	False
PLEKHG5	ENSG00000171680	PLEKHG5	False	False
NOL9	ENSG00000162408	NOL9	False	False
TAS1R1	ENSG00000173662	TAS1R1	False	False
