Sample name	n_cells	n_regions	n_age_groups	n_10X	n_batch	n_fraction	regions	age_groups	tenX_values
A26 (386C)	4397	1	1	1	3	1	LargeInt	Adult	5'
A30 (398B)	2276	1	1	1	4	2	LargeInt	Adult	3'
A32 (411C)	6132	2	1	1	10	2	LargeInt;SmallInt	Adult	5'
A33 (414C)	16947	2	1	1	8	2	LargeInt;SmallInt	Adult	3'
A34 (417C)	15521	2	1	1	19	2	LargeInt;SmallInt	Adult	5'
A38 (432C)	5155	2	1	1	10	3	LargeInt;SmallInt	Adult	5'
A39 (440C)	4876	2	1	1	8	1	LargeInt;SmallInt	Adult	5'
BRC2026	703	2	1	1	3	1	LargeInt;SmallInt	First trim	3'
BRC2029	141	2	1	1	3	1	LargeInt;SmallInt	First trim	3'
BRC2043	5561	2	1	1	3	1	LargeInt;SmallInt	First trim	3'
BRC2046	1725	2	1	1	3	1	LargeInt;SmallInt	First trim	3'
BRC2049	1232	2	1	1	3	1	LargeInt;SmallInt	First trim	3'
BRC2119	3165	2	1	1	3	1	LargeInt;SmallInt	First trim	3'
BRC2121	6232	2	1	1	3	1	LargeInt;SmallInt	First trim	3'
BRC2133	5559	2	1	1	5	2	LargeInt;SmallInt	First trim	3'
BRC2134	3251	2	1	1	3	1	LargeInt;SmallInt	First trim	3'
BRC2258	3529	2	1	1	4	1	LargeInt;SmallInt	First trim	5'
BRC2259	582	1	1	1	1	1	SmallInt	First trim	5'
F66	2845	2	1	1	4	1	LargeInt;SmallInt	Second trim	3'
F67	595	2	1	1	3	1	LargeInt;SmallInt	Second trim	3'
F72	9088	2	1	1	4	1	LargeInt;SmallInt	Second trim	5'
F73	5846	2	1	1	4	1	LargeInt;SmallInt	Second trim	5'
F78	2121	2	1	1	4	1	LargeInt;SmallInt	Second trim	5'
T017	295	1	1	1	1	1	SmallInt	Pediatric_IBD	3'
T019	171	1	1	1	1	1	SmallInt	Pediatric_IBD	3'
T024	978	1	1	1	1	1	SmallInt	Pediatric	3'
T036	449	1	1	1	1	1	SmallInt	Pediatric	3'
T036POS	1602	1	1	1	1	1	SmallInt	Pediatric	3'
T036NEG	16	1	1	1	1	1	SmallInt	Pediatric	3'
T044	943	1	1	1	1	1	SmallInt	Pediatric	3'
T057	1099	1	1	1	1	1	SmallInt	Pediatric	3'
T110NEG	2	1	1	1	1	1	SmallInt	Pediatric	3'
T110POS	1875	1	1	1	1	1	SmallInt	Pediatric	3'
T160	271	1	1	1	1	1	SmallInt	Pediatric	3'
T161	182	1	1	1	1	1	SmallInt	Pediatric	3'
T176	286	1	1	1	1	1	SmallInt	Pediatric_IBD	3'
T182	740	1	1	1	1	1	SmallInt	Pediatric	3'
T189	249	1	1	1	1	1	SmallInt	Pediatric_IBD	3'
T197	1942	1	1	1	1	1	SmallInt	Pediatric_IBD	3'
T202	717	1	1	1	1	1	SmallInt	Pediatric_IBD	3'
T203	738	1	1	1	1	1	SmallInt	Pediatric_IBD	3'
