Sample name	Age_group	Region	Region code	10X	batch	Fraction	n_cells	total_counts
A26 (386C)	Adult	LargeInt	CAE	5'	Human_colon_16S8117829	SC	592	6.4514595e+06
A26 (386C)	Adult	LargeInt	SCL	5'	Human_colon_16S8117831	SC	2213	2.3037674e+07
A26 (386C)	Adult	LargeInt	TCL	5'	Human_colon_16S8117830	SC	1592	1.5819556e+07
A30 (398B)	Adult	LargeInt	SCL	3'	WTDAtest7770716	SC-45P	556	6.1401565e+06
A30 (398B)	Adult	LargeInt	SCL	3'	WTDAtest7770717	SC-45N	701	6.0773895e+06
A30 (398B)	Adult	LargeInt	SCL	3'	WTDAtest7770718	SC-45P	28	347407.9
A30 (398B)	Adult	LargeInt	SCL	3'	WTDAtest7770719	SC-45N	991	8.841954e+06
A32 (411C)	Adult	LargeInt	CAE	5'	Human_colon_16S8123910	SC-45N	114	2.2735185e+06
A32 (411C)	Adult	LargeInt	CAE	5'	Human_colon_16S8159193	SC-45P	26	393674.47
A32 (411C)	Adult	LargeInt	SCL	5'	Human_colon_16S8000511	SC-45N	293	4.586615e+06
A32 (411C)	Adult	LargeInt	SCL	5'	Human_colon_16S8001903	SC-45P	839	1.7985348e+07
A32 (411C)	Adult	LargeInt	TCL	5'	Human_colon_16S8123908	SC-45N	110	715694.7
A32 (411C)	Adult	LargeInt	TCL	5'	Human_colon_16S8159191	SC-45P	28	289387.06
A32 (411C)	Adult	SmallInt	ILE	5'	Human_colon_16S8000513	SC-45N	4468	4.3099956e+07
A32 (411C)	Adult	SmallInt	ILE	5'	Human_colon_16S8000515	SC-45N	134	3.803595e+06
A32 (411C)	Adult	SmallInt	ILE	5'	Human_colon_16S8001905	SC-45P	81	2.0219048e+06
A32 (411C)	Adult	SmallInt	ILE	5'	Human_colon_16S8001907	SC-45P	39	1.2651922e+06
A33 (414C)	Adult	LargeInt	ACL	3'	WTDAtest7844024	SC-45P	1763	7.2205045e+06
A33 (414C)	Adult	LargeInt	CAE	3'	WTDAtest7844017	SC-45P	4381	2.4241948e+06
A33 (414C)	Adult	LargeInt	CAE	3'	WTDAtest7844018	SC-45N	9218	9.501838e+06
A33 (414C)	Adult	LargeInt	SCL	3'	WTDAtest7844029	SC-45N	1312	5.2709005e+06
A33 (414C)	Adult	LargeInt	TCL	3'	WTDAtest7844026	SC-45P	28	39191.234
A33 (414C)	Adult	LargeInt	TCL	3'	WTDAtest7844027	SC-45N	126	121071.76
A33 (414C)	Adult	SmallInt	ILE1	3'	WTDAtest7844019	SC-45P	93	190848.02
A33 (414C)	Adult	SmallInt	JEJ	3'	WTDAtest7844022	SC-45P	26	28120.895
A34 (417C)	Adult	LargeInt	ACL	5'	Human_colon_16S8000473	SC-45N	118	1.7125791e+06
A34 (417C)	Adult	LargeInt	ACL	5'	Human_colon_16S8001865	SC-45P	2533	1.0105931e+07
A34 (417C)	Adult	LargeInt	CAE	5'	Human_colon_16S8000471	SC-45N	518	4.0689912e+06
A34 (417C)	Adult	LargeInt	CAE	5'	Human_colon_16S8001863	SC-45P	1261	3.7799618e+06
A34 (417C)	Adult	LargeInt	DCL	5'	Human_colon_16S8000477	SC-45N	278	2.3109808e+06
A34 (417C)	Adult	LargeInt	DCL	5'	Human_colon_16S8001869	SC-45P	692	3.8101588e+06
A34 (417C)	Adult	LargeInt	SCL	5'	Human_colon_16S8000479	SC-45N	134	2.129598e+06
A34 (417C)	Adult	LargeInt	SCL	5'	Human_colon_16S8001871	SC-45P	271	3.2911312e+06
A34 (417C)	Adult	LargeInt	TCL	5'	Human_colon_16S8000475	SC-45N	331	4.3091855e+06
A34 (417C)	Adult	LargeInt	TCL	5'	Human_colon_16S8001867	SC-45P	961	2.3919008e+06
A34 (417C)	Adult	SmallInt	DUO	5'	Human_colon_16S8000487	SC-45N	271	1.7838715e+06
A34 (417C)	Adult	SmallInt	DUO	5'	Human_colon_16S8001878	SC-45N	517	4.11764e+06
A34 (417C)	Adult	SmallInt	DUO	5'	Human_colon_16S8001879	SC-45P	4618	2.09696e+07
A34 (417C)	Adult	SmallInt	ILE	5'	Human_colon_16S8000491	SC-45N	107	677357.25
A34 (417C)	Adult	SmallInt	ILE	5'	Human_colon_16S8001883	SC-45P	557	4.860743e+06
A34 (417C)	Adult	SmallInt	ILE2	5'	Human_colon_16S8000493	SC-45N	221	2.143234e+06
A34 (417C)	Adult	SmallInt	ILE2	5'	Human_colon_16S8001885	SC-45P	1575	1.254812e+07
A34 (417C)	Adult	SmallInt	JEJ	5'	Human_colon_16S8000489	SC-45N	99	502650.6
A34 (417C)	Adult	SmallInt	JEJ	5'	Human_colon_16S8001881	SC-45P	459	2.0979922e+06
A38 (432C)	Adult	LargeInt	ACL	5'	Human_colon_16S8002626	SC-45P	507	5.1437695e+06
A38 (432C)	Adult	LargeInt	ACL	5'	Human_colon_16S8002627	SC-45N	884	9.918264e+06
A38 (432C)	Adult	LargeInt	CAE	5'	Human_colon_16S8002624	SC	382	5.7877965e+06
A38 (432C)	Adult	LargeInt	DCL	5'	Human_colon_16S8002628	SC	583	6.5956325e+06
A38 (432C)	Adult	LargeInt	SCL	5'	Human_colon_16S8002566	SC	13	22659.53
A38 (432C)	Adult	LargeInt	TCL	5'	Human_colon_16S8002629	SC-45P	609	8.3148485e+06
A38 (432C)	Adult	LargeInt	TCL	5'	Human_colon_16S8002630	SC-45N	905	1.2009385e+07
A38 (432C)	Adult	SmallInt	DUO	5'	Human_colon_16S8002581	SC	263	530101.9
A38 (432C)	Adult	SmallInt	DUO	5'	Human_colon_16S8002582	SC	509	884724.8
A38 (432C)	Adult	SmallInt	JEJ	5'	Human_colon_16S8002623	SC	500	4.46263e+06
A39 (440C)	Adult	LargeInt	ACL	5'	Human_colon_16S8123916	SC	292	2.4376512e+06
A39 (440C)	Adult	LargeInt	CAE	5'	Human_colon_16S8123915	SC	227	389973.7
A39 (440C)	Adult	LargeInt	DCL	5'	Human_colon_16S8123918	SC	167	1.7132489e+06
A39 (440C)	Adult	LargeInt	SCL	5'	Human_colon_16S8123920	SC	190	1.4555355e+06
A39 (440C)	Adult	LargeInt	TCL	5'	Human_colon_16S8123917	SC	1845	8.506154e+06
A39 (440C)	Adult	SmallInt	ILE1	5'	Human_colon_16S8123912	SC	375	3.4424942e+06
A39 (440C)	Adult	SmallInt	ILE2	5'	Human_colon_16S8123913	SC	38	360150.34
A39 (440C)	Adult	SmallInt	JEJ	5'	Human_colon_16S8123911	SC	1742	1.159607e+07
BRC2026	First trim	LargeInt	FLI	3'	4918STDY7317587	SC	69	1.01383494e+06
BRC2026	First trim	SmallInt	FPIL	3'	4918STDY7317585	SC	444	6.7913745e+06
BRC2026	First trim	SmallInt	FTIL	3'	4918STDY7317586	SC	190	2.8003858e+06
BRC2029	First trim	LargeInt	FLI	3'	4918STDY7321515	SC	72	921130.44
BRC2029	First trim	SmallInt	FPIL	3'	4918STDY7321513	SC	39	384275.8
BRC2029	First trim	SmallInt	FTIL	3'	4918STDY7321514	SC	30	387179.38
BRC2043	First trim	LargeInt	FLI	3'	4918STDY7421299	SC-EPCAMP	230	3.874463e+06
BRC2043	First trim	SmallInt	FPIL	3'	4918STDY7421297	SC-EPCAMP	2399	3.223667e+07
BRC2043	First trim	SmallInt	FTIL	3'	4918STDY7421298	SC-EPCAMP	2932	3.2574986e+07
BRC2046	First trim	LargeInt	FLI	3'	4918STDY7426906	SC-EPCAMP	528	3.3641145e+06
BRC2046	First trim	SmallInt	FPIL	3'	4918STDY7426904	SC-EPCAMP	655	8.693215e+06
BRC2046	First trim	SmallInt	FTIL	3'	4918STDY7426905	SC-EPCAMP	542	4.293025e+06
BRC2049	First trim	LargeInt	FLI	3'	4918STDY7426909	SC-EPCAMP	222	1.428861e+06
BRC2049	First trim	SmallInt	FPIL	3'	4918STDY7426907	SC-EPCAMP	449	6.0809325e+06
BRC2049	First trim	SmallInt	FTIL	3'	4918STDY7426908	SC-EPCAMP	561	6.887979e+06
BRC2119	First trim	LargeInt	FLI	3'	4918STDY7693762	SC-EPCAMP	530	4.543168e+06
BRC2119	First trim	SmallInt	FPIL	3'	4918STDY7693760	SC-EPCAMP	1593	3.1787668e+07
BRC2119	First trim	SmallInt	FTIL	3'	4918STDY7693761	SC-EPCAMP	1042	1.2259386e+07
BRC2121	First trim	LargeInt	FLI	3'	4918STDY7693759	SC-EPCAMP	1520	1.1916416e+07
BRC2121	First trim	SmallInt	FPIL	3'	4918STDY7693757	SC-EPCAMP	2077	1.7482828e+07
BRC2121	First trim	SmallInt	FTIL	3'	4918STDY7693758	SC-EPCAMP	2635	3.302324e+07
BRC2133	First trim	LargeInt	FLI	3'	4918STDY7717785	SC-EPCAMP	889	1.5376357e+07
BRC2133	First trim	SmallInt	FPIL	3'	4918STDY7717783	SC-EPCAMP	3286	4.2161956e+07
BRC2133	First trim	SmallInt	FPIL	3'	4918STDY7717787	SC-EPCAMN	3	4144.704
BRC2133	First trim	SmallInt	FTIL	3'	4918STDY7717784	SC-EPCAMP	1367	1.3228785e+07
BRC2133	First trim	SmallInt	FTIL	3'	4918STDY7717788	SC-EPCAMN	14	203049.38
BRC2134	First trim	LargeInt	FLI	3'	4918STDY7718977	SC-EPCAMP	445	5.5010245e+06
BRC2134	First trim	SmallInt	FPIL	3'	4918STDY7718975	SC-EPCAMP	1340	3.046422e+07
BRC2134	First trim	SmallInt	FTIL	3'	4918STDY7718976	SC-EPCAMP	1466	2.7993896e+07
BRC2258	First trim	LargeInt	FLI	5'	FCA_gut9456322	SC	413	8.592583e+06
BRC2258	First trim	SmallInt	FMIL	5'	FCA_gut9456316	SC	1104	1.961163e+07
BRC2258	First trim	SmallInt	FPIL	5'	FCA_gut9456313	SC	853	1.6838256e+07
BRC2258	First trim	SmallInt	FTIL	5'	FCA_gut9456319	SC	1159	2.1700286e+07
BRC2259	First trim	SmallInt	FPIL	5'	FCA_gut9456326	SC	582	8.0099445e+06
F66	Second trim	LargeInt	FLI	3'	Human_colon_16S7985392	SC	582	7.1066025e+06
F66	Second trim	SmallInt	FMIL	3'	Human_colon_16S7985390	SC	796	1.1889626e+07
F66	Second trim	SmallInt	FPIL	3'	Human_colon_16S7985391	SC	553	1.1746701e+07
F66	Second trim	SmallInt	FTIL	3'	Human_colon_16S7985389	SC	914	1.3109873e+07
F67	Second trim	LargeInt	FLI	3'	Human_colon_16S7985395	SC	192	4.2323675e+06
F67	Second trim	SmallInt	FMIL	3'	Human_colon_16S7985394	SC	208	3.408457e+06
F67	Second trim	SmallInt	FPIL	3'	Human_colon_16S7985393	SC	195	4.0353722e+06
F72	Second trim	LargeInt	FLI	5'	Human_colon_16S8159185	SC	181	3.1036398e+06
F72	Second trim	SmallInt	FMIL	5'	Human_colon_16S8159183	SC	2502	3.400788e+07
F72	Second trim	SmallInt	FPIL	5'	Human_colon_16S8159182	SC	3269	2.8517128e+07
F72	Second trim	SmallInt	FTIL	5'	Human_colon_16S8159184	SC	3136	2.5928094e+07
F73	Second trim	LargeInt	FLI	5'	Human_colon_16S8159190	SC	1930	2.5078438e+07
F73	Second trim	SmallInt	FMIL	5'	Human_colon_16S8159188	SC	1539	1.9043028e+07
F73	Second trim	SmallInt	FPIL	5'	Human_colon_16S8159187	SC	1523	2.2897696e+07
F73	Second trim	SmallInt	FTIL	5'	Human_colon_16S8159189	SC	854	1.1417477e+07
