	A26 (386C)	A30 (398B)	A32 (411C)	A33 (414C)	A34 (417C)	A38 (432C)	A39 (440C)	F66	F67	F72	F73	F78
MIR1302-2HG	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FAM138A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR4F5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL627309.1	7.0	7.0	2.0	4.0	3.0	8.0	3.0	4.0	2.0	0.0	2.0	1.0
AL627309.3	0.0	0.0	2.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0
AL627309.2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL627309.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL732372.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR4F29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC114498.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR4F16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL669831.2	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
AL669831.5	163.0	64.0	111.0	235.0	177.0	173.0	22.0	27.0	16.0	13.0	28.0	19.0
FAM87B	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
LINC00115	212.0	79.0	108.0	149.0	166.0	163.0	55.0	41.0	32.0	26.0	188.0	73.0
FAM41C	26.0	38.0	9.0	52.0	10.0	23.0	2.0	19.0	11.0	1.0	8.0	2.0
AL645608.7	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL645608.3	2.0	0.0	1.0	5.0	1.0	0.0	0.0	3.0	1.0	0.0	1.0	0.0
AL645608.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL645608.1	2.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	2.0	1.0
SAMD11	14.0	2.0	1.0	57.0	3.0	2.0	13.0	16.0	0.0	3.0	78.0	0.0
NOC2L	723.0	578.0	1042.0	1660.0	1737.0	1310.0	232.0	205.0	144.0	92.0	772.0	248.0
KLHL17	84.0	22.0	48.0	65.0	103.0	62.0	23.0	3.0	2.0	1.0	15.0	4.0
PLEKHN1	26.0	5.0	8.0	12.0	30.0	11.0	8.0	8.0	0.0	0.0	2.0	0.0
PERM1	4.0	0.0	0.0	6.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
AL645608.8	175.0	46.0	30.0	26.0	115.0	58.0	20.0	10.0	0.0	2.0	9.0	2.0
HES4	2921.0	866.0	652.0	2214.0	1467.0	1062.0	1179.0	6.0	1.0	169.0	616.0	41.0
ISG15	4133.0	1227.0	78.0	1293.0	601.0	1023.0	2098.0	101.0	35.0	28.0	285.0	69.0
