	A32 (411C)	A33 (414C)	A34 (417C)	A38 (432C)	A39 (440C)	F66	F67	F72	F73	F78
MIR1302-2HG	4.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
FAM138A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR4F5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL627309.1	2.0	0.0	6.0	2.0	3.0	3.0	0.0	7.0	1.0	2.0
AL627309.3	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
AL627309.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL627309.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL732372.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR4F29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC114498.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR4F16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL669831.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL669831.5	188.0	1.0	142.0	20.0	73.0	90.0	18.0	108.0	70.0	48.0
FAM87B	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
LINC00115	190.0	0.0	142.0	21.0	61.0	215.0	64.0	740.0	312.0	154.0
FAM41C	2.0	0.0	22.0	4.0	1.0	129.0	10.0	19.0	23.0	1.0
AL645608.7	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0
AL645608.3	0.0	0.0	0.0	0.0	0.0	19.0	1.0	8.0	4.0	5.0
AL645608.5	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
AL645608.1	1.0	0.0	1.0	0.0	1.0	4.0	1.0	6.0	10.0	7.0
SAMD11	4.0	0.0	1.0	0.0	6.0	118.0	7.0	52.0	92.0	33.0
NOC2L	1313.0	6.0	1375.0	103.0	262.0	1557.0	235.0	2936.0	1704.0	844.0
KLHL17	51.0	0.0	135.0	6.0	29.0	15.0	1.0	76.0	29.0	7.0
PLEKHN1	14.0	0.0	29.0	0.0	6.0	9.0	0.0	32.0	6.0	3.0
PERM1	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
AL645608.8	15.0	0.0	32.0	1.0	29.0	4.0	0.0	18.0	1.0	2.0
HES4	312.0	3.0	1256.0	100.0	193.0	12.0	4.0	1301.0	366.0	65.0
ISG15	413.0	8.0	1020.0	169.0	1278.0	1324.0	159.0	2361.0	1190.0	233.0
AL645608.2	1.0	0.0	1.0	0.0	3.0	3.0	0.0	6.0	1.0	5.0
AGRN	439.0	0.0	575.0	34.0	211.0	863.0	155.0	2546.0	1016.0	667.0
AL645608.9	2.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0
RNF223	25.0	0.0	18.0	1.0	139.0	17.0	0.0	166.0	9.0	29.0
C1orf159	174.0	0.0	270.0	27.0	65.0	152.0	27.0	314.0	214.0	94.0
LINC01342	15.0	0.0	22.0	0.0	4.0	4.0	2.0	10.0	1.0	1.0
AL390719.2	337.0	5.0	974.0	59.0	68.0	97.0	29.0	229.0	97.0	126.0
TTLL10-AS1	2.0	0.0	0.0	0.0	2.0	1.0	0.0	2.0	1.0	0.0
TTLL10	86.0	0.0	13.0	0.0	25.0	24.0	1.0	37.0	5.0	9.0
TNFRSF18	5.0	0.0	16.0	0.0	4.0	2.0	0.0	0.0	5.0	1.0
TNFRSF4	14.0	2.0	6.0	0.0	0.0	15.0	8.0	9.0	6.0	1.0
SDF4	4470.0	35.0	5527.0	647.0	2030.0	927.0	124.0	10966.0	6126.0	2922.0
B3GALT6	225.0	2.0	311.0	13.0	20.0	138.0	19.0	894.0	533.0	80.0
C1QTNF12	315.0	2.0	1050.0	221.0	883.0	2388.0	359.0	5631.0	2800.0	1045.0
AL162741.1	6.0	0.0	2.0	0.0	2.0	1.0	0.0	11.0	0.0	2.0
UBE2J2	1214.0	6.0	1361.0	163.0	452.0	1035.0	131.0	2583.0	1171.0	627.0
LINC01786	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	2.0
SCNN1D	98.0	0.0	122.0	17.0	130.0	75.0	4.0	208.0	87.0	58.0
ACAP3	628.0	6.0	1076.0	87.0	273.0	281.0	44.0	904.0	616.0	239.0
PUSL1	423.0	2.0	515.0	41.0	91.0	738.0	109.0	1447.0	814.0	238.0
INTS11	1725.0	10.0	2270.0	314.0	785.0	1737.0	215.0	4207.0	2320.0	1124.0
CPTP	631.0	10.0	1055.0	200.0	543.0	564.0	44.0	950.0	508.0	220.0
TAS1R3	4.0	0.0	7.0	1.0	9.0	6.0	1.0	7.0	10.0	7.0
DVL1	553.0	3.0	1763.0	123.0	286.0	275.0	38.0	1373.0	439.0	187.0
MXRA8	17.0	0.0	0.0	1.0	1.0	2796.0	403.0	13941.0	6387.0	1991.0
AURKAIP1	7004.0	27.0	8867.0	925.0	2771.0	8478.0	1223.0	15374.0	10813.0	2683.0
CCNL2	2355.0	14.0	3583.0	452.0	796.0	1239.0	337.0	3955.0	2005.0	798.0
MRPL20	6619.0	28.0	5461.0	649.0	728.0	5749.0	839.0	10322.0	7357.0	2180.0
AL391244.3	50.0	1.0	44.0	10.0	17.0	26.0	8.0	42.0	12.0	22.0
ANKRD65	1.0	0.0	0.0	0.0	1.0	25.0	3.0	38.0	33.0	5.0
