sample	Age_group	tenX	batch	n_cells	donor	source_family
A32 (411C)	Adult	5'	Human_colon_16S8000513	4722	A32 (411C)	Human_colon_16S
A33 (414C)	Adult	3'	WTDAtest7844019	119	A33 (414C)	WTDAtest
A34 (417C)	Adult	5'	Human_colon_16S8001879	8424	A34 (417C)	Human_colon_16S
A38 (432C)	Adult	5'	Human_colon_16S8002582	1272	A38 (432C)	Human_colon_16S
A39 (440C)	Adult	5'	Human_colon_16S8123911	2155	A39 (440C)	Human_colon_16S
F66	Second trim	3'	Human_colon_16S7985389	2263	F66	Human_colon_16S
F67	Second trim	3'	Human_colon_16S7985394	403	F67	Human_colon_16S
F72	Second trim	5'	Human_colon_16S8159182	8907	F72	Human_colon_16S
F73	Second trim	5'	Human_colon_16S8159188	3916	F73	Human_colon_16S
F78	Second trim	5'	FCA_gut8015058	1525	F78	FCA_gut
