dataset	marker	ensembl_id	group	n_cells	mean_log1p_expr	status
HTAN_CRC_progressive_plasticity	EPCAM	ENSG00000119888	secretory cell	5457	2.378051280975342	ok
HTAN_CRC_progressive_plasticity	EPCAM	ENSG00000119888	malignant cell	26551	2.287395715713501	ok
HTAN_CRC_progressive_plasticity	EPCAM	ENSG00000119888	colon goblet cell	1711	3.1727426052093506	ok
HTAN_CRC_progressive_plasticity	EPCAM	ENSG00000119888	tuft cell of colon	828	1.54117751121521	ok
HTAN_CRC_progressive_plasticity	EPCAM	ENSG00000119888	enteroendocrine cell of colon	186	1.4334303140640259	ok
HTAN_CRC_progressive_plasticity	EPCAM	ENSG00000119888	intestinal crypt stem cell of colon	2203	2.5206284523010254	ok
HTAN_CRC_progressive_plasticity	EPCAM	ENSG00000119888	colonocyte	2030	3.0671470165252686	ok
HTAN_CRC_progressive_plasticity	EPCAM	ENSG00000119888	early colonocyte	6778	2.7544105052948	ok
HTAN_CRC_progressive_plasticity	EPCAM	ENSG00000119888	BEST4+ colonocyte	1363	3.428311824798584	ok
HTAN_CRC_progressive_plasticity	KRT8	ENSG00000170421	secretory cell	5457	2.7762105464935303	ok
HTAN_CRC_progressive_plasticity	KRT8	ENSG00000170421	malignant cell	26551	2.425086259841919	ok
HTAN_CRC_progressive_plasticity	KRT8	ENSG00000170421	colon goblet cell	1711	2.9606525897979736	ok
HTAN_CRC_progressive_plasticity	KRT8	ENSG00000170421	tuft cell of colon	828	2.685889482498169	ok
HTAN_CRC_progressive_plasticity	KRT8	ENSG00000170421	enteroendocrine cell of colon	186	2.0835304260253906	ok
HTAN_CRC_progressive_plasticity	KRT8	ENSG00000170421	intestinal crypt stem cell of colon	2203	2.1487038135528564	ok
HTAN_CRC_progressive_plasticity	KRT8	ENSG00000170421	colonocyte	2030	3.302295684814453	ok
HTAN_CRC_progressive_plasticity	KRT8	ENSG00000170421	early colonocyte	6778	2.5676393508911133	ok
HTAN_CRC_progressive_plasticity	KRT8	ENSG00000170421	BEST4+ colonocyte	1363	3.4937264919281006	ok
