dataset	panel	n_panel_genes	n_testable
HTAN_CRC_progressive_plasticity	revCSC_primary27_full	27	27
HTAN_CRC_progressive_plasticity	revCSC_primary27_minus_CLU	26	26
HTAN_CRC_progressive_plasticity	revCSC_primary27_minus_ASS1	26	26
HTAN_CRC_progressive_plasticity	revCSC_primary27_minus_CLU_ASS1	25	25
HTAN_CRC_progressive_plasticity	revCSC_extended28_full	28	27
HTAN_CRC_progressive_plasticity	revCSC_extended28_minus_CLU	27	26
HTAN_CRC_progressive_plasticity	revCSC_extended28_minus_ASS1	27	26
HTAN_CRC_progressive_plasticity	revCSC_extended28_minus_CLU_ASS1	26	25
HTAN_CRC_progressive_plasticity	D_Gut-shared	8	8
HTAN_CRC_progressive_plasticity	F_Gut-specific	2192	2068
HTAN_CRC_progressive_plasticity	F_Colon-specific	1451	1369
HTAN_CRC_progressive_plasticity	F_SI-specific	1452	1375
HTAN_CRC_progressive_plasticity	P_Gut-specific	76	74
CRLM_NMP_ATLAS	revCSC_primary27_full	27	26
CRLM_NMP_ATLAS	revCSC_primary27_minus_CLU	26	25
CRLM_NMP_ATLAS	revCSC_primary27_minus_ASS1	26	25
CRLM_NMP_ATLAS	revCSC_primary27_minus_CLU_ASS1	25	24
CRLM_NMP_ATLAS	revCSC_extended28_full	28	26
CRLM_NMP_ATLAS	revCSC_extended28_minus_CLU	27	25
CRLM_NMP_ATLAS	revCSC_extended28_minus_ASS1	27	25
CRLM_NMP_ATLAS	revCSC_extended28_minus_CLU_ASS1	26	24
CRLM_NMP_ATLAS	D_Gut-shared	8	7
CRLM_NMP_ATLAS	F_Gut-specific	2192	2030
CRLM_NMP_ATLAS	F_Colon-specific	1451	1343
CRLM_NMP_ATLAS	F_SI-specific	1452	1357
CRLM_NMP_ATLAS	P_Gut-specific	76	40
