donor_key	n_cells	pearson_r	spearman_rho	estimable	not_estimable_reason
103	668	0.0018873106455430388	0.057053937971260175	True	
105	1236	0.11792672425508499	0.09534343381113417	True	
11	1391	0.1053246408700943	0.09334584694394815	True	
119	1856	0.012610077857971191	0.010600345428528836	True	
136	788	0.1300617754459381	0.14165110665226122	True	
146	3355	0.0201565008610487	0.020896992312514316	True	
150	2578	0.03656160086393356	0.025309169243035595	True	
151	1147	0.1380845010280609	0.1407768265540657	True	
156	441	0.055156949907541275	0.08750421045338787	True	
181	1170	0.04606708139181137	0.03146461849382987	True	
182	969	0.11323288828134537	0.09994585810619279	True	
183	1225	0.05299580842256546	0.044857886851581034	True	
184	108	-0.0623871311545372	-0.03438991274269527	True	
188	584	0.02049565501511097	-0.004026294524315773	True	
190	128	0.06938131153583527	0.14071186659760387	True	
194	1026	0.07121724635362625	0.028860945887995454	True	
20	64	-0.23751942813396454	-0.24048967179924077	True	
203	13	0.22897809743881226	0.22314134258348303	True	
283	1243	0.06102045625448227	0.06314524501107309	True	
35	1155	0.035422101616859436	0.053604157629999906	True	
39	3			False	n_cells=3 < 10
60	87	0.17489679157733917	0.011463934250123275	True	
66	117	0.22496818006038666	0.16848159347438338	True	
70	439	0.009936424903571606	0.039016222778061355	True	
71	269	0.15998706221580505	0.17006471055104708	True	
74	771	-0.0016932912403717637	0.010342060338100176	True	
75	1976	0.01158931665122509	0.016492538868105325	True	
79	110	0.18049532175064087	0.1393876684456669	True	
82	1634	-0.05065211281180382	-0.04888703340669475	True	
