left_out_donor_key	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	signed_delta_pearson_r_at_this_exclusion
75	24575	0.1179845780134201	0.08149289473170286	0.020263731479644775
146	23196	0.08572903275489807	0.049719541558122006	-0.011991813778877258
183	25326	0.09777495265007019	0.06595949817735679	5.410611629486084e-05
119	24695	0.09773261845111847	0.06555312878946286	1.1771917343139648e-05
74	25780	0.09958143532276154	0.0643425242140421	0.001860588788986206
182	25582	0.10055159777402878	0.0720393367215246	0.0028307512402534485
181	25381	0.10419151186943054	0.07292539824984853	0.006470665335655212
156	26110	0.09726836532354355	0.06475897733690766	-0.000452481210231781
11	25160	0.09479539841413498	0.06297656645268827	-0.0029254481196403503
136	25763	0.10008370876312256	0.06810442864228261	0.002362862229347229
103	25883	0.0962042286992073	0.06343832408418214	-0.0015166178345680237
82	24917	0.044067662209272385	0.02594815353616405	-0.053653184324502945
188	25967	0.09606798738241196	0.06350017450302867	-0.0016528591513633728
105	25315	0.09261175245046616	0.06197063664930262	-0.005109094083309174
79	26441	0.09694179892539978	0.06413434373050422	-0.0007790476083755493
194	25525	0.09476782381534576	0.06442040966362465	-0.0029530227184295654
283	25308	0.09857882559299469	0.06857863020947531	0.0008579790592193604
150	23973	0.13122260570526123	0.08435320811583566	0.0335017591714859
70	26112	0.09961512684822083	0.06627364197655933	0.0018942803144454956
66	26434	0.09844616800546646	0.06598653298674353	0.0007253214716911316
71	26282	0.09889288246631622	0.06588137265311249	0.0011720359325408936
151	25404	0.09471649676561356	0.06372181996128141	-0.0030043497681617737
35	25396	0.10379475355148315	0.06722789575218602	0.006073907017707825
190	26423	0.09807679057121277	0.06517887239934768	0.00035594403743743896
60	26464	0.09677231311798096	0.06380101864796485	-0.0009485334157943726
20	26487	0.09766688942909241	0.0648720206445831	-5.395710468292236e-05
184	26443	0.09833883494138718	0.06530847055786591	0.0006179884076118469
39	26548	0.09794054925441742	0.06528237794683561	0.00021970272064208984
203	26538	0.09754998981952667	0.06485733744747578	-0.00017085671424865723
