donor_key	n_cells	pearson_r	spearman_rho	estimable	not_estimable_reason
103	668	0.08694193512201309	0.11898976851734258	True	
105	1236	0.2046123892068863	0.11912396142140753	True	
11	1391	0.1500549614429474	0.10089280538274775	True	
119	1856	0.07636617124080658	0.0534796286309902	True	
136	788	0.016452010720968246	-0.013792314703171585	True	
146	3355	0.07123522460460663	0.05465761169307804	True	
150	2578	0.041830629110336304	0.038369139145786074	True	
151	1147	0.1955578625202179	0.14423096113911754	True	
156	441	0.03356480970978737	0.034625303235623114	True	
181	1170	0.016610372811555862	0.022550748688279	True	
182	969	0.01797407865524292	-0.07574199024075229	True	
183	1225	0.12388209253549576	0.08571746531201666	True	
184	108	0.11440511792898178	0.26342155553311114	True	
188	584	0.13122420012950897	0.13299599030072878	True	
190	128	-0.024944137781858444	-0.07265183385447488	True	
194	1026	-0.03496721014380455	-0.07136035382804783	True	
20	64	0.09373010694980621	0.08703120942769778	True	
203	13	0.2905147075653076	0.23140583675324164	True	
283	1243	0.00432660011574626	-0.046683539738151904	True	
35	1155	0.007673659827560186	0.015074485937527148	True	
39	3			False	n_cells=3 < 10
60	87	0.36582422256469727	0.3480002353481282	True	
66	117	-0.10509207844734192	-0.12761806105666665	True	
70	439	-0.008761823177337646	-0.01472617230041269	True	
71	269	0.0241645909845829	0.03661463522415855	True	
74	771	0.0072288294322788715	0.022292880058665008	True	
75	1976	-0.10271802544593811	-0.14677492675681103	True	
79	110	0.270447313785553	0.2696451402682552	True	
82	1634	0.014934911392629147	0.009131693927162027	True	
