left_out_donor_key	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	signed_delta_pearson_r_at_this_exclusion
75	24575	-0.08429919928312302	-0.06277611673458981	-0.007607392966747284
146	23196	-0.12285688519477844	-0.12172584423259712	-0.04616507887840271
183	25326	-0.0755084976553917	-0.04151822017987914	0.0011833086609840393
119	24695	-0.07333160191774368	-0.04398411692655305	0.0033602043986320496
74	25780	-0.0854724794626236	-0.054313941579743744	-0.008780673146247864
182	25582	-0.061834756284952164	-0.019920449913304588	0.014857050031423569
181	25381	-0.06292805820703506	-0.030117729060753957	0.013763748109340668
156	26110	-0.07469546794891357	-0.04585038443299318	0.001996338367462158
11	25160	-0.09324920922517776	-0.06648497074453533	-0.016557402908802032
136	25763	-0.07667720317840576	-0.04701899590667444	1.4603137969970703e-05
103	25883	-0.07213935256004333	-0.04311937331238188	0.0045524537563323975
82	24917	-0.06070079654455185	-0.0516842705572662	0.015991009771823883
188	25967	-0.07883332669734955	-0.05052484883716038	-0.002141520380973816
105	25315	-0.08335431665182114	-0.05221147174155413	-0.006662510335445404
79	26441	-0.07754459977149963	-0.050401549223121615	-0.0008527934551239014
194	25525	-0.07994130998849869	-0.04898100744066629	-0.0032495036721229553
283	25308	-0.07398387789726257	-0.041568623804994424	0.002707928419113159
150	23973	-0.04381081089377403	-0.02567269795452142	0.0328809954226017
70	26112	-0.07656284421682358	-0.048613099444559375	0.00012896209955215454
66	26434	-0.07626824826002121	-0.048085825719066895	0.0004235580563545227
71	26282	-0.07739321887493134	-0.05016443579054166	-0.000701412558555603
151	25404	-0.07553587853908539	-0.047444232956691264	0.0011559277772903442
35	25396	-0.07433829456567764	-0.045029155287405837	0.0023535117506980896
190	26423	-0.07722620666027069	-0.05066485500868609	-0.0005344003438949585
60	26464	-0.07762198150157928	-0.05008520880124191	-0.0009301751852035522
20	26487	-0.07760865241289139	-0.04961758062500369	-0.0009168460965156555
184	26443	-0.07567060738801956	-0.046810245637855435	0.0010211989283561707
39	26548	-0.07673608511686325	-0.049148377416388465	-4.427880048751831e-05
203	26538	-0.0766821950674057	-0.04911704369939865	9.611248970031738e-06
