left_out_donor_key	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	signed_delta_pearson_r_at_this_exclusion
75	24575	-0.05427027866244316	-0.030507533823281984	-0.007353488355875015
146	23196	-0.10907948017120361	-0.1068548695037918	-0.06216268986463547
183	25326	-0.045329902321100235	-4.5363143574353835e-05	0.0015868879854679108
119	24695	-0.03468284010887146	-0.0003399298020641128	0.012233950197696686
74	25780	-0.05625772848725319	-0.018390760635753112	-0.009340938180685043
182	25582	-0.045100439339876175	-0.001852842457222669	0.0018163509666919708
181	25381	-0.031887345016002655	0.008773837239657696	0.01502944529056549
156	26110	-0.0475960373878479	-0.01184975724944219	-0.0006792470812797546
11	25160	-0.05795103684067726	-0.021108721073371164	-0.011034246534109116
136	25763	-0.045562855899333954	-0.008659604574539802	0.001353934407234192
103	25883	-0.04435630887746811	-0.008753685753423623	0.0025604814291000366
82	24917	0.008753548376262188	0.0241326500991898	0.055670338682830334
188	25967	-0.0480777882039547	-0.012978878052327282	-0.001160997897386551
105	25315	-0.05142322927713394	-0.013201996914065244	-0.004506438970565796
79	26441	-0.04801441356539726	-0.013355836103286332	-0.0010976232588291168
194	25525	-0.04764964058995247	-0.010287979577258513	-0.0007328502833843231
283	25308	-0.04615411534905434	-0.008878435562515314	0.0007626749575138092
150	23973	-0.04011201858520508	-0.004375440046718966	0.006804771721363068
70	26112	-0.047853633761405945	-0.013091204915585674	-0.0009368434548377991
66	26434	-0.046434905380010605	-0.01125256403380271	0.0004818849265575409
71	26282	-0.04787784442305565	-0.01345916381642071	-0.000961054116487503
151	25404	-0.044518858194351196	-0.010407196688998423	0.0023979321122169495
35	25396	-0.04342350736260414	-0.005148953373640971	0.0034932829439640045
190	26423	-0.04753584414720535	-0.013694223618465541	-0.000619053840637207
60	26464	-0.048351481556892395	-0.014297574189261907	-0.0014346912503242493
20	26487	-0.0475417897105217	-0.012658374449391191	-0.0006249994039535522
184	26443	-0.04599714279174805	-0.010205531965460004	0.0009196475148200989
39	26548	-0.046983301639556885	-0.012376276227494893	-6.651133298873901e-05
203	26538	-0.04704916477203369	-0.012419158924004232	-0.00013237446546554565
