donor_key	n_cells	pearson_r	spearman_rho	estimable	not_estimable_reason
103	668	0.06875830143690109	0.032653515651244365	True	
105	1236	0.045256391167640686	-0.003003578388495038	True	
11	1391	0.08252665400505066	0.1173162874741028	True	
119	1856	-0.11656170338392258	-0.08803211423549054	True	
136	788	-0.10215993970632553	-0.13909817007597522	True	
146	3355	0.06806419789791107	0.12184815962278968	True	
150	2578	-0.00655618729069829	0.008905983350862989	True	
151	1147	-0.11828689277172089	-0.127823252045895	True	
156	441	-0.009218912571668625	-0.07144293368072624	True	
181	1170	0.05088073015213013	0.00816636358597842	True	
182	969	-0.13972477614879608	-0.3891761723218618	True	
183	1225	0.08991575986146927	0.06585150221195568	True	
184	108	-0.10809043794870377	-0.27872274371866684	True	
188	584	0.048859383910894394	0.04218428972482895	True	
190	128	-0.0178169384598732	0.013884855296147408	True	
194	1026	0.029546240344643593	-0.025072531878949835	True	
20	64	0.09788265824317932	0.09328798562584342	True	
203	13	-0.3908081650733948	-0.374140656558896	True	
283	1243	-0.013038210570812225	-0.04712696190737371	True	
35	1155	-0.08358478546142578	-0.15062721321225597	True	
39	3			False	n_cells=3 < 10
60	87	0.3057645857334137	0.28880459341951187	True	
66	117	0.01793329045176506	-0.0564556424516228	True	
70	439	0.09559153765439987	0.075714280349459	True	
71	269	0.017166394740343094	0.048096059113392625	True	
74	771	0.10004409402608871	0.07530661576209803	True	
75	1976	0.12539218366146088	0.19834020129940896	True	
79	110	0.3741854429244995	0.369992996912471	True	
82	1634	-0.14825204014778137	-0.09860747323957877	True	
