left_out_donor_key	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	signed_delta_pearson_r_at_this_exclusion
75	24575	0.07076790183782578	0.07606396419213485	0.005423136055469513
146	23196	0.06011946499347687	0.06538068398778937	-0.0052253007888793945
183	25326	0.0665895938873291	0.07437455059834505	0.0012448281049728394
119	24695	0.06773368269205093	0.07504435219389997	0.0023889169096946716
74	25780	0.06760659068822861	0.0732395740891761	0.002261824905872345
182	25582	0.06195085123181343	0.06722849041488808	-0.0033939145505428314
181	25381	0.07158710062503815	0.07931627672993741	0.006242334842681885
156	26110	0.06593748182058334	0.07187286669722702	0.0005927160382270813
11	25160	0.0632961317896843	0.06983399676391808	-0.0020486339926719666
136	25763	0.06476062536239624	0.07084903866577194	-0.000584140419960022
103	25883	0.06778401881456375	0.07323772183340198	0.002439253032207489
82	24917	0.050102733075618744	0.05654347479266919	-0.015242032706737518
188	25967	0.0661521852016449	0.07301810663224657	0.0008074194192886353
105	25315	0.06229278817772865	0.06943544796353303	-0.0030519776046276093
79	26441	0.06480390578508377	0.0711048854548938	-0.0005408599972724915
194	25525	0.05777392163872719	0.06520475118437358	-0.007570844143629074
283	25308	0.06365517526865005	0.07050203425977973	-0.0016895905137062073
150	23973	0.08400070667266846	0.08774551687781178	0.018655940890312195
70	26112	0.06573034822940826	0.0710996874802457	0.00038558244705200195
66	26434	0.06496908515691757	0.0711307570415875	-0.0003756806254386902
71	26282	0.0643773078918457	0.07022182959855283	-0.0009674578905105591
151	25404	0.06232441961765289	0.0679869323074938	-0.003020346164703369
35	25396	0.06726784259080887	0.07233574334969796	0.0019230768084526062
190	26423	0.06517045944929123	0.07092111290079728	-0.00017430633306503296
60	26464	0.06488017737865448	0.07127981080950313	-0.0004645884037017822
20	26487	0.06604590266942978	0.07217201355168097	0.0007011368870735168
184	26443	0.06590210646390915	0.07235653416498068	0.000557340681552887
39	26548	0.06535685807466507	0.0715770022147752	1.2092292308807373e-05
203	26538	0.06535247713327408	0.07152154760516526	7.711350917816162e-06
