donor_key	n_cells	pearson_r	spearman_rho	estimable	not_estimable_reason
103	668	0.0061905402690172195	0.06666050203718082	True	
105	1236	0.1201423704624176	0.1096747209552728	True	
11	1391	0.10798975825309753	0.10268049016111558	True	
119	1856	0.014029815793037415	0.012338356017214372	True	
136	788	0.13065585494041443	0.13685664285167046	True	
146	3355	0.01967955008149147	0.02119092710153053	True	
150	2578	0.03515056148171425	0.024314074972358605	True	
151	1147	0.13688941299915314	0.1412771289344419	True	
156	441	0.05507345125079155	0.09481456294164008	True	
181	1170	0.04346783831715584	0.024046427208059006	True	
182	969	0.11507359892129898	0.08862721263892724	True	
183	1225	0.05418675020337105	0.048659803224114985	True	
184	108	-0.05914546176791191	-0.06611425977457387	True	
188	584	0.021867549046874046	0.002727113611186423	True	
190	128	0.06518301367759705	0.1347921678715806	True	
194	1026	0.08034148067235947	0.03598546692848688	True	
20	64	-0.24210762977600098	-0.22038598086843647	True	
203	13	0.2271673083305359	0.2967032967032967	True	
283	1243	0.061978090554475784	0.06401642546609185	True	
35	1155	0.032943036407232285	0.05012569268833051	True	
39	3			False	n_cells=3 < 10
60	87	0.1787884682416916	0.012513230544359866	True	
66	117	0.2246396392583847	0.19222525130214782	True	
70	439	0.010561991482973099	0.04743403624069262	True	
71	269	0.15910252928733826	0.18559152996458647	True	
74	771	-0.006968288216739893	0.0036301772813239217	True	
75	1976	0.011533312499523163	0.015705340371517676	True	
79	110	0.16156265139579773	0.13017955577138082	True	
82	1634	-0.04977947100996971	-0.048837133805045396	True	
