donor_key	n_cells	pearson_r	spearman_rho	estimable	not_estimable_reason
103	668	0.0842834934592247	0.12160259162985376	True	
105	1236	0.20891200006008148	0.144112055967611	True	
11	1391	0.15856106579303741	0.11542222703147369	True	
119	1856	0.07959021627902985	0.05692931373415806	True	
136	788	0.026455748826265335	-0.009127400164528654	True	
146	3355	0.07322628051042557	0.06176602752106797	True	
150	2578	0.043021202087402344	0.038297992944361425	True	
151	1147	0.19454297423362732	0.14597675025443516	True	
156	441	0.03301658108830452	0.035854672206042514	True	
181	1170	0.017618615180253983	0.034554342320879235	True	
182	969	0.024520153179764748	-0.07374179390605261	True	
183	1225	0.12706594169139862	0.08994364316131978	True	
184	108	0.12536635994911194	0.2828171879586714	True	
188	584	0.13459688425064087	0.1406346342356989	True	
190	128	-0.03386348858475685	-0.08866009994286382	True	
194	1026	-0.025441786274313927	-0.06334085546617431	True	
20	64	0.06810329109430313	0.07671164571923285	True	
203	13	0.2805004417896271	0.25274725274725274	True	
283	1243	0.013479464687407017	-0.038758803704920276	True	
35	1155	0.011742284521460533	0.020931398668074908	True	
39	3			False	n_cells=3 < 10
60	87	0.36807727813720703	0.32475104650687703	True	
66	117	-0.11117833107709885	-0.12828455021187013	True	
70	439	-0.01050350721925497	-0.024435260931396686	True	
71	269	0.02564534731209278	0.053838644379288925	True	
74	771	0.012427187524735928	0.025601724593506858	True	
75	1976	-0.09783314913511276	-0.14775863841029485	True	
79	110	0.26759177446365356	0.2687586651958374	True	
82	1634	0.01490716077387333	0.008844229450643821	True	
