left_out_donor_key	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	signed_delta_pearson_r_at_this_exclusion
75	24575	0.009760350920259953	-0.01421018816687583	-0.0025809453800320625
146	23196	-0.02227083593606949	-0.06432793634458313	-0.034612132236361504
183	25326	0.019051361829042435	0.007491262834759986	0.00671006552875042
119	24695	0.01792924664914608	0.0013531685164959353	0.005587950348854065
74	25780	0.00891523901373148	-0.008397556969009397	-0.0034260572865605354
182	25582	0.03096231445670128	0.024452223005502045	0.018621018156409264
181	25381	0.029069237411022186	0.01472105358093691	0.01672794111073017
156	26110	0.017357708886265755	0.0016027661674036797	0.00501641258597374
11	25160	-0.0014201542362570763	-0.01669485549131872	-0.013761450536549091
136	25763	0.013153743930161	-0.003264596750150374	0.0008124476298689842
103	25883	0.018436254933476448	0.0011742453472033145	0.006094958633184433
82	24917	-0.05807545781135559	-0.0538756037957713	-0.0704167541116476
188	25967	0.010625941678881645	-0.007206800360825944	-0.0017153546214103699
105	25315	0.010506035760045052	-0.00453360703842865	-0.0018352605402469635
79	26441	0.011718099005520344	-0.006255906627586616	-0.0006231972947716713
194	25525	0.00914190523326397	-0.006211963147778091	-0.0031993910670280457
283	25308	0.016886157914996147	0.002691982089760271	0.004544861614704132
150	23973	0.058831796050071716	0.020990187122796013	0.0464904997497797
70	26112	0.013963071629405022	-0.004115722632663458	0.0016217753291130066
66	26434	0.012970942072570324	-0.004094395522367815	0.0006296457722783089
71	26282	0.012505822815001011	-0.005364813642952282	0.00016452651470899582
151	25404	0.01588255539536476	-0.002475326382856929	0.0035412590950727463
35	25396	0.01777816005051136	-0.0009943558564808731	0.005436863750219345
190	26423	0.01249599363654852	-0.006131891306326098	0.00015469733625650406
60	26464	0.011830519884824753	-0.005707568056754273	-0.0005107764154672623
20	26487	0.011641317047178745	-0.005676190393535854	-0.0006999792531132698
184	26443	0.013490172103047371	-0.0030404642865928407	0.0011488758027553558
39	26548	0.012395743280649185	-0.005011824588811852	5.4446980357170105e-05
203	26538	0.012400749139487743	-0.005124793379628893	5.94528391957283e-05
