donor_key	n_cells	pearson_r	spearman_rho	estimable	not_estimable_reason
103	668	0.00223069591447711	-0.024617667709453117	True	
105	1236	-0.006374858785420656	-0.04971674301505139	True	
11	1391	0.13497476279735565	0.14483044364841022	True	
119	1856	-0.053047776222229004	-0.10832176552306169	True	
136	788	0.00951481331139803	-0.027114987879079996	True	
146	3355	0.023595070466399193	0.046880509677409504	True	
150	2578	-0.056761641055345535	-0.04319341336929176	True	
151	1147	-0.0679323822259903	-0.06732125730899083	True	
156	441	-0.04215964302420616	-0.1311596479963156	True	
181	1170	0.05901908129453659	0.04405433552054335	True	
182	969	-0.3104499280452728	-0.4450924260192138	True	
183	1225	-0.036365117877721786	0.006065675437457964	True	
184	108	-0.19165629148483276	-0.33227599381980943	True	
188	584	0.11851595342159271	0.1101306822373117	True	
190	128	-0.09593834728002548	-0.03768502456884106	True	
194	1026	0.043704912066459656	-0.04790330050463525	True	
20	64	0.16863080859184265	0.12498601414332527	True	
203	13	-0.4874374270439148	-0.5881542699724517	True	
283	1243	-0.05516371876001358	-0.13395229213389642	True	
35	1155	-0.11451861262321472	-0.1987197012560879	True	
39	3			False	n_cells=3 < 10
60	87	0.16865187883377075	0.15053159952788076	True	
66	117	-0.06671835482120514	-0.1974638655348104	True	
70	439	-0.05308886244893074	-0.03160526437818781	True	
71	269	-0.042184751480817795	-0.01886004754495803	True	
74	771	0.006941288243979216	0.006562126742414072	True	
75	1976	0.044605597853660583	0.11018418358064237	True	
79	110	0.2999454438686371	0.44743942795013897	True	
82	1634	0.03342936560511589	-0.00014284471187573869	True	
