left_out_donor_key	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	signed_delta_pearson_r_at_this_exclusion
75	24575	-0.07468699663877487	-0.04538416187931161	-0.007455885410308838
146	23196	-0.11214124411344528	-0.10666524700454148	-0.04491013288497925
183	25326	-0.06582237780094147	-0.024555782473588843	0.0014087334275245667
119	24695	-0.0630992129445076	-0.026165784135108706	0.004131898283958435
74	25780	-0.0772213265299797	-0.039267346292726664	-0.009990215301513672
182	25582	-0.052954185754060745	-0.0048236807673927825	0.014276925474405289
181	25381	-0.0529821440577507	-0.013612576430233761	0.014248967170715332
156	26110	-0.06527992337942123	-0.02995517101011191	0.0019511878490447998
11	25160	-0.083770751953125	-0.05021097070413225	-0.016539640724658966
136	25763	-0.06738220155239105	-0.031628944630013756	-0.0001510903239250183
103	25883	-0.06253237277269363	-0.026987373368982007	0.0046987384557724
82	24917	-0.0499795526266098	-0.034084189199384614	0.01725155860185623
188	25967	-0.0693119689822197	-0.03457669043484376	-0.002080857753753662
105	25315	-0.07397270202636719	-0.03628392763582808	-0.0067415907979011536
79	26441	-0.06813296675682068	-0.03441719188830438	-0.0009018555283546448
194	25525	-0.07058607041835785	-0.033206871065167023	-0.003354959189891815
283	25308	-0.06452289968729019	-0.025511947164087313	0.0027082115411758423
150	23973	-0.032986920326948166	-0.007070717544559437	0.03424419090151787
70	26112	-0.06769758462905884	-0.033454084921450675	-0.00046647340059280396
66	26434	-0.06685381382703781	-0.031994719189096986	0.00037729740142822266
71	26282	-0.06793955713510513	-0.03408119537927145	-0.0007084459066390991
151	25404	-0.06613265722990036	-0.030924516864926685	0.0010984539985656738
35	25396	-0.06672445684671402	-0.031498412379902516	0.0005066543817520142
190	26423	-0.06777217984199524	-0.034636671477831775	-0.0005410686135292053
60	26464	-0.06817977130413055	-0.03405808316270669	-0.0009486600756645203
20	26487	-0.0682283490896225	-0.03354297313725089	-0.0009972378611564636
184	26443	-0.06628406792879105	-0.03074958713396537	0.0009470432996749878
39	26548	-0.06727374345064163	-0.03305828386424422	-4.2632222175598145e-05
203	26538	-0.06723109632730484	-0.03304574011447469	1.4901161193847656e-08
