donor_key	n_cells	pearson_r	spearman_rho	estimable	not_estimable_reason
103	668	0.010285989381372929	-0.0020249749419818295	True	
105	1236	0.04746872931718826	0.004919759279650739	True	
11	1391	0.14978639781475067	0.1753460686981295	True	
119	1856	-0.07789258658885956	-0.09472885693601467	True	
136	788	-0.03409901633858681	-0.04916150038784609	True	
146	3355	0.030786870047450066	0.04829459476614743	True	
150	2578	-0.07758458703756332	-0.0505420622557105	True	
151	1147	-0.09160294383764267	-0.09724224282052571	True	
156	441	-0.04266808182001114	-0.09391362675184789	True	
181	1170	0.07057421654462814	0.07937355877258902	True	
182	969	-0.2729837894439697	-0.4867579672060231	True	
183	1225	0.006735355593264103	0.05734921669775857	True	
184	108	-0.146669402718544	-0.3611003002503783	True	
188	584	0.0718001052737236	0.07002850889245432	True	
190	128	-0.10013192892074585	-0.03380991508302622	True	
194	1026	0.034462135285139084	-0.04121736697472175	True	
20	64	0.16445741057395935	0.13155370696047725	True	
203	13	-0.4737200438976288	-0.5364516766837113	True	
283	1243	-0.07515057921409607	-0.14737497631675628	True	
35	1155	-0.11423084884881973	-0.17879435913425826	True	
39	3			False	n_cells=3 < 10
60	87	0.21035805344581604	0.15926358482306882	True	
66	117	-0.05227915197610855	-0.18201722694579114	True	
70	439	-0.034746162593364716	-0.030660556639728383	True	
71	269	-0.016948277130723	0.01927057504514165	True	
74	771	0.06353452801704407	0.0606795756577942	True	
75	1976	0.058659669011831284	0.13895714244833404	True	
79	110	0.30386191606521606	0.4663363732533856	True	
82	1634	-0.15691924095153809	-0.09621289348756983	True	
