left_out_donor_key	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	signed_delta_pearson_r_at_this_exclusion
75	24575	-0.058341603726148605	-0.029313099524355832	-0.0077187977731227875
146	23196	-0.11463340371847153	-0.10929182187360148	-0.06401059776544571
183	25326	-0.049049608409404755	-3.2553859823445005e-05	0.0015731975436210632
119	24695	-0.03919418528676033	0.0014859518840856308	0.011428620666265488
74	25780	-0.05893527343869209	-0.016992390443039265	-0.008312467485666275
182	25582	-0.04864482954144478	-0.0012529829591655037	0.0019779764115810394
181	25381	-0.03580780327320099	0.008593486205377181	0.014815002679824829
156	26110	-0.05128089711070061	-0.01110495722153657	-0.0006580911576747894
11	25160	-0.06149032711982727	-0.02007863581535539	-0.010867521166801453
136	25763	-0.04925314337015152	-0.007975013965417088	0.001369662582874298
103	25883	-0.0481356605887413	-0.00793001666130909	0.0024871453642845154
82	24917	0.003399705281481147	0.025116543764373823	0.054022511234506965
188	25967	-0.05191344767808914	-0.01230147129410711	-0.001290641725063324
105	25315	-0.05500229075551033	-0.012143172776736088	-0.004379484802484512
79	26441	-0.051669273525476456	-0.012504692217186622	-0.0010464675724506378
194	25525	-0.051115572452545166	-0.009189371974823423	-0.0004927664995193481
283	25308	-0.04943738132715225	-0.007596346898747449	0.0011854246258735657
150	23973	-0.04418931528925896	-0.003199812081011534	0.006433490663766861
70	26112	-0.0516548678278923	-0.012797611584061576	-0.0010320618748664856
66	26434	-0.05002027004957199	-0.010334425915900223	0.0006025359034538269
71	26282	-0.05154059827327728	-0.012578920089393295	-0.0009177923202514648
151	25404	-0.048253584653139114	-0.009626030007318223	0.0023692212998867035
35	25396	-0.04531557112932205	-0.0028942410210955295	0.005307234823703766
190	26423	-0.05107226222753525	-0.012737950335712764	-0.00044945627450942993
60	26464	-0.05203348398208618	-0.013389285776939198	-0.0014106780290603638
20	26487	-0.05119697377085686	-0.011797522688606994	-0.0005741678178310394
184	26443	-0.049674004316329956	-0.009492653700213032	0.0009488016366958618
39	26548	-0.050686195492744446	-0.011542376142895605	-6.338953971862793e-05
203	26538	-0.05076077580451965	-0.011610979307263087	-0.00013796985149383545
