dataset	pair	revcsc_panel	dfp_panel	n_cells_total	n_donors	n_donors_estimable	pooled_pearson_r_all_cells	pooled_spearman_rho_all_cells	pooled_not_estimable_reason	signed_delta_pearson_r_at_max_abs_shift_leave_one_donor_out	robust_pearson_sign_stable	robust_spearman_sign_stable	robust_to_no_single_donor_out	robustness_classification_applicable
HTAN_CRC_progressive_plasticity	revCSC_primary27_full__vs__D_Gut-shared	revCSC_primary27_full	D_Gut-shared	26551	29	28	0.06534476578235626	0.0715288915430481		0.018655940890312195	True	True	True	True
HTAN_CRC_progressive_plasticity	revCSC_primary27_full__vs__P_Gut-specific	revCSC_primary27_full	P_Gut-specific	26551	29	28	0.10188175737857819	0.07124526595218118		-0.05404236540198326	True	True	True	True
HTAN_CRC_progressive_plasticity	revCSC_primary27_minus_CLU__vs__F_Colon-specific	revCSC_primary27_minus_CLU	F_Colon-specific	26551	29	28	-0.05062280595302582	-0.011462991797556272		-0.06401059776544571	False	False	False	True
HTAN_CRC_progressive_plasticity	revCSC_primary27_minus_ASS1__vs__F_SI-specific	revCSC_primary27_minus_ASS1	F_SI-specific	26551	29	28	0.012341296300292015	-0.005103161654614071		-0.0704167541116476	False	False	False	True
HTAN_CRC_progressive_plasticity	revCSC_primary27_minus_CLU_ASS1__vs__F_Gut-specific	revCSC_primary27_minus_CLU_ASS1	F_Gut-specific	26551	29	28	-0.06723111122846603	-0.03298750783968922		-0.04491013288497925	True	True	True	True
HTAN_CRC_progressive_plasticity	revCSC_extended28_full__vs__D_Gut-shared	revCSC_extended28_full	D_Gut-shared	26551	29	28	0.06467444449663162	0.06877189281795623		0.018865957856178284	True	True	True	True
HTAN_CRC_progressive_plasticity	revCSC_extended28_full__vs__P_Gut-specific	revCSC_extended28_full	P_Gut-specific	26551	29	28	0.09772084653377533	0.06503623604523594		-0.053653184324502945	True	True	True	True
HTAN_CRC_progressive_plasticity	revCSC_extended28_minus_CLU__vs__F_Colon-specific	revCSC_extended28_minus_CLU	F_Colon-specific	26551	29	28	-0.046916790306568146	-0.012275654701965823		-0.06216268986463547	False	False	False	True
HTAN_CRC_progressive_plasticity	revCSC_extended28_minus_ASS1__vs__F_SI-specific	revCSC_extended28_minus_ASS1	F_SI-specific	26551	29	28	0.010416881181299686	-0.006028472559788224		-0.06855411175638437	False	False	False	True
HTAN_CRC_progressive_plasticity	revCSC_extended28_minus_CLU_ASS1__vs__F_Gut-specific	revCSC_extended28_minus_CLU_ASS1	F_Gut-specific	26551	29	28	-0.07669180631637573	-0.04907518786103859		-0.04616507887840271	True	True	True	True
CRLM_NMP_ATLAS	revCSC_primary27_full__vs__D_Gut-shared	revCSC_primary27_full	D_Gut-shared	4051	6	6	-0.018657822161912918	-0.014603581533469457		0.03294088784605265				False
CRLM_NMP_ATLAS	revCSC_primary27_full__vs__P_Gut-specific	revCSC_primary27_full	P_Gut-specific	4051	6	6	0.12452394515275955	0.1258416567316829		-0.1217101183719933				False
CRLM_NMP_ATLAS	revCSC_primary27_minus_CLU__vs__F_Colon-specific	revCSC_primary27_minus_CLU	F_Colon-specific	4051	6	6	-0.20037461817264557	-0.3101134885326326		0.11667735874652863				False
CRLM_NMP_ATLAS	revCSC_primary27_minus_ASS1__vs__F_SI-specific	revCSC_primary27_minus_ASS1	F_SI-specific	4051	6	6	0.0981498658657074	0.00941977853108235		0.0810968428850174				False
CRLM_NMP_ATLAS	revCSC_primary27_minus_CLU_ASS1__vs__F_Gut-specific	revCSC_primary27_minus_CLU_ASS1	F_Gut-specific	4051	6	6	-0.03356678783893585	-0.1416349383046208		0.07491525262594223				False
CRLM_NMP_ATLAS	revCSC_extended28_full__vs__D_Gut-shared	revCSC_extended28_full	D_Gut-shared	4051	6	6	-0.01826663315296173	-0.015037922947398454		0.029347097501158714				False
CRLM_NMP_ATLAS	revCSC_extended28_full__vs__P_Gut-specific	revCSC_extended28_full	P_Gut-specific	4051	6	6	0.12539121508598328	0.11897786800482857		-0.12262636166997254				False
CRLM_NMP_ATLAS	revCSC_extended28_minus_CLU__vs__F_Colon-specific	revCSC_extended28_minus_CLU	F_Colon-specific	4051	6	6	-0.20935672521591187	-0.31738695879025475		0.12350066006183624				False
CRLM_NMP_ATLAS	revCSC_extended28_minus_ASS1__vs__F_SI-specific	revCSC_extended28_minus_ASS1	F_SI-specific	4051	6	6	0.10509736090898514	0.020810319062553262		0.0806824341416359				False
CRLM_NMP_ATLAS	revCSC_extended28_minus_CLU_ASS1__vs__F_Gut-specific	revCSC_extended28_minus_CLU_ASS1	F_Gut-specific	4051	6	6	-0.059108052402734756	-0.18823825063588967		0.0796635989099741				False
