revcsc_panel	dfp_panel	pearson_r_nperm100	pearson_r_nperm500	abs_delta_pearson_r	spearman_rho_nperm100	spearman_rho_nperm500	exceeds_0.02_threshold
revCSC_primary27_full	D_Gut-shared	-0.0023	-0.0071	0.0047	0.0265	0.0224	False
revCSC_primary27_full	P_Gut-specific	-0.0447	-0.0472	0.0026	-0.0353	-0.04	False
revCSC_primary27_minus_CLU	F_Colon-specific	0.0854	0.0589	0.0265	-0.0062	-0.0233	True
revCSC_primary27_minus_ASS1	F_SI-specific	0.1398	0.1433	0.0035	0.0709	0.0475	False
revCSC_primary27_minus_CLU_ASS1	F_Gut-specific	0.1002	0.1141	0.0139	-0.0083	-0.0021	False
revCSC_extended28_full	D_Gut-shared	0.007	-0.0019	0.0089	0.0311	0.0246	False
revCSC_extended28_full	P_Gut-specific	-0.0455	-0.051	0.0056	-0.0361	-0.0457	False
revCSC_extended28_minus_CLU	F_Colon-specific	0.1097	0.0862	0.0235	0.0263	-0.0034	True
revCSC_extended28_minus_ASS1	F_SI-specific	0.1858	0.1775	0.0083	0.0842	0.0684	False
revCSC_extended28_minus_CLU_ASS1	F_Gut-specific	0.1738	0.1561	0.0177	0.0768	0.0441	False
