left_out_donor_key	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	delta_pearson_r_vs_full
Bian_2018_Science||Bian_2018_Science.CRC03	665345	0.021840756759047508	0.02618072142219347	-5.369633436203003e-05
Bian_2018_Science||Bian_2018_Science.CRC04	665383	0.021891051903367043	0.02622535319252437	-3.4011900424957275e-06
Bian_2018_Science||Bian_2018_Science.CRC06	665404	0.021910006180405617	0.026252511206123732	1.555308699607849e-05
Bian_2018_Science||Bian_2018_Science.CRC09	665377	0.021875673905014992	0.026217202781574057	-1.877918839454651e-05
Bian_2018_Science||Bian_2018_Science.CRC10	665388	0.021886266767978668	0.02622790836189403	-8.186325430870056e-06
Bian_2018_Science||Bian_2018_Science.CRC11	665282	0.021864859387278557	0.026222473152641264	-2.9593706130981445e-05
Bian_2018_Science||Bian_2018_Science.CRC01	665155	0.021877693012356758	0.026211859512617657	-1.676008105278015e-05
Bian_2018_Science||Bian_2018_Science.CRC02	665347	0.021904228255152702	0.02623632981102223	9.775161743164062e-06
Borras_2023_Cell_Discov||Joanito_2022_Nat_Genet.SC040	665472	0.021892448887228966	0.02621895740945855	-2.0042061805725098e-06
Borras_2023_Cell_Discov||Joanito_2022_Nat_Genet.SC044	665472	0.021885329857468605	0.026216982848048444	-9.123235940933228e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC57	665472	0.021894430741667747	0.026221083692573543	-2.2351741790771484e-08
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC71	665472	0.02189473621547222	0.02622126107411196	2.8312206268310547e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC105	665471	0.02189619094133377	0.026223366794443117	1.737847924232483e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC108	665466	0.02188999578356743	0.026212452453998093	-4.45730984210968e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC119	665456	0.021890390664339066	0.02621372474290173	-4.062429070472717e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC125	665471	0.0218955185264349	0.026220922480248703	1.0654330253601074e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC126	665471	0.02189231850206852	0.026218197063331623	-2.1345913410186768e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC136	665467	0.02189469337463379	0.02622113239393115	2.4028122425079346e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC145	665470	0.021893784403800964	0.026221088153833446	-6.686896085739136e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC174	665471	0.021895505487918854	0.026221579293510155	1.0523945093154907e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC179	665472	0.02188974618911743	0.026217679845019964	-4.706904292106628e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC180	665472	0.02189316600561142	0.02621903666291816	-1.2870877981185913e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC197	665472	0.02189413085579872	0.026220220917832427	-3.2223761081695557e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC200	665471	0.021895859390497208	0.02622118584408618	1.4062970876693726e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC216	665471	0.021893978118896484	0.02622117212288935	-4.7497451305389404e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC234	665471	0.021894603967666626	0.02622119213150773	1.5087425708770752e-07
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL07	658662	0.02200431190431118	0.026370482123654435	0.00010985881090164185
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL12	664987	0.021941082552075386	0.026353362636525074	4.662945866584778e-05
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL15	663522	0.02125287428498268	0.025301093556918022	-0.000641578808426857
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL16	663821	0.021536599844694138	0.025594874198424086	-0.0003578532487154007
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL17	665280	0.02188972756266594	0.026219399702067894	-4.725530743598938e-06
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL18	665046	0.021780354902148247	0.026093218499618834	-0.0001140981912612915
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P01	659745	0.022272156551480293	0.026584697928077217	0.000377703458070755
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P02	663924	0.022120771929621696	0.026457062768555688	0.0002263188362121582
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P03	657920	0.022599659860134125	0.026833277966156234	0.0007052067667245865
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P04	663854	0.021923480555415154	0.026203990324492922	2.9027462005615234e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P05	661791	0.02222290076315403	0.026570164864612004	0.0003284476697444916
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P08	660774	0.022160127758979797	0.02638929647546959	0.0002656746655702591
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P09	663418	0.02196545898914337	0.026308215573586348	7.100589573383331e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P12	664819	0.021931393072009087	0.026262243271118375	3.693997859954834e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P14	660497	0.021884432062506676	0.026062795081543473	-1.0021030902862549e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P15	662282	0.02212895080447197	0.026450018693110797	0.00023449771106243134
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P16	664151	0.021889744326472282	0.026221801284425812	-4.708766937255859e-06
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P17	663602	0.021907353773713112	0.026188216157083968	1.2900680303573608e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P18	661037	0.02214210294187069	0.02642574189893499	0.0002476498484611511
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P19	661223	0.02216685377061367	0.02650754708814186	0.0002724006772041321
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P20	664012	0.02200474590063095	0.026333039699005953	0.00011029280722141266
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P21	664103	0.021841280162334442	0.026115499168400075	-5.317293107509613e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P22	663637	0.02200489491224289	0.026358743752526313	0.00011044181883335114
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P23	660783	0.022160552442073822	0.02642830470198789	0.00026609934866428375
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P25	664591	0.021961187943816185	0.026232559197027338	6.673485040664673e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P26	664464	0.021873723715543747	0.026174800883908413	-2.072937786579132e-05
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P1	664667	0.02180478163063526	0.02618369200418983	-8.967146277427673e-05
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P2	664943	0.021948358044028282	0.0263140848475194	5.3904950618743896e-05
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P4	663954	0.021330924704670906	0.02567842722279896	-0.0005635283887386322
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P5	665420	0.02186521328985691	0.026208963085784732	-2.9239803552627563e-05
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P3	664923	0.02184901386499405	0.02625546080615053	-4.54392284154892e-05
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Left_CRC1	664951	0.021771293133497238	0.026110117664678984	-0.0001231599599123001
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Left_CRC2	664559	0.021726904436945915	0.02598160228243595	-0.00016754865646362305
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Left_CRC3	665261	0.021854761987924576	0.026150483461962196	-3.969110548496246e-05
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Right_CRC1	665257	0.021896611899137497	0.026218656592186557	2.158805727958679e-06
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Right_CRC2	665193	0.021922068670392036	0.02625216784691834	2.761557698249817e-05
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Right_CRC3	664442	0.021896880120038986	0.02621986966315162	2.427026629447937e-06
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_272	664722	0.021890364587306976	0.02622652205483952	-4.088506102561951e-06
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_273	664852	0.0218645166605711	0.026151574192476126	-2.993643283843994e-05
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_326	664018	0.022562317550182343	0.02676264748966739	0.0006678644567728043
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_335	664454	0.02144010178744793	0.02590606238936094	-0.0004543513059616089
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_357	664471	0.021566879004240036	0.02593906907615119	-0.00032757408916950226
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_366	664796	0.021856701001524925	0.026142126520696727	-3.775209188461304e-05
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_381	664511	0.02196434885263443	0.02625432728596201	6.989575922489166e-05
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_416	664311	0.021653003990650177	0.02591367564405884	-0.00024144910275936127
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_435	664453	0.02197434939444065	0.026307860345253276	7.989630103111267e-05
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_446	665004	0.021792732179164886	0.026118179869234565	-0.0001017209142446518
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_482	665069	0.021944304928183556	0.02628635071752703	4.9851834774017334e-05
