left_out_study_id	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	delta_pearson_r_vs_full
Bian_2018_Science	664370	0.021789144724607468	0.026225731626224668	-0.00010530836880207062
Borras_2023_Cell_Discov	665419	0.021870994940400124	0.02619007430771824	-2.3458153009414673e-05
Che_2021_Cell_Discov	653953	0.020912356674671173	0.024802032385413834	-0.0009820964187383652
Chen_2024_Cancer_Cell	606640	0.0255153588950634	0.029201877925635816	0.003620905801653862
Giguelay_2022_Theranostics	662015	0.021216288208961487	0.025752496627321982	-0.0006781648844480515
Guo_2022_JCI_Insight	662298	0.021594945341348648	0.025825111904964376	-0.0002995077520608902
HTAPP_HTAN	645762	0.0202972162514925	0.024646075493616956	-0.001597236841917038
Harmon_2023_Nat_Cancer	665375	0.021864065900444984	0.026176575950315646	-3.0387192964553833e-05
Huang_2024_Nat_Cancer	665371	0.021865470334887505	0.026200377887745725	-2.898275852203369e-05
Ji_2024_PLoS_Genet	659680	0.021380357444286346	0.02594264978582633	-0.0005140956491231918
Ji_2024_Cancer_Lett	655204	0.021403346210718155	0.025450818094032178	-0.0004911068826913834
Joanito_2022_Nat_Genet	639622	0.022303489968180656	0.026664724784654373	0.00040903687477111816
Khaliq_2022_Genome_Biol	658332	0.02165912836790085	0.025881086450920923	-0.00023532472550868988
Lee_2020_Nat_Genet	635732	0.020384997129440308	0.023843978349681945	-0.0015094559639692307
Li_2017_Nat_Genet	665419	0.021881775930523872	0.026205943262965995	-1.2677162885665894e-05
Li_2023_Cancer_Cell	629113	0.02159866876900196	0.025643017309990808	-0.0002957843244075775
Liu_2024_Cancer_Res	618972	0.020805297419428825	0.02433922223103882	-0.0010891556739807129
MUI_Innsbruck	649617	0.0211013276129961	0.02557575951294375	-0.0007931254804134369
Pelka_2021_Cell	564904	0.02034873515367508	0.029238678875593224	-0.001545717939734459
Qi_2022_Nat_Commun	658907	0.021492760628461838	0.025706485771804833	-0.0004016924649477005
Qian_2020_Cell_Res	655720	0.021271590143442154	0.025309710045117704	-0.0006228629499673843
Qin_2023_Cell_Rep_Med	587007	0.024282263591885567	0.0272889509590956	0.0023878104984760284
Sathe_2023_Clin_Cancer_Res	658757	0.02289765700697899	0.026955565532990104	0.0010032039135694504
Terekhanova_2023_Nature	643277	0.015301085077226162	0.022395567840142572	-0.006593368016183376
Tian_2023_Nat_Med	585101	0.03175797685980797	0.033918888546554234	0.00986352376639843
Uhlitz_2021_EMBO_Mol_Med	652279	0.022752054035663605	0.027148226901008952	0.0008576009422540665
Chen_2021_Cell	632662	0.023856859654188156	0.02877101802228924	0.001962406560778618
Wang_2021_Adv_Sci	665166	0.021894661709666252	0.026235032097263168	2.086162567138672e-07
Wang_2023_Sci_Adv	642241	0.02137492410838604	0.025245766121123267	-0.0005195289850234985
Wu_2022_Cancer_Discov	665394	0.021884918212890625	0.026198098342912	-9.534880518913269e-06
Wu_2024_Cell	665359	0.02188079245388508	0.02620179636277833	-1.3660639524459839e-05
Yang_2023_Front_Oncol	663594	0.022314049303531647	0.026528772603682558	0.00041959621012210846
Zhang_2018_Nature	665465	0.02189071848988533	0.02621139418103388	-3.734603524208069e-06
Zhang_2020_Cell	664902	0.021637393161654472	0.025898758400180213	-0.0002570599317550659
Zheng_2022_Signal_Transduct_Target_Ther	652454	0.021481448784470558	0.025867347033952815	-0.0004130043089389801
deVries_2023_Nature	665472	0.02189531736075878	0.026222385793549987	8.642673492431641e-07
