study_id	n_donors	n_donors_estimable	equal_donor_weighted_pearson_r	equal_donor_weighted_spearman_rho	n_cells	cell_weighted_pearson_r	cell_weighted_spearman_rho
Bian_2018_Science	8	8	0.041628584258432966	-0.0011278525072784167	1103	0.09141270071268082	0.044402862852098726
Borras_2023_Cell_Discov	18	1	-0.026285575702786446	-0.01166359949661627	54	-0.0049886275082826614	-0.00537890781565413
Che_2021_Cell_Discov	6	6	0.08631724584847689	0.10083345796423883	11520	0.054186660796403885	0.09191814662413798
Chen_2021_Cell	101	94	0.006353901719000746	0.007717651087970839	32811	0.0030401090625673532	0.00217208637211781
Chen_2024_Cancer_Cell	20	20	0.01228508895728737	0.019751229516620082	58833	-0.007366509176790714	0.0032233741229988878
Giguelay_2022_Theranostics	5	5	-0.027806851640343667	-0.0343070774942093	3458	0.022997526451945305	0.003311973937383545
Guo_2022_JCI_Insight	6	6	0.13302379132558903	0.17772716754609408	3175	0.09208603203296661	0.11875354664806655
HTAPP_HTAN	20	20	0.03348525755573064	0.05785417056982957	19711	0.04181024432182312	0.05987861108975867
Harmon_2023_Nat_Cancer	1	1	-0.0972433090209961	0.0639483172081879	98	-0.0972433090209961	0.0639483172081879
Huang_2024_Nat_Cancer	3	2	0.1135813444852829	0.07313259268149483	102	0.15017598867416382	0.15591346811612142
Ji_2024_Cancer_Lett	2	2	0.03225753456354141	0.04547444293968811	10269	0.055439624935388565	0.06731231515296911
Ji_2024_PLoS_Genet	3	3	0.011942939211924871	-0.006216470749115297	5793	0.022863242775201797	-0.010856227051577391
Joanito_2022_Nat_Genet	31	31	0.030020541558417702	0.044991487978716736	25851	0.025832489132881165	0.04512813827710067
Khaliq_2022_Genome_Biol	16	15	0.05099611928065618	0.047847217631429455	7141	0.054193153977394104	0.06699909560894915
Lee_2020_Nat_Genet	34	34	0.035043207887450564	0.03563993591272631	29741	0.04178360477089882	0.06051060492380873
Li_2017_Nat_Genet	10	1	-0.3264075815677643	-0.041971841676210854	54	0.21061991155147552	0.2992124546793937
Li_2023_Cancer_Cell	19	19	-0.016708068270848964	-0.016278043838003672	36360	0.018272865563631058	0.023839308193184493
Liu_2024_Cancer_Res	16	16	0.03977983968798071	0.029456571792229966	46501	0.036302633583545685	0.04531630790798885
MUI_Innsbruck	12	12	0.08144399678955476	0.07197917739952828	15856	0.06942913681268692	0.06828939908771747
Pelka_2021_Cell	62	62	0.03192111163403869	0.030660412518600935	100569	0.026523087173700333	0.0203411706914035
Qi_2022_Nat_Commun	5	5	0.08546124221757054	0.0837729967068379	6566	0.07995475828647614	0.07145505629558939
Qian_2020_Cell_Res	7	7	0.0938954654016665	0.09071567791312889	9753	0.08290141820907593	0.08820498679517642
Qin_2023_Cell_Rep_Med	29	29	0.010998106622819564	0.01732549165900917	78466	0.01737786829471588	0.02293442302926238
Sathe_2023_Clin_Cancer_Res	4	3	-0.0792081281542778	-0.06549641148004863	6716	-0.15477579832077026	-0.24885704688142798
Terekhanova_2023_Nature	5	5	-0.0010312264785170555	0.00563446611489025	22196	0.009047253988683224	0.01367613808445616
Tian_2023_Nat_Med	27	25	-0.010707186376675963	-0.007762400788383487	80372	-0.00942376907914877	-0.0037273259173571773
Uhlitz_2021_EMBO_Mol_Med	12	12	-0.014162269023169452	-0.002517699882615871	13194	-0.017374852672219276	-0.011302505052269814
Wang_2021_Adv_Sci	8	7	0.08237247435109955	0.06233852819632512	307	0.03503170982003212	0.015998585954367872
Wang_2023_Sci_Adv	6	5	-0.015295163821429014	-0.030950581681982454	23232	0.023067191243171692	0.03522110801375507
Wu_2022_Cancer_Discov	7	3	-0.30050929884115857	-0.20098234289730801	79	-0.26086175441741943	-0.25987469161892013
Wu_2024_Cell	6	3	0.12031846516765654	0.3010538575597303	114	0.0935271829366684	0.12801758231213978
Yang_2023_Front_Oncol	1	1	0.018500298261642456	0.03928681568756844	1879	0.018500298261642456	0.03928681568756844
Zhang_2018_Nature	5	0			8		
Zhang_2020_Cell	9	8	-0.0708006271161139	-0.08579586885054813	571	-0.11291128396987915	-0.11705760118582367
Zheng_2022_Signal_Transduct_Target_Ther	4	4	0.02798002725467086	0.04745443074294693	13019	0.024446165189146996	0.038576009335594325
deVries_2023_Nature	1	0			1		
