study_id	n_cells	cell_weighted_pearson_r	cell_weighted_spearman_rho	estimable	not_estimable_reason
Bian_2018_Science	1103	0.09141270071268082	0.044402862852098726	True	
Borras_2023_Cell_Discov	54	-0.0049886275082826614	-0.00537890781565413	True	
Che_2021_Cell_Discov	11520	0.054186660796403885	0.09191814662413798	True	
Chen_2021_Cell	32811	0.0030401090625673532	0.00217208637211781	True	
Chen_2024_Cancer_Cell	58833	-0.007366509176790714	0.0032233741229988878	True	
Giguelay_2022_Theranostics	3458	0.022997526451945305	0.003311973937383545	True	
Guo_2022_JCI_Insight	3175	0.09208603203296661	0.11875354664806655	True	
HTAPP_HTAN	19711	0.04181024432182312	0.05987861108975867	True	
Harmon_2023_Nat_Cancer	98	-0.0972433090209961	0.0639483172081879	True	
Huang_2024_Nat_Cancer	102	0.15017598867416382	0.15591346811612142	True	
Ji_2024_Cancer_Lett	10269	0.055439624935388565	0.06731231515296911	True	
Ji_2024_PLoS_Genet	5793	0.022863242775201797	-0.010856227051577391	True	
Joanito_2022_Nat_Genet	25851	0.025832489132881165	0.04512813827710067	True	
Khaliq_2022_Genome_Biol	7141	0.054193153977394104	0.06699909560894915	True	
Lee_2020_Nat_Genet	29741	0.04178360477089882	0.06051060492380873	True	
Li_2017_Nat_Genet	54	0.21061991155147552	0.2992124546793937	True	
Li_2023_Cancer_Cell	36360	0.018272865563631058	0.023839308193184493	True	
Liu_2024_Cancer_Res	46501	0.036302633583545685	0.04531630790798885	True	
MUI_Innsbruck	15856	0.06942913681268692	0.06828939908771747	True	
Pelka_2021_Cell	100569	0.026523087173700333	0.0203411706914035	True	
Qi_2022_Nat_Commun	6566	0.07995475828647614	0.07145505629558939	True	
Qian_2020_Cell_Res	9753	0.08290141820907593	0.08820498679517642	True	
Qin_2023_Cell_Rep_Med	78466	0.01737786829471588	0.02293442302926238	True	
Sathe_2023_Clin_Cancer_Res	6716	-0.15477579832077026	-0.24885704688142798	True	
Terekhanova_2023_Nature	22196	0.009047253988683224	0.01367613808445616	True	
Tian_2023_Nat_Med	80372	-0.00942376907914877	-0.0037273259173571773	True	
Uhlitz_2021_EMBO_Mol_Med	13194	-0.017374852672219276	-0.011302505052269814	True	
Wang_2021_Adv_Sci	307	0.03503170982003212	0.015998585954367872	True	
Wang_2023_Sci_Adv	23232	0.023067191243171692	0.03522110801375507	True	
Wu_2022_Cancer_Discov	79	-0.26086175441741943	-0.25987469161892013	True	
Wu_2024_Cell	114	0.0935271829366684	0.12801758231213978	True	
Yang_2023_Front_Oncol	1879	0.018500298261642456	0.03928681568756844	True	
Zhang_2018_Nature	8			False	n_cells=8 < 10
Zhang_2020_Cell	571	-0.11291128396987915	-0.11705760118582367	True	
Zheng_2022_Signal_Transduct_Target_Ther	13019	0.024446165189146996	0.038576009335594325	True	
deVries_2023_Nature	1			False	n_cells=1 < 10
