left_out_donor_key	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	delta_pearson_r_vs_full
Bian_2018_Science||Bian_2018_Science.CRC03	665345	-0.03006148710846901	-0.02240531927738469	-2.002529799938202e-05
Bian_2018_Science||Bian_2018_Science.CRC04	665383	-0.030019139871001244	-0.022346871870981982	2.232193946838379e-05
Bian_2018_Science||Bian_2018_Science.CRC06	665404	-0.03005913272500038	-0.02239139528379503	-1.767091453075409e-05
Bian_2018_Science||Bian_2018_Science.CRC09	665377	-0.030068857595324516	-0.022412547271694654	-2.7395784854888916e-05
Bian_2018_Science||Bian_2018_Science.CRC10	665388	-0.03005995601415634	-0.02238998118819847	-1.8494203686714172e-05
Bian_2018_Science||Bian_2018_Science.CRC11	665282	-0.030037930235266685	-0.022382266151233562	3.5315752029418945e-06
Bian_2018_Science||Bian_2018_Science.CRC01	665155	-0.02989969030022621	-0.02220946421855816	0.00014177151024341583
Bian_2018_Science||Bian_2018_Science.CRC02	665347	-0.030073929578065872	-0.02243486810270516	-3.246776759624481e-05
Borras_2023_Cell_Discov||Joanito_2022_Nat_Genet.SC040	665472	-0.030043262988328934	-0.022379687022388465	-1.8011778593063354e-06
Borras_2023_Cell_Discov||Joanito_2022_Nat_Genet.SC044	665472	-0.03004879131913185	-0.022381058297810907	-7.329508662223816e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC57	665472	-0.030040699988603592	-0.022375610851915077	7.618218660354614e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC71	665472	-0.03003748320043087	-0.022374224868148287	3.978610038757324e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC105	665471	-0.03004251793026924	-0.02237760535181733	-1.0561197996139526e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC108	665466	-0.030048778280615807	-0.02238139168310749	-7.316470146179199e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC119	665456	-0.030048439279198647	-0.022383775463592076	-6.977468729019165e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC125	665471	-0.030039124190807343	-0.02237485350255614	2.337619662284851e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC126	665471	-0.03004484996199608	-0.02238070031682277	-3.388151526451111e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC136	665467	-0.030043313279747963	-0.022375770280755703	-1.8514692783355713e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC145	665470	-0.030042342841625214	-0.022376438188307948	-8.810311555862427e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC174	665471	-0.030040768906474113	-0.022375815425994015	6.92903995513916e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC179	665472	-0.030038941651582718	-0.022374352688207724	2.520158886909485e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC180	665472	-0.030042316764593124	-0.022378172778988417	-8.549541234970093e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC197	665472	-0.030040746554732323	-0.022377054952783488	7.152557373046875e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC200	665471	-0.03004167042672634	-0.022376957303587474	-2.086162567138672e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC216	665471	-0.03004135750234127	-0.02237558538866238	1.043081283569336e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC234	665471	-0.030040858313441277	-0.02237618710475367	6.034970283508301e-07
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL07	658662	-0.033809594810009	-0.024964096763618757	-0.0037681329995393753
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL12	664987	-0.030141623690724373	-0.0223033336596888	-0.00010016188025474548
