left_out_study_id	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	delta_pearson_r_vs_full
Bian_2018_Science	664370	-0.029989734292030334	-0.02233562308620719	5.172751843929291e-05
Borras_2023_Cell_Discov	665419	-0.030061429366469383	-0.02239076906584677	-1.996755599975586e-05
Che_2021_Cell_Discov	653953	-0.035420432686805725	-0.026461509821080736	-0.005378970876336098
Chen_2024_Cancer_Cell	606640	-0.026203013956546783	-0.01720435958010304	0.003838447853922844
Giguelay_2022_Theranostics	662015	-0.029899319633841515	-0.02226533650400622	0.0001421421766281128
Guo_2022_JCI_Insight	662298	-0.030870400369167328	-0.023115934838581327	-0.0008289385586977005
HTAPP_HTAN	645762	-0.03285800293087959	-0.023200913779085463	-0.0028165411204099655
Harmon_2023_Nat_Cancer	665375	-0.0300609041005373	-0.022402247349325416	-1.944229006767273e-05
Huang_2024_Nat_Cancer	665371	-0.030056972056627274	-0.022392870155689054	-1.551024615764618e-05
Ji_2024_PLoS_Genet	659680	-0.028720490634441376	-0.020968285425570138	0.0013209711760282516
Ji_2024_Cancer_Lett	655204	-0.032129764556884766	-0.02467070097295171	-0.0020883027464151382
Joanito_2022_Nat_Genet	639622	-0.034057218581438065	-0.028839372821864908	-0.004015756770968437
Khaliq_2022_Genome_Biol	658332	-0.030466819182038307	-0.022736227886757925	-0.0004253573715686798
Lee_2020_Nat_Genet	635732	-0.03228605538606644	-0.025417179447233623	-0.0022445935755968094
Li_2017_Nat_Genet	665419	-0.03004051186144352	-0.02237193085444957	9.499490261077881e-07
Li_2023_Cancer_Cell	629113	-0.03437606245279312	-0.026564842492493024	-0.004334600642323494
Liu_2024_Cancer_Res	618972	-0.028947196900844574	-0.021356729456553383	0.0010942649096250534
MUI_Innsbruck	649617	-0.035929691046476364	-0.02738871459257637	-0.005888229236006737
Pelka_2021_Cell	564904	-0.03406449034810066	-0.02828238560983599	-0.004023028537631035
Qi_2022_Nat_Commun	658907	-0.030007533729076385	-0.022363784484214368	3.392808139324188e-05
Qian_2020_Cell_Res	655720	-0.031083082780241966	-0.023233122401896053	-0.0010416209697723389
Qin_2023_Cell_Rep_Med	587007	-0.025769587606191635	-0.017363240274172277	0.004271874204277992
Sathe_2023_Clin_Cancer_Res	658757	-0.03015483170747757	-0.02228435715033735	-0.0001133698970079422
Terekhanova_2023_Nature	643277	-0.03340262174606323	-0.02398466351918329	-0.003361159935593605
Tian_2023_Nat_Med	585101	-0.01132364384829998	-0.013280738766398703	0.018717817962169647
Uhlitz_2021_EMBO_Mol_Med	652279	-0.029040947556495667	-0.021384860674584373	0.0010005142539739609
Chen_2021_Cell	632662	-0.022452324628829956	-0.011940999679876354	0.007589137181639671
Wang_2021_Adv_Sci	665166	-0.029980093240737915	-0.022291094115293078	6.136856973171234e-05
Wang_2023_Sci_Adv	642241	-0.027215011417865753	-0.017980029690465138	0.002826450392603874
Wu_2022_Cancer_Discov	665394	-0.030042927712202072	-0.022360832316248382	-1.4659017324447632e-06
Wu_2024_Cell	665359	-0.030035395175218582	-0.022361862221391245	6.066635251045227e-06
Yang_2023_Front_Oncol	663594	-0.031234608963131905	-0.022962652493800632	-0.0011931471526622772
Zhang_2018_Nature	665465	-0.030039850622415543	-0.022374183695627613	1.6111880540847778e-06
Zhang_2020_Cell	664902	-0.030249109491705894	-0.02260171319314719	-0.0002076476812362671
Zheng_2022_Signal_Transduct_Target_Ther	652454	-0.030122969299554825	-0.022588053482777776	-8.150748908519745e-05
deVries_2023_Nature	665472	-0.03004121221601963	-0.022376559655519317	2.4959444999694824e-07
