study_id	n_donors	n_donors_estimable	equal_donor_weighted_pearson_r	equal_donor_weighted_spearman_rho	n_cells	cell_weighted_pearson_r	cell_weighted_spearman_rho
Bian_2018_Science	8	8	0.03181824227795005	-0.0008436018873703779	1103	-0.10648231208324432	-0.10192580692535584
Borras_2023_Cell_Discov	18	1	0.14743198454380035	0.16226186224054012	54	0.14404521882534027	0.13106092406439254
Che_2021_Cell_Discov	6	6	0.0345744404476136	-0.046750461244661645	11520	0.08707650750875473	0.040073236101665924
Chen_2021_Cell	101	94	0.01645015652088369	0.018708378461619147	32811	-0.00447066267952323	-0.01077993407809767
Chen_2024_Cancer_Cell	20	20	-0.028361915977438912	-0.0303478908975984	58833	-0.03728606179356575	-0.03862020372933082
Giguelay_2022_Theranostics	5	5	-0.00036171185784041884	-0.013768633284490819	3458	-0.010281831957399845	-0.011062056219434624
Guo_2022_JCI_Insight	6	6	0.038863670701781906	0.006530635427914276	3175	0.07195450365543365	0.08413801801736005
HTAPP_HTAN	20	20	0.04714973447844386	0.024802486959578304	19711	0.060660433024168015	0.027627402701544394
Harmon_2023_Nat_Cancer	1	1	0.21452206373214722	0.12128626340505527	98	0.21452206373214722	0.12128626340505527
Huang_2024_Nat_Cancer	3	2	0.1474711187183857	0.1702920604614657	102	0.04201064258813858	0.05104752595052617
Ji_2024_Cancer_Lett	2	2	0.134587150067091	0.16703468740357785	10269	0.11079040914773941	0.12511332987735127
Ji_2024_PLoS_Genet	3	3	-0.12224239483475685	-0.11542751064465444	5793	-0.11532272398471832	-0.11284721663451121
Joanito_2022_Nat_Genet	31	31	0.06461874984445111	0.07224434981619385	25851	0.03520267456769943	0.03627615918904529
Khaliq_2022_Genome_Biol	16	15	0.05779493413865566	0.038434069838551015	7141	0.013768215663731098	0.006492387569370582
Lee_2020_Nat_Genet	34	34	-0.003709481412763981	-0.0040432858731322945	29741	-0.08084484934806824	-0.08623327183300396
Li_2017_Nat_Genet	10	1	-0.025410357862710953	0.13990613892070283	54	-0.07337526232004166	-0.16445243333981885
Li_2023_Cancer_Cell	19	19	-0.0009878906666448241	0.0014686729295443185	36360	0.0070220413617789745	-0.004755337804299492
Liu_2024_Cancer_Res	16	16	-0.009230515890521929	-9.322888204841596e-05	46501	0.0024783944245427847	0.0037187939633755375
MUI_Innsbruck	12	12	0.20812674751505256	0.1518478097283279	15856	0.25513017177581787	0.22971442917837195
Pelka_2021_Cell	62	62	0.004639018930667531	0.010090479445392694	100569	-0.0006698137149214745	0.0009322877658171721
Qi_2022_Nat_Commun	5	5	-0.047177796345204116	-0.049389093832814174	6566	-0.037361957132816315	-0.03857810626093875
Qian_2020_Cell_Res	7	7	0.015962206159851382	0.016819642542717745	9753	0.03019418567419052	0.04382219505792055
Qin_2023_Cell_Rep_Med	29	29	-0.0500348330924994	-0.061074153338942866	78466	-0.0520763099193573	-0.06383673350182445
Sathe_2023_Clin_Cancer_Res	4	3	-0.02601269322137038	-0.02955815034107796	6716	-0.011902207508683205	-0.030291653075836308
Terekhanova_2023_Nature	5	5	0.04843707121908665	0.04139156367697357	22196	-0.00817781500518322	-0.0016342258871098656
Tian_2023_Nat_Med	27	25	0.011206233582925051	0.009727667830565829	80372	-0.16430577635765076	-0.09444032374642523
Uhlitz_2021_EMBO_Mol_Med	12	12	0.009684797104758521	0.007070652514342877	13194	0.00015538818843197078	-0.006488278284544584
Wang_2021_Adv_Sci	8	7	0.03944283191646848	-0.009026717581285823	307	-0.10811007767915726	-0.1524344449019102
Wang_2023_Sci_Adv	6	5	0.03862639698199928	0.020377594116031923	23232	-0.02014772966504097	-0.03199708787896949
Wu_2022_Cancer_Discov	7	3	0.16915890760719776	0.17576777710961003	79	0.13308879733085632	0.14790006031003
Wu_2024_Cell	6	3	0.21740988890329996	0.1484892019929495	114	0.035755038261413574	0.03148281468428448
Yang_2023_Front_Oncol	1	1	0.3254885673522949	0.30631914511965724	1879	0.3254885673522949	0.30631914511965724
Zhang_2018_Nature	5	0			8		
Zhang_2020_Cell	9	8	-0.04902115953154862	-0.04165822498541692	571	-0.09025686234235764	-0.10067918760266843
Zheng_2022_Signal_Transduct_Target_Ther	4	4	0.0027512884698808193	0.006046995597078926	13019	-0.0041349404491484165	-0.0034063052057930272
deVries_2023_Nature	1	0			1		
