study_id	n_cells	cell_weighted_pearson_r	cell_weighted_spearman_rho	estimable	not_estimable_reason
Bian_2018_Science	1103	-0.06316690146923065	-0.048820150918781946	True	
Borras_2023_Cell_Discov	54	0.16239485144615173	0.096073122035783	True	
Che_2021_Cell_Discov	11520	0.09022677689790726	0.020818576678489034	True	
Chen_2021_Cell	32811	-0.005298772361129522	-0.013416957135731352	True	
Chen_2024_Cancer_Cell	58833	-0.042497750371694565	-0.04508972620630328	True	
Giguelay_2022_Theranostics	3458	-0.016767440363764763	-0.018039324980103667	True	
Guo_2022_JCI_Insight	3175	0.07500819116830826	0.07928084384636601	True	
HTAPP_HTAN	19711	0.06541401892900467	0.03582316901414166	True	
Harmon_2023_Nat_Cancer	98	0.21621102094650269	0.07646327854886355	True	
Huang_2024_Nat_Cancer	102	0.047257713973522186	0.04337087364528026	True	
Ji_2024_Cancer_Lett	10269	0.10974320769309998	0.12011044632643504	True	
Ji_2024_PLoS_Genet	5793	-0.11778193712234497	-0.11854870296361976	True	
Joanito_2022_Nat_Genet	25851	0.025864694267511368	0.02469523421981764	True	
Khaliq_2022_Genome_Biol	7141	0.014032343402504921	0.01126376969398433	True	
Lee_2020_Nat_Genet	29741	-0.0638953298330307	-0.06204705608165294	True	
Li_2017_Nat_Genet	54	-0.14287413656711578	-0.23928795127608665	True	
Li_2023_Cancer_Cell	36360	0.0006752932677045465	-0.0166953987451414	True	
Liu_2024_Cancer_Res	46501	0.006995399482548237	0.006150549257713099	True	
MUI_Innsbruck	15856	0.25158870220184326	0.22885478057675768	True	
Pelka_2021_Cell	100569	0.006706536281853914	0.008414027539985382	True	
Qi_2022_Nat_Commun	6566	-0.03452077880501747	-0.032211533665318315	True	
Qian_2020_Cell_Res	9753	0.04741126298904419	0.06407186556335245	True	
Qin_2023_Cell_Rep_Med	78466	-0.053048282861709595	-0.06111239319690626	True	
Sathe_2023_Clin_Cancer_Res	6716	-0.019511468708515167	-0.03526195400923691	True	
Terekhanova_2023_Nature	22196	-0.008269103243947029	-0.0032570673977490414	True	
Tian_2023_Nat_Med	80372	-0.1567685455083847	-0.09312584143876895	True	
Uhlitz_2021_EMBO_Mol_Med	13194	0.003176994388923049	-0.004362667202816074	True	
Wang_2021_Adv_Sci	307	-0.13491299748420715	-0.19107512050759579	True	
Wang_2023_Sci_Adv	23232	-0.018461640924215317	-0.0303139439892343	True	
Wu_2022_Cancer_Discov	79	0.11650492250919342	0.12350881814684797	True	
Wu_2024_Cell	114	0.0352296382188797	0.007259270721916248	True	
Yang_2023_Front_Oncol	1879	0.3179533779621124	0.305314284857524	True	
Zhang_2018_Nature	8			False	n_cells=8 < 10
Zhang_2020_Cell	571	-0.11307242512702942	-0.1242746100648415	True	
Zheng_2022_Signal_Transduct_Target_Ther	13019	-0.0015126250218600035	-0.004730465234177174	True	
deVries_2023_Nature	1			False	n_cells=1 < 10
