left_out_donor_key	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	delta_pearson_r_vs_full
Bian_2018_Science||Bian_2018_Science.CRC03	665345	0.1895422488451004	0.11064036340874242	-2.9087066650390625e-05
Bian_2018_Science||Bian_2018_Science.CRC04	665383	0.189553365111351	0.11065576568264882	-1.7970800399780273e-05
Bian_2018_Science||Bian_2018_Science.CRC06	665404	0.18957895040512085	0.1106467642001496	7.614493370056152e-06
Bian_2018_Science||Bian_2018_Science.CRC09	665377	0.18958036601543427	0.11065006017695521	9.03010368347168e-06
Bian_2018_Science||Bian_2018_Science.CRC10	665388	0.18958212435245514	0.11066515210469198	1.0788440704345703e-05
Bian_2018_Science||Bian_2018_Science.CRC11	665282	0.18960806727409363	0.11069809672023685	3.673136234283447e-05
Bian_2018_Science||Bian_2018_Science.CRC01	665155	0.18986448645591736	0.11093975704623153	0.00029315054416656494
Bian_2018_Science||Bian_2018_Science.CRC02	665347	0.18952107429504395	0.11057934146177287	-5.0261616706848145e-05
Borras_2023_Cell_Discov||Joanito_2022_Nat_Genet.SC040	665472	0.18957185745239258	0.11065264834601117	5.21540641784668e-07
Borras_2023_Cell_Discov||Joanito_2022_Nat_Genet.SC044	665472	0.18957644701004028	0.11065533787632455	5.111098289489746e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC57	665472	0.18957263231277466	0.11065305930328743	1.296401023864746e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC71	665472	0.18957510590553284	0.1106524357478656	3.769993782043457e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC105	665471	0.18957175314426422	0.11065375447704129	4.172325134277344e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC108	665466	0.18957683444023132	0.11065409938391142	5.498528480529785e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC119	665456	0.18957684934139252	0.11065468161616887	5.513429641723633e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC125	665471	0.18957580626010895	0.11065566143326462	4.470348358154297e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC126	665471	0.18956886231899261	0.11064958214967077	-2.473592758178711e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC136	665467	0.1895722597837448	0.11065272827905971	9.238719940185547e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC145	665470	0.18957053124904633	0.11065087706541057	-8.046627044677734e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC174	665471	0.18957121670246124	0.11065428080824316	-1.1920928955078125e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC179	665472	0.18957313895225525	0.11065255254270126	1.8030405044555664e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC180	665472	0.18957114219665527	0.11065090271922667	-1.9371509552001953e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC197	665472	0.18957138061523438	0.11065182816742866	4.470348358154297e-08
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC200	665471	0.18957000970840454	0.11065216528234208	-1.3262033462524414e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC216	665471	0.18957264721393585	0.11065529805266786	1.3113021850585938e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC234	665471	0.18957044184207916	0.11065235038202487	-8.940696716308594e-07
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL07	658662	0.18920961022377014	0.10867988717841047	-0.00036172568798065186
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL12	664987	0.18953803181648254	0.11077744436026946	-3.330409526824951e-05
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL15	663522	0.1900739222764969	0.11093549419095343	0.0005025863647460938
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL16	663821	0.19072175025939941	0.11170979925297898	0.0011504143476486206
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL17	665280	0.18964390456676483	0.11077018327829384	7.256865501403809e-05
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL18	665046	0.18965120613574982	0.11076973357710637	7.987022399902344e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P01	659745	0.1913704127073288	0.11271129616461445	0.001799076795578003
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P02	663924	0.1900528371334076	0.11140346361052293	0.0004815012216567993
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P03	657920	0.19250310957431793	0.1121778835251875	0.0029317736625671387
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P04	663854	0.1905580461025238	0.11139623632836206	0.0009867101907730103
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P05	661791	0.18949051201343536	0.10904260156258205	-8.082389831542969e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P08	660774	0.19225898385047913	0.11272388332932858	0.0026876479387283325
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P09	663418	0.19008226692676544	0.1112550349626945	0.0005109310150146484
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P12	664819	0.18981871008872986	0.11074556894307902	0.00024737417697906494
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P14	660497	0.19169031083583832	0.11223732154110111	0.0021189749240875244
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P15	662282	0.1915532350540161	0.11227855794006324	0.00198189914226532
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P16	664151	0.19001586735248566	0.11084544707657518	0.0004445314407348633
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P17	663602	0.1900027096271515	0.11099464865405526	0.0004313737154006958
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P18	661037	0.1898568868637085	0.11076815218309802	0.00028555095195770264
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P19	661223	0.19071029126644135	0.11174743511774497	0.0011389553546905518
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P20	664012	0.18982598185539246	0.11108005154059063	0.0002546459436416626
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P21	664103	0.18957805633544922	0.11032304657431301	6.720423698425293e-06
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P22	663637	0.19059093296527863	0.11147425586821622	0.001019597053527832
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P23	660783	0.1928018480539322	0.11298411536938371	0.0032305121421813965
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P25	664591	0.18994399905204773	0.11076575560529897	0.00037266314029693604
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P26	664464	0.18995454907417297	0.11094700188336637	0.0003832131624221802
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P1	664667	0.189472958445549	0.1106353549183078	-9.837746620178223e-05
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P2	664943	0.18936727941036224	0.11024588815902604	-0.0002040565013885498
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P4	663954	0.18903681635856628	0.10992563520356637	-0.0005345195531845093
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P5	665420	0.18954497575759888	0.11062347609994112	-2.6360154151916504e-05
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P3	664923	0.18947745859622955	0.11070702394864722	-9.387731552124023e-05
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Left_CRC1	664951	0.18970172107219696	0.11090061160468356	0.000130385160446167
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Left_CRC2	664559	0.19074822962284088	0.11189835278423685	0.0011768937110900879
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Left_CRC3	665261	0.18965017795562744	0.11076457699635091	7.884204387664795e-05
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Right_CRC1	665257	0.18962176144123077	0.11068974176203648	5.042552947998047e-05
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Right_CRC2	665193	0.18964047729969025	0.11075585435357374	6.914138793945312e-05
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Right_CRC3	664442	0.18970884382724762	0.11079081153544153	0.00013750791549682617
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_272	664722	0.18955855071544647	0.11065061450779966	-1.2785196304321289e-05
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_273	664852	0.18987220525741577	0.11084300434342116	0.00030086934566497803
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_326	664018	0.18945086002349854	0.11071449196656431	-0.0001204758882522583
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_335	664454	0.19122427701950073	0.11183866663670915	0.001652941107749939
