left_out_study_id	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	delta_pearson_r_vs_full
Bian_2018_Science	664370	0.18983373045921326	0.1109111615890799	0.0002623945474624634
Borras_2023_Cell_Discov	665419	0.18959741294384003	0.11066898979670885	2.60770320892334e-05
Che_2021_Cell_Discov	653953	0.19100606441497803	0.11039371228929959	0.0014347285032272339
Chen_2024_Cancer_Cell	606640	0.21276207268238068	0.12638099798909436	0.023190736770629883
Giguelay_2022_Theranostics	662015	0.18860851228237152	0.10951822227565537	-0.0009628236293792725
Guo_2022_JCI_Insight	662298	0.1912233978509903	0.11254725371875345	0.001652061939239502
HTAPP_HTAN	645762	0.19722703099250793	0.11844106086497591	0.007655695080757141
Harmon_2023_Nat_Cancer	665375	0.1895173192024231	0.1105231834789847	-5.4016709327697754e-05
Huang_2024_Nat_Cancer	665371	0.18959937989711761	0.11067703598752725	2.804398536682129e-05
Ji_2024_PLoS_Genet	659680	0.18870866298675537	0.10977934798512072	-0.0008626729249954224
Ji_2024_Cancer_Lett	655204	0.1924060732126236	0.10998963317677408	0.0028347373008728027
Joanito_2022_Nat_Genet	639622	0.18842574954032898	0.10607461136072235	-0.001145586371421814
Khaliq_2022_Genome_Biol	658332	0.18975616991519928	0.11021003138358879	0.00018483400344848633
Lee_2020_Nat_Genet	635732	0.17610834538936615	0.08617331154142195	-0.013462990522384644
Li_2017_Nat_Genet	665419	0.18957337737083435	0.11065889313393237	2.041459083557129e-06
Li_2023_Cancer_Cell	629113	0.19612747430801392	0.11196115257888312	0.0065561383962631226
Liu_2024_Cancer_Res	618972	0.2032575160264969	0.11602335133963536	0.013686180114746094
MUI_Innsbruck	649617	0.1844603419303894	0.10734451556110161	-0.005110993981361389
Pelka_2021_Cell	564904	0.18729551136493683	0.12883289075230783	-0.002275824546813965
Qi_2022_Nat_Commun	658907	0.1903919130563736	0.11265893505633273	0.0008205771446228027
Qian_2020_Cell_Res	655720	0.19017331302165985	0.11273889230729504	0.0006019771099090576
Qin_2023_Cell_Rep_Med	587007	0.20847700536251068	0.11652420411835517	0.018905669450759888
Sathe_2023_Clin_Cancer_Res	658757	0.19066694378852844	0.11163521859774189	0.001095607876777649
Terekhanova_2023_Nature	643277	0.05914958566427231	0.046319333537775204	-0.13042175024747849
Tian_2023_Nat_Med	585101	0.2442767322063446	0.17069195613726626	0.05470539629459381
Uhlitz_2021_EMBO_Mol_Med	652279	0.1995152086019516	0.11563828989193171	0.009943872690200806
Chen_2021_Cell	632662	0.1841285675764084	0.08384661427831179	-0.005442768335342407
Wang_2021_Adv_Sci	665166	0.189601868391037	0.11060477744204941	3.053247928619385e-05
Wang_2023_Sci_Adv	642241	0.19822527468204498	0.12145996354780446	0.00865393877029419
Wu_2022_Cancer_Discov	665394	0.18963007628917694	0.11066773335949762	5.874037742614746e-05
Wu_2024_Cell	665359	0.1896328628063202	0.11068392731867038	6.152689456939697e-05
Yang_2023_Front_Oncol	663594	0.1867266148328781	0.10879444385647975	-0.0028447210788726807
Zhang_2018_Nature	665465	0.18956951797008514	0.11064744444796112	-1.817941665649414e-06
Zhang_2020_Cell	664902	0.18944813311100006	0.11046896119322742	-0.00012320280075073242
Zheng_2022_Signal_Transduct_Target_Ther	652454	0.18786124885082245	0.10891723029294659	-0.0017100870609283447
deVries_2023_Nature	665472	0.18957173824310303	0.11065307278136462	4.023313522338867e-07
