study_id	n_donors	n_donors_estimable	equal_donor_weighted_pearson_r	equal_donor_weighted_spearman_rho	n_cells	cell_weighted_pearson_r	cell_weighted_spearman_rho
Bian_2018_Science	8	8	0.035243431106209755	0.024947099531491684	1103	0.01094313059002161	0.012985289982008003
Borras_2023_Cell_Discov	18	1	0.04275035858154297	0.056720271119083496	54	0.017977379262447357	-0.024373584045943517
Che_2021_Cell_Discov	6	6	0.02516686295469602	-0.046074701476676784	11520	0.10830032825469971	0.12173979867290788
Chen_2021_Cell	101	94	0.027867837125395842	0.009908344839829062	32811	-0.01968129724264145	-0.03413808771838048
Chen_2024_Cancer_Cell	20	20	-0.03638646081089973	-0.0812081868420402	58833	-0.0677761659026146	-0.11796164188195557
Giguelay_2022_Theranostics	5	5	-0.04730229116976261	-0.060401147116104247	3458	-0.06491629779338837	-0.09794731019001687
Guo_2022_JCI_Insight	6	6	0.029265873444577057	-0.1351452624734106	3175	-0.030715815722942352	-0.21114673326505096
HTAPP_HTAN	20	20	-0.04209499685093761	-0.09372443634061985	19711	-0.005811929237097502	-0.07177816089167446
Harmon_2023_Nat_Cancer	1	1	0.2506074011325836	0.1602864208354328	98	0.2506074011325836	0.1602864208354328
Huang_2024_Nat_Cancer	3	2	-0.18938643019646406	-0.17632322271785206	102	-0.09942585229873657	-0.1000423599633775
Ji_2024_Cancer_Lett	2	2	0.2346561923623085	0.27148320453509	10269	0.2142951786518097	0.23933082747756862
Ji_2024_PLoS_Genet	3	3	0.006801651169856389	0.02231990867978693	5793	0.01573275402188301	-0.02094261279673739
Joanito_2022_Nat_Genet	31	31	0.10725122846422656	0.10316068511957152	25851	0.024410922080278397	0.00018555701223076814
Khaliq_2022_Genome_Biol	16	15	0.12261974240342775	0.1135161025671713	7141	0.1623079627752304	0.17166157358928888
Lee_2020_Nat_Genet	34	34	0.07542964649345617	0.0522045230917642	29741	0.47005999088287354	0.3596789376939226
Li_2017_Nat_Genet	10	1	-0.47454893589019775	-0.3735772790141283	54	-0.025642720982432365	-0.09011378364359793
Li_2023_Cancer_Cell	19	19	0.04360717584035898	0.033417268999191556	36360	0.026546861976385117	0.018817022553862646
Liu_2024_Cancer_Res	16	16	0.11096130579244345	0.12539089184343746	46501	0.08085909485816956	0.1180376366492488
MUI_Innsbruck	12	12	0.39689352611700696	0.340587102267621	15856	0.3402106761932373	0.2657862473691889
Pelka_2021_Cell	62	62	0.05796281423705119	0.04705912156315996	100569	0.05573374405503273	0.011386227953333867
Qi_2022_Nat_Commun	5	5	-0.027571698278188707	-0.025901359614704994	6566	-0.05834153667092323	-0.07649850609469527
Qian_2020_Cell_Res	7	7	0.01824584656528064	0.04882693028086793	9753	-0.06738486140966415	-0.054903994229532994
Qin_2023_Cell_Rep_Med	29	29	0.03964848443865776	0.031540843057079354	78466	0.1053289845585823	0.10578590014156039
Sathe_2023_Clin_Cancer_Res	4	3	0.014769898106654486	-0.04029534660301203	6716	0.04657603055238724	0.0018384816363037407
Terekhanova_2023_Nature	5	5	0.08494357950985432	0.12811759366728376	22196	0.10096705704927444	0.1085276588849207
Tian_2023_Nat_Med	27	25	0.03479347159154713	-0.10770992401519372	80372	-0.055728763341903687	-0.21554497275038143
Uhlitz_2021_EMBO_Mol_Med	12	12	0.09238757115478317	0.08884455285239724	13194	0.1581861823797226	0.21086020098499034
Wang_2021_Adv_Sci	8	7	0.11838885077408381	0.05041203243334673	307	0.17429035902023315	0.1987689043691062
Wang_2023_Sci_Adv	6	5	0.08975175339728594	0.06137931391812992	23232	-0.08701666444540024	-0.15971304064598218
Wu_2022_Cancer_Discov	7	3	-0.03291857180496057	-0.03267028320009185	79	0.028856534510850906	0.03092238333196842
Wu_2024_Cell	6	3	-0.003900887444615364	0.05477763542260328	114	0.07001974433660507	0.09474149768117102
Yang_2023_Front_Oncol	1	1	0.5074872970581055	0.45517111169164104	1879	0.5074872970581055	0.45517111169164104
Zhang_2018_Nature	5	0			8		
Zhang_2020_Cell	9	8	0.32160265650600195	0.30669222054257195	571	0.30739685893058777	0.4993366302389465
Zheng_2022_Signal_Transduct_Target_Ther	4	4	0.10618834011256695	0.11104542743205459	13019	0.17238667607307434	0.20708693029197558
deVries_2023_Nature	1	0			1		
