study_id	n_cells	cell_weighted_pearson_r	cell_weighted_spearman_rho	estimable	not_estimable_reason
Bian_2018_Science	1103	0.01094313059002161	0.012985289982008003	True	
Borras_2023_Cell_Discov	54	0.017977379262447357	-0.024373584045943517	True	
Che_2021_Cell_Discov	11520	0.10830032825469971	0.12173979867290788	True	
Chen_2021_Cell	32811	-0.01968129724264145	-0.03413808771838048	True	
Chen_2024_Cancer_Cell	58833	-0.0677761659026146	-0.11796164188195557	True	
Giguelay_2022_Theranostics	3458	-0.06491629779338837	-0.09794731019001687	True	
Guo_2022_JCI_Insight	3175	-0.030715815722942352	-0.21114673326505096	True	
HTAPP_HTAN	19711	-0.005811929237097502	-0.07177816089167446	True	
Harmon_2023_Nat_Cancer	98	0.2506074011325836	0.1602864208354328	True	
Huang_2024_Nat_Cancer	102	-0.09942585229873657	-0.1000423599633775	True	
Ji_2024_Cancer_Lett	10269	0.2142951786518097	0.23933082747756862	True	
Ji_2024_PLoS_Genet	5793	0.01573275402188301	-0.02094261279673739	True	
Joanito_2022_Nat_Genet	25851	0.024410922080278397	0.00018555701223076814	True	
Khaliq_2022_Genome_Biol	7141	0.1623079627752304	0.17166157358928888	True	
Lee_2020_Nat_Genet	29741	0.47005999088287354	0.3596789376939226	True	
Li_2017_Nat_Genet	54	-0.025642720982432365	-0.09011378364359793	True	
Li_2023_Cancer_Cell	36360	0.026546861976385117	0.018817022553862646	True	
Liu_2024_Cancer_Res	46501	0.08085909485816956	0.1180376366492488	True	
MUI_Innsbruck	15856	0.3402106761932373	0.2657862473691889	True	
Pelka_2021_Cell	100569	0.05573374405503273	0.011386227953333867	True	
Qi_2022_Nat_Commun	6566	-0.05834153667092323	-0.07649850609469527	True	
Qian_2020_Cell_Res	9753	-0.06738486140966415	-0.054903994229532994	True	
Qin_2023_Cell_Rep_Med	78466	0.1053289845585823	0.10578590014156039	True	
Sathe_2023_Clin_Cancer_Res	6716	0.04657603055238724	0.0018384816363037407	True	
Terekhanova_2023_Nature	22196	0.10096705704927444	0.1085276588849207	True	
Tian_2023_Nat_Med	80372	-0.055728763341903687	-0.21554497275038143	True	
Uhlitz_2021_EMBO_Mol_Med	13194	0.1581861823797226	0.21086020098499034	True	
Wang_2021_Adv_Sci	307	0.17429035902023315	0.1987689043691062	True	
Wang_2023_Sci_Adv	23232	-0.08701666444540024	-0.15971304064598218	True	
Wu_2022_Cancer_Discov	79	0.028856534510850906	0.03092238333196842	True	
Wu_2024_Cell	114	0.07001974433660507	0.09474149768117102	True	
Yang_2023_Front_Oncol	1879	0.5074872970581055	0.45517111169164104	True	
Zhang_2018_Nature	8			False	n_cells=8 < 10
Zhang_2020_Cell	571	0.30739685893058777	0.4993366302389465	True	
Zheng_2022_Signal_Transduct_Target_Ther	13019	0.17238667607307434	0.20708693029197558	True	
deVries_2023_Nature	1			False	n_cells=1 < 10
