left_out_donor_key	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	delta_pearson_r_vs_full
Bian_2018_Science||Bian_2018_Science.CRC03	665345	0.17229974269866943	0.03046543850413279	-3.8951635360717773e-05
Bian_2018_Science||Bian_2018_Science.CRC04	665383	0.17231020331382751	0.030477928299255067	-2.849102020263672e-05
Bian_2018_Science||Bian_2018_Science.CRC06	665404	0.17234045267105103	0.030469019636388855	1.7583370208740234e-06
Bian_2018_Science||Bian_2018_Science.CRC09	665377	0.17233949899673462	0.030481168459851726	8.046627044677734e-07
Bian_2018_Science||Bian_2018_Science.CRC10	665388	0.17233861982822418	0.03049455623055418	-7.450580596923828e-08
Bian_2018_Science||Bian_2018_Science.CRC11	665282	0.17234112322330475	0.030509401835662156	2.428889274597168e-06
Bian_2018_Science||Bian_2018_Science.CRC01	665155	0.17263969779014587	0.030719284110749496	0.00030100345611572266
Bian_2018_Science||Bian_2018_Science.CRC02	665347	0.17229673266410828	0.030442338757950542	-4.1961669921875e-05
Borras_2023_Cell_Discov||Joanito_2022_Nat_Genet.SC040	665472	0.17233994603157043	0.03048590871789242	1.2516975402832031e-06
Borras_2023_Cell_Discov||Joanito_2022_Nat_Genet.SC044	665472	0.1723438799381256	0.030486901297606592	5.185604095458984e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC57	665472	0.1723397970199585	0.030487212459223312	1.1026859283447266e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC71	665472	0.1723415106534958	0.030484886959010003	2.816319465637207e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC105	665471	0.17233902215957642	0.030486238944558857	3.2782554626464844e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC108	665466	0.17234230041503906	0.030483677887437496	3.606081008911133e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC119	665456	0.17234346270561218	0.030487705923688355	4.76837158203125e-06
