left_out_study_id	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	delta_pearson_r_vs_full
Bian_2018_Science	664370	0.17253521084785461	0.030663184818832904	0.0001965165138244629
Borras_2023_Cell_Discov	665419	0.17235994338989258	0.03049193486073493	2.1249055862426758e-05
Che_2021_Cell_Discov	653953	0.17364831268787384	0.030259432207405457	0.001309618353843689
Chen_2024_Cancer_Cell	606640	0.1993292272090912	0.05028472440482277	0.026990532875061035
Giguelay_2022_Theranostics	662015	0.1715092808008194	0.029711747144569454	-0.0008294135332107544
Guo_2022_JCI_Insight	662298	0.17366446554660797	0.03193885497995855	0.0013257712125778198
HTAPP_HTAN	645762	0.17936894297599792	0.038323523396595824	0.0070302486419677734
Harmon_2023_Nat_Cancer	665375	0.17228661477565765	0.03038311496331155	-5.207955837249756e-05
Huang_2024_Nat_Cancer	665371	0.17236430943012238	0.030496145911602563	2.561509609222412e-05
Ji_2024_PLoS_Genet	659680	0.17168985307216644	0.03053714337833189	-0.0006488412618637085
Ji_2024_Cancer_Lett	655204	0.17460104823112488	0.02894101359231667	0.0022623538970947266
Joanito_2022_Nat_Genet	639622	0.1702529340982437	0.02162502307406692	-0.002085760235786438
Khaliq_2022_Genome_Biol	658332	0.17268796265125275	0.030238893391464162	0.0003492683172225952
Lee_2020_Nat_Genet	635732	0.15965218842029572	0.0067132443025177515	-0.012686505913734436
Li_2017_Nat_Genet	665419	0.17234063148498535	0.030496979998685756	1.9371509552001953e-06
Li_2023_Cancer_Cell	629113	0.17825092375278473	0.027518088208788052	0.005912229418754578
Liu_2024_Cancer_Res	618972	0.19101549685001373	0.039468437343646176	0.01867680251598358
MUI_Innsbruck	649617	0.16464732587337494	0.024096192478951763	-0.007691368460655212
Pelka_2021_Cell	564904	0.17505581676959991	0.0587412740999293	0.002717122435569763
Qi_2022_Nat_Commun	658907	0.17319652438163757	0.03198244129147903	0.0008578300476074219
Qian_2020_Cell_Res	655720	0.17279978096485138	0.03175981761872118	0.00046108663082122803
Qin_2023_Cell_Rep_Med	587007	0.1928630918264389	0.03594930313143826	0.020524397492408752
Sathe_2023_Clin_Cancer_Res	658757	0.1736856997013092	0.03144373702844659	0.0013470053672790527
Terekhanova_2023_Nature	643277	0.029652122408151627	-0.036892034585962595	-0.14268657192587852
Tian_2023_Nat_Med	585101	0.2233467996120453	0.09766752863511335	0.05100810527801514
Uhlitz_2021_EMBO_Mol_Med	652279	0.18366597592830658	0.03577015099078247	0.011327281594276428
Chen_2021_Cell	632662	0.16676172614097595	-0.00023748129970280554	-0.005576968193054199
Wang_2021_Adv_Sci	665166	0.17233984172344208	0.030381371964414802	1.1473894119262695e-06
Wang_2023_Sci_Adv	642241	0.18110772967338562	0.04113491015846173	0.008769035339355469
Wu_2022_Cancer_Discov	665394	0.17239107191562653	0.03047907352917087	5.237758159637451e-05
Wu_2024_Cell	665359	0.17238381505012512	0.030502733355071907	4.51207160949707e-05
Yang_2023_Front_Oncol	663594	0.1690846085548401	0.028256451965337947	-0.0032540857791900635
Zhang_2018_Nature	665465	0.17233538627624512	0.030481000913326603	-3.3080577850341797e-06
Zhang_2020_Cell	664902	0.17222733795642853	0.030232209620082693	-0.00011135637760162354
Zheng_2022_Signal_Transduct_Target_Ther	652454	0.17090290784835815	0.028285141211548542	-0.001435786485671997
deVries_2023_Nature	665472	0.17233940958976746	0.030485642918299076	7.152557373046875e-07
